time	gasCreateUserMean(2)	gasCreateUserStd(3)	gasCreateProposalMean(4)	gasCreateProposalStd(5)	gasVoteMean(6)	gasVoteStd(7)	gasTotalMean(8)	gasTotalStd(9)	createProposalMean(10)	createProposalStd(11)	createUserMean(12)	createUserStd(13)	voteMean(14)	voteStd(15)	totProposal(16)	avgProposal(17)	minProposal(18)	maxProposal(19)	stdProposal(20)	totVote(21)	avgVote(22)	minVote(23)	maxVote(24)	stdVote(25)	totUser(26)	avgUser(27)	minUser(28)	maxUser(29)	stdUser(30)	totAggrProposal(31)	totAggrVote(32)	totAggrUser(33)
0	1040000.0	237318.35158706122	630000.0	478873.67854163796	0.0	0.0	1670000.0	707587.4504257407	3.0	2.280350850198276	13.0	2.9664793948382653	0.0	0.0	15	3.0	1	7	2.280350850198276	0	0.0	0	0	0.0	65	13.0	10	17	2.9664793948382653	15	0	65
3600	1120000.0	267731.2084909042	798000.0	278596.48238985357	0.0	0.0	1918000.0	500095.99078576907	6.8	3.1874754901018454	27.0	4.427188724235731	0.0	0.0	34	6.8	4	13	3.1874754901018454	0	0.0	0	0	0.0	135	27.0	21	34	4.427188724235731	19	0	70
7200	912000.0	322391.06687375816	588000.0	157149.61024450554	0.0	0.0	1500000.0	389204.31652282586	9.6	2.8000000000000003	38.4	5.851495535331118	0.0	0.0	48	9.6	7	15	2.8000000000000003	0	0.0	0	0	0.0	192	38.4	33	49	5.851495535331118	14	0	57
10800	928000.0	229643.2015105172	672000.0	157149.61024450554	0.0	0.0	1600000.0	356595.0083778515	12.8	2.1354156504062622	50.0	3.286335345030997	0.0	0.0	64	12.8	11	17	2.1354156504062622	0	0.0	0	0	0.0	250	50.0	46	55	3.286335345030997	16	0	58
14400	1056000.0	348344.65691323584	966000.0	366147.51125741657	0.0	0.0	2022000.0	678008.8494997687	17.4	2.154065922853802	63.2	3.1240998703626617	0.0	0.0	87	17.4	15	20	2.154065922853802	0	0.0	0	0	0.0	316	63.2	59	68	3.1240998703626617	23	0	66
18000	944000.0	198554.7783358537	588000.0	205757.13839378697	0.0	0.0	1532000.0	337662.5534464845	20.2	1.7204650534085253	75.0	4.8166378315169185	0.0	0.0	101	20.2	18	23	1.7204650534085253	0	0.0	0	0	0.0	375	75.0	70	84	4.8166378315169185	14	0	59
21600	1024000.0	259969.22894835073	798000.0	308635.70759068045	2780000.0	1735972.3500102183	4602000.0	1491031.8574732065	24.0	0.8944271909999159	87.8	6.99714227381436	27.8	17.359723500102184	120	24.0	23	25	0.8944271909999159	139	27.8	0	45	17.359723500102184	439	87.8	80	100	6.99714227381436	19	139	64
25200	928000.0	310251.510874645	504000.0	314299.2204890111	2240000.0	1932459.572668986	3672000.0	1877087.105064653	26.4	1.3564659966250536	99.4	6.6211781428987395	50.2	3.3105890714493698	132	26.4	25	29	1.3564659966250536	251	50.2	45	54	3.3105890714493698	497	99.4	89	107	6.6211781428987395	12	112	58
28800	1072000.0	186590.46063504962	714000.0	314299.2204890111	620000.0	116619.03789690601	2406000.0	559485.4779169876	29.8	2.3151673805580453	112.8	5.6	56.4	2.8	149	29.8	27	33	2.3151673805580453	282	56.4	53	59	2.8	564	112.8	106	118	5.6	17	31	67
32400	736000.0	137637.20427268202	546000.0	214158.81957089697	480000.0	74833.14773547882	1762000.0	365042.46328338294	32.4	2.9393876913398134	122.0	4.774934554525329	61.2	2.3151673805580453	162	32.4	30	36	2.9393876913398134	306	61.2	58	64	2.3151673805580453	610	122.0	115	128	4.774934554525329	13	24	46
36000	768000.0	193328.73557751314	462000.0	205757.13839378697	500000.0	109544.51150103322	1730000.0	479666.5508454806	34.6	3.6660605559646724	131.6	4.882622246293481	66.2	2.4819347291981715	173	34.6	31	40	3.6660605559646724	331	66.2	63	70	2.4819347291981715	658	131.6	125	139	4.882622246293481	11	25	48
39600	1216000.0	234059.8214132447	882000.0	428317.63914179394	740000.0	135646.59966250535	2838000.0	682536.44591333	38.8	3.7629775444453557	146.8	5.491812087098392	73.6	2.576819745345025	194	38.8	34	44	3.7629775444453557	368	73.6	70	78	2.576819745345025	734	146.8	139	156	5.491812087098392	21	37	76
43200	1040000.0	339411.2549695428	588000.0	84000.0	1000000.0	438178.0460041329	2628000.0	813004.3050316523	41.6	3.7202150475476548	159.8	2.3151673805580453	83.6	2.416609194718914	208	41.6	37	47	3.7202150475476548	418	83.6	80	87	2.416609194718914	799	159.8	156	163	2.3151673805580453	14	50	65
46800	816000.0	163168.62443496913	336000.0	168000.0	3300000.0	1425482.374496437	4452000.0	1355291.8504882997	43.2	3.655133376499413	170.0	2.6076809620810595	116.6	15.186836405255704	216	43.2	38	48	3.655133376499413	583	116.6	88	131	15.186836405255704	850	170.0	166	174	2.6076809620810595	8	165	51
50400	1136000.0	333322.66649599455	504000.0	507487.930890972	2660000.0	1696584.8048358797	4300000.0	1893599.7465145586	45.6	2.939387691339814	184.2	4.534313619501853	143.2	2.4	228	45.6	41	50	2.939387691339814	716	143.2	139	146	2.4	921	184.2	176	189	4.534313619501853	12	133	71
54000	1024000.0	355617.7723342859	672000.0	407205.10802297166	1300000.0	303315.017762062	2996000.0	897877.4972121754	48.8	2.1354156504062622	197.0	6.06630035524124	156.2	1.7204650534085253	244	48.8	46	52	2.1354156504062622	781	156.2	154	159	1.7204650534085253	985	197.0	190	204	6.06630035524124	16	65	64
