time	gasCreateUserMean(2)	gasCreateUserStd(3)	gasTotalMean(4)	gasTotalStd(5)	createUserMean(6)	createUserStd(7)	totProposal(8)	avgProposal(9)	minProposal(10)	maxProposal(11)	stdProposal(12)	totVote(13)	avgVote(14)	minVote(15)	maxVote(16)	stdVote(17)	totUser(18)	avgUser(19)	minUser(20)	maxUser(21)	stdUser(22)	totAggrProposal(23)	totAggrVote(24)	totAggrUser(25)
0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0	0
3600	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0	0
7200	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0	0
10800	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0	0
14400	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0	0
18000	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0	0
21600	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0	0
25200	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0	0
28800	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0	0
32400	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0	0
36000	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0	0
39600	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0	0
43200	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0	0
46800	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0	0
50400	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0	0
54000	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0	0
57600	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0	0
61200	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0	0
64800	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0	0
68400	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0	0
72000	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0	0
75600	576000.0	170833.25203250098	576000.0	170833.25203250098	7.2	2.1354156504062622	0	0.0	0	0	0.0	0	0.0	0	0	0.0	36	7.2	4	10	2.1354156504062622	0	0	36
79200	2672000.0	612614.0710104527	2672000.0	612614.0710104527	40.6	7.002856560004639	0	0.0	0	0	0.0	0	0.0	0	0	0.0	203	40.6	31	51	7.002856560004639	0	0	167
82800	4400000.0	315974.682530104	4400000.0	315974.682530104	95.6	9.748846085563153	0	0.0	0	0	0.0	0	0.0	0	0	0.0	478	95.6	85	112	9.748846085563153	0	0	275
86400	5728000.0	492113.80797535036	5728000.0	492113.80797535036	167.2	4.874423042781576	0	0.0	0	0	0.0	0	0.0	0	0	0.0	836	167.2	159	172	4.874423042781576	0	0	358
90000	6848000.0	499855.9792580259	6848000.0	499855.9792580259	252.8	7.756287771866126	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1264	252.8	243	265	7.756287771866126	0	0	428
93600	7648000.0	454242.22613050847	7648000.0	454242.22613050847	348.4	11.16422858956229	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1742	348.4	331	362	11.16422858956229	0	0	478
97200	8256000.0	681457.2620494993	8256000.0	681457.2620494993	451.6	16.883127672324225	0	0.0	0	0	0.0	0	0.0	0	0	0.0	2258	451.6	430	476	16.883127672324225	0	0	516
100800	9248000.0	465377.26631196757	9248000.0	465377.26631196757	567.2	19.041008376659047	0	0.0	0	0	0.0	0	0.0	0	0	0.0	2836	567.2	540	592	19.041008376659047	0	0	578
104400	9936000.0	800639.7442045955	9936000.0	800639.7442045955	691.4	27.375901811629877	0	0.0	0	0	0.0	0	0.0	0	0	0.0	3457	691.4	660	724	27.375901811629877	0	0	621
108000	1.0016E7	976393.3633531108	1.0016E7	976393.3633531108	816.6	32.59815945724543	0	0.0	0	0	0.0	0	0.0	0	0	0.0	4083	816.6	783	870	32.59815945724543	0	0	626
111600	1.0848E7	664722.4984909117	1.0848E7	664722.4984909117	952.2	35.81284685695903	0	0.0	0	0	0.0	0	0.0	0	0	0.0	4761	952.2	903	1006	35.81284685695903	0	0	678
115200	1.048E7	645972.1356219632	1.048E7	645972.1356219632	1083.2	36.22926993468127	0	0.0	0	0	0.0	0	0.0	0	0	0.0	5416	1083.2	1024	1133	36.22926993468127	0	0	655
118800	1.0512E7	967437.8533011824	1.0512E7	967437.8533011824	1214.6	34.27302146003471	0	0.0	0	0	0.0	0	0.0	0	0	0.0	6073	1214.6	1174	1267	34.27302146003471	0	0	657
122400	1.024E7	879272.4264981815	1.024E7	879272.4264981815	1342.6	35.99777770918644	0	0.0	0	0	0.0	0	0.0	0	0	0.0	6713	1342.6	1309	1406	35.99777770918644	0	0	640
126000	9696000.0	673902.070036886	9696000.0	673902.070036886	1463.8	42.04473807743366	0	0.0	0	0	0.0	0	0.0	0	0	0.0	7319	1463.8	1425	1532	42.04473807743366	0	0	606
129600	9504000.0	548218.934368378	9504000.0	548218.934368378	1582.6	46.953594111633244	0	0.0	0	0	0.0	0	0.0	0	0	0.0	7913	1582.6	1536	1662	46.953594111633244	0	0	594
133200	8640000.0	354175.0979388585	8640000.0	354175.0979388585	1690.6	46.28433860389495	0	0.0	0	0	0.0	0	0.0	0	0	0.0	8453	1690.6	1648	1769	46.28433860389495	0	0	540
136800	9072000.0	754888.0711734687	9072000.0	754888.0711734687	1804.0	53.75872022286245	0	0.0	0	0	0.0	0	0.0	0	0	0.0	9020	1804.0	1756	1894	53.75872022286245	0	0	567
140400	8320000.0	755566.0129995261	8320000.0	755566.0129995261	1908.0	52.01922721455981	0	0.0	0	0	0.0	0	0.0	0	0	0.0	9540	1908.0	1852	1998	52.01922721455981	0	0	520
144000	8112000.0	612614.0710104527	8112000.0	612614.0710104527	2009.4	57.55901319515476	0	0.0	0	0	0.0	0	0.0	0	0	0.0	10047	2009.4	1955	2108	57.55901319515476	0	0	507
147600	6560000.0	912140.3400793104	6560000.0	912140.3400793104	2091.4	62.905007749780935	0	0.0	0	0	0.0	0	0.0	0	0	0.0	10457	2091.4	2017	2197	62.905007749780935	0	0	410
