time	gasCreateUserMean(2)	gasCreateUserStd(3)	gasTotalMean(4)	gasTotalStd(5)	createUserMean(6)	createUserStd(7)	totProposal(8)	avgProposal(9)	minProposal(10)	maxProposal(11)	stdProposal(12)	totVote(13)	avgVote(14)	minVote(15)	maxVote(16)	stdVote(17)	totUser(18)	avgUser(19)	minUser(20)	maxUser(21)	stdUser(22)	totAggrProposal(23)	totAggrVote(24)	totAggrUser(25)
0	2.2592E7	1323848.9339800067	2.2592E7	1323848.9339800067	282.4	16.548111674750086	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1412	282.4	262	303	16.548111674750086	0	0	1412
3600	4.7104E7	1634351.2474373432	4.7104E7	1634351.2474373432	871.2	7.4404300950953095	0	0.0	0	0	0.0	0	0.0	0	0	0.0	4356	871.2	861	883	7.4404300950953095	0	0	2944
7200	4.5168E7	1289564.2674950326	4.5168E7	1289564.2674950326	1435.8	12.056533498481228	0	0.0	0	0	0.0	0	0.0	0	0	0.0	7179	1435.8	1417	1452	12.056533498481228	0	0	2823
10800	3.7664E7	1771164.5886252355	3.7664E7	1771164.5886252355	1906.6	29.54725029507822	0	0.0	0	0	0.0	0	0.0	0	0	0.0	9533	1906.6	1859	1943	29.54725029507822	0	0	2354
14400	2.8928E7	1308287.4301926163	2.8928E7	1308287.4301926163	2268.2	25.59218630754317	0	0.0	0	0	0.0	0	0.0	0	0	0.0	11341	2268.2	2243	2315	25.59218630754317	0	0	1808
18000	2.2784E7	1336167.6541512297	2.2784E7	1336167.6541512297	2553.0	27.92848008753788	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12765	2553.0	2508	2584	27.92848008753788	0	0	1424
21600	1.912E7	800000.0	1.912E7	800000.0	2792.0	31.324112118302732	0	0.0	0	0	0.0	0	0.0	0	0	0.0	13960	2792.0	2742	2818	31.324112118302732	0	0	1195
25200	1.6176E7	1649164.637020816	1.6176E7	1649164.637020816	2994.2	26.887915501206113	0	0.0	0	0	0.0	0	0.0	0	0	0.0	14971	2994.2	2953	3030	26.887915501206113	0	0	1011
28800	1.1648E7	761640.3350663619	1.1648E7	761640.3350663619	3139.8	35.329307946802466	0	0.0	0	0	0.0	0	0.0	0	0	0.0	15699	3139.8	3087	3192	35.329307946802466	0	0	728
32400	1.0416E7	781219.559406957	1.0416E7	781219.559406957	3270.0	37.56594202199647	0	0.0	0	0	0.0	0	0.0	0	0	0.0	16350	3270.0	3228	3329	37.56594202199647	0	0	651
36000	8528000.0	1174229.9604421614	8528000.0	1174229.9604421614	3376.6	40.311784877377974	0	0.0	0	0	0.0	0	0.0	0	0	0.0	16883	3376.6	3319	3424	40.311784877377974	0	0	533
