time	gasCreateUserMean(2)	gasCreateUserStd(3)	gasCreateProposalMean(4)	gasCreateProposalStd(5)	gasVoteMean(6)	gasVoteStd(7)	gasTotalMean(8)	gasTotalStd(9)	createProposalMean(10)	createProposalStd(11)	createUserMean(12)	createUserStd(13)	voteMean(14)	voteStd(15)	totProposal(16)	avgProposal(17)	minProposal(18)	maxProposal(19)	stdProposal(20)	totVote(21)	avgVote(22)	minVote(23)	maxVote(24)	stdVote(25)	totUser(26)	avgUser(27)	minUser(28)	maxUser(29)	stdUser(30)	totAggrProposal(31)	totAggrVote(32)	totAggrUser(33)
0	399.6	150.56772562538094	4444.4	8888.8	0.0	0.0	4844.0	8800.840028088229	0.4	0.8	3.6	1.3564659966250538	0.0	0.0	2	0.4	0	2	0.8	0	0.0	0	0	0.0	18	3.6	2	6	1.3564659966250538	2	0	18
3600	488.4	150.56772562538094	4444.4	5443.2561064127785	0.0	0.0	4932.8	5499.427402921145	0.8	0.7483314773547883	8.0	2.1908902300206643	0.0	0.0	4	0.8	0	2	0.7483314773547883	0	0.0	0	0	0.0	40	8.0	5	11	2.1908902300206643	2	0	22
7200	421.8	108.7573445795731	4444.4	5443.2561064127785	0.0	0.0	4866.2	5462.435039430675	1.2	0.9797958971132712	11.8	2.2271057451320084	0.0	0.0	6	1.2	0	3	0.9797958971132712	0	0.0	0	0	0.0	59	11.8	8	14	2.2271057451320084	2	0	19
10800	377.4	133.2	8888.8	8314.711044889053	0.0	0.0	9266.2	8386.665020137623	2.0	0.6324555320336759	15.2	1.7204650534085253	0.0	0.0	10	2.0	1	3	0.6324555320336759	0	0.0	0	0	0.0	76	15.2	13	18	1.7204650534085253	4	0	17
14400	333.0	121.59440776614689	2222.2	4444.4	0.0	0.0	2555.2	4501.200391006826	2.2	0.9797958971132712	18.2	2.481934729198171	0.0	0.0	11	2.2	1	4	0.9797958971132712	0	0.0	0	0	0.0	91	18.2	14	21	2.481934729198171	1	0	15
18000	288.6	150.56772562538094	4444.4	5443.2561064127785	0.0	0.0	4733.0	5570.729503395403	2.6	0.8	20.8	2.4	0.0	0.0	13	2.6	2	4	0.8	0	0.0	0	0	0.0	104	20.8	18	24	2.4	2	0	13
21600	466.2	215.23698566928502	8888.8	12957.541300725226	7.2	14.4	9362.2	13090.579122407074	3.4	1.2000000000000002	25.0	1.6733200530681511	2.4	4.8	17	3.4	2	5	1.2000000000000002	12	2.4	0	12	4.8	125	25.0	23	27	1.6733200530681511	4	12	21
25200	444.0	198.56283640198131	15555.4	8888.8	10.8	17.2441294358399	16010.2	8943.844215995714	4.8	1.6	29.0	0.8944271909999159	6.0	6.957010852370434	24	4.8	3	7	1.6	30	6.0	0	15	6.957010852370434	145	29.0	28	30	0.8944271909999159	7	18	20
28800	421.8	190.9716209283463	6666.6	8888.800000000001	12.6	19.386593305684215	7101.0	9033.788728988518	5.4	1.3564659966250536	32.8	1.469693845669907	10.2	8.35224520712844	27	5.4	3	7	1.3564659966250536	51	10.2	0	18	8.35224520712844	164	32.8	31	35	1.469693845669907	3	21	19
32400	399.6	239.10131743677198	4444.4	5443.2561064127785	25.2	23.81931988953505	4869.2	5624.04912496326	5.8	1.7204650534085253	36.4	1.9595917942265426	18.6	1.019803902718557	29	5.8	3	8	1.7204650534085253	93	18.6	17	20	1.019803902718557	182	36.4	33	39	1.9595917942265426	2	42	18
36000	666.0	364.7832232984406	6666.6	5443.2561064127785	8.4	4.409081537009721	7341.0	5546.167758010932	6.4	2.0591260281974	42.4	4.923413450036469	21.4	2.4166091947189146	32	6.4	3	9	2.0591260281974	107	21.4	18	24	2.4166091947189146	212	42.4	35	47	4.923413450036469	3	14	30
39600	421.8	190.9716209283463	11111.0	7027.213416426172	6.6	2.939387691339814	11539.4	6994.71021844365	7.4	2.33238075793812	46.2	3.9191835884530852	23.6	1.9595917942265426	37	7.4	4	10	2.33238075793812	118	23.6	20	25	1.9595917942265426	231	46.2	39	49	3.9191835884530852	5	11	19
43200	399.6	180.35365258291833	11111.0	7027.213416426172	4.8	2.4	11515.4	6958.095819978337	8.4	2.5768197453450252	49.8	4.791659420284375	25.2	2.481934729198171	42	8.4	4	11	2.5768197453450252	126	25.2	21	28	2.481934729198171	249	49.8	42	55	4.791659420284375	5	8	18
46800	333.0	198.56283640198131	8888.8	8314.711044889054	12.6	14.86741403203664	9234.4	8497.209650232246	9.2	3.1874754901018454	52.8	5.946427498927402	29.4	6.053098380168622	46	9.2	4	13	3.1874754901018454	147	29.4	22	40	6.053098380168622	264	52.8	43	61	5.946427498927402	4	21	15
50400	333.0	210.60769216721405	8888.8	8314.711044889053	13.2	20.488045294756645	9235.0	8539.614581466778	10.0	2.449489742783178	55.8	5.67097875150313	33.8	8.37615663654877	50	10.0	6	13	2.449489742783178	169	33.8	24	46	8.37615663654877	279	55.8	47	62	5.67097875150313	4	22	15
54000	444.0	371.47705178112955	2222.2	4444.4	19.2	23.591523901604997	2685.4	4287.381793122698	10.2	2.6381811916545836	59.8	5.2687759489277965	40.2	8.565045242145542	51	10.2	6	13	2.6381811916545836	201	40.2	26	49	8.565045242145542	299	59.8	52	65	5.2687759489277965	1	32	20
57600	333.0	121.59440776614689	4444.4	8888.8	13.2	14.524462124292244	4790.6	8942.901377069973	10.6	3.1368774282716245	62.8	5.878775382679627	44.6	8.890444308357148	53	10.6	6	15	3.1368774282716245	223	44.6	27	51	8.890444308357148	314	62.8	53	68	5.878775382679627	2	22	15
61200	488.4	180.35365258291833	6666.6	8888.800000000001	14.4	7.2	7169.4	8937.183887556528	11.2	2.5612496949731396	67.2	6.04648658313239	49.4	10.384603988597735	56	11.2	8	15	2.5612496949731396	247	49.4	29	57	10.384603988597735	336	67.2	57	74	6.04648658313239	3	24	22
64800	444.0	210.60769216721405	2222.2	4444.4	29.4	21.247117451550928	2695.6	4499.750330851702	11.4	2.5768197453450252	71.2	5.5641710972974225	59.2	3.9698866482558417	57	11.4	8	15	2.5768197453450252	296	59.2	52	63	3.9698866482558417	356	71.2	64	79	5.5641710972974225	1	49	20
68400	399.6	54.37867228978655	6666.6	5443.2561064127785	9.0	4.6475800154489	7075.2	5450.1145455852575	12.0	2.6832815729997477	74.8	5.74108003776293	62.2	4.749736834815168	60	12.0	9	16	2.6832815729997477	311	62.2	54	67	4.749736834815168	374	74.8	68	83	5.74108003776293	3	15	18
72000	333.0	198.56283640198131	4444.4	5443.2561064127785	13.8	8.611620056644394	4791.2	5439.191756134362	12.4	2.5768197453450252	77.8	6.910861017268399	66.8	6.337191807101943	62	12.4	9	16	2.5768197453450252	334	66.8	55	73	6.337191807101943	389	77.8	70	89	6.910861017268399	2	23	15
75600	288.6	133.2	6666.6	5443.2561064127785	5.4	5.1613951602255765	6960.6	5546.885634299665	13.0	2.1908902300206643	80.4	6.651315659326356	68.6	5.083306010855534	65	13.0	10	16	2.1908902300206643	343	68.6	60	75	5.083306010855534	402	80.4	73	91	6.651315659326356	3	9	13
79200	643.8	163.13601686935965	6666.6	5443.2561064127785	15.6	11.757550765359253	7326.0	5385.94069777973	13.6	2.33238075793812	86.2	7.0823724838503095	73.8	5.6000000000000005	68	13.6	11	17	2.33238075793812	369	73.8	64	80	5.6000000000000005	431	86.2	77	98	7.0823724838503095	3	26	29
82800	466.2	215.23698566928502	4444.4	5443.2561064127785	17.4	17.53396703544295	4928.0	5662.37307142509	14.0	2.1908902300206643	90.4	7.657675887630659	79.6	10.190191362285598	70	14.0	11	17	2.1908902300206643	398	79.6	65	95	10.190191362285598	452	90.4	80	101	7.657675887630659	2	29	21
86400	377.4	150.56772562538094	4444.4	8888.8	26.4	38.108266819681	4848.2	8970.09051013422	14.4	1.7435595774162693	93.8	7.833262411026456	88.4	15.755633912984905	72	14.4	12	17	1.7435595774162693	442	88.4	68	111	15.755633912984905	469	93.8	83	105	7.833262411026456	2	44	17
90000	532.8	190.9716209283463	11111.0	7027.213416426172	11.4	6.406246951218787	11655.2	6922.655773617521	15.4	2.0591260281974	98.6	6.590902821313632	92.2	17.417232845661793	77	15.4	13	18	2.0591260281974	461	92.2	71	119	17.417232845661793	493	98.6	89	107	6.590902821313632	5	19	24
93600	155.4	88.8	0.0	0.0	24.0	17.389652095427326	179.4	81.9917068977101	15.4	2.0591260281974	100.0	6.603029607687671	100.2	17.937669859822932	77	15.4	13	18	2.0591260281974	501	100.2	72	120	17.937669859822932	500	100.0	91	109	6.603029607687671	0	40	7
97200	377.4	180.35365258291833	13333.2	12957.541300725226	50.4	37.2	13761.0	13095.314765212786	16.6	1.8547236990991407	103.4	7.964923100695951	117.0	10.73312629199899	83	16.6	14	19	1.8547236990991407	585	117.0	105	129	10.73312629199899	517	103.4	92	115	7.964923100695951	6	84	17
100800	399.6	150.56772562538094	8888.8	8314.711044889053	15.6	13.99428454762872	9304.0	8441.120897132087	17.4	1.9595917942265424	107.0	9.077444574328174	122.2	7.756287771866127	87	17.4	14	20	1.9595917942265424	611	122.2	111	131	7.756287771866127	535	107.0	94	120	9.077444574328174	4	26	18
104400	355.2	237.03113719509514	11111.0	7027.213416426172	14.4	8.357032966310472	11480.6	6919.481414094556	18.4	1.3564659966250538	110.2	10.590561835898981	127.0	10.13903348450926	92	18.4	16	20	1.3564659966250538	635	127.0	113	139	10.13903348450926	551	110.2	96	127	10.590561835898981	5	24	16
108000	266.4	150.56772562538094	11111.0	7027.213416426172	9.0	9.09945053286186	11386.4	7126.715164786649	19.4	1.8547236990991407	112.6	10.9288608738514	130.0	8.318653737234168	97	19.4	16	21	1.8547236990991407	650	130.0	122	141	8.318653737234168	563	112.6	100	131	10.9288608738514	5	15	12
111600	222.0	121.59440776614689	4444.4	5443.2561064127785	18.0	18.878559267062727	4684.4	5546.665614583234	19.8	2.1354156504062622	114.6	9.891410415102591	136.0	8.461678320522472	99	19.8	16	22	2.1354156504062622	680	136.0	123	147	8.461678320522472	573	114.6	103	131	9.891410415102591	2	30	10
115200	399.6	180.35365258291833	4444.4	8888.8	36.0	41.352146256270665	4880.0	8898.587326087214	20.2	2.481934729198171	118.2	11.070682002478437	148.0	21.02379604162864	101	20.2	16	23	2.481934729198171	740	148.0	123	180	21.02379604162864	591	118.2	106	137	11.070682002478437	2	60	18
118800	377.4	286.0269917332978	8888.8	8314.711044889053	19.2	18.45426779907564	9285.4	8474.18235819834	21.0	2.6832815729997477	121.6	12.674383614203888	154.4	21.905250512148907	105	21.0	16	24	2.6832815729997477	772	154.4	133	191	21.905250512148907	608	121.6	106	141	12.674383614203888	4	32	17
122400	421.8	226.39646640351964	4444.4	5443.2561064127785	26.4	29.84359227707013	4892.6	5540.055761452225	21.4	3.0066592756745814	125.4	11.48216007552586	163.2	28.533489096148056	107	21.4	16	25	3.0066592756745814	816	163.2	136	200	28.533489096148056	627	125.4	109	142	11.48216007552586	2	44	19
126000	377.4	88.8	6666.6	8888.8	54.0	55.05633478538142	7098.0	8956.729135125166	22.0	2.280350850198276	128.8	11.214276615100948	181.2	20.9990475974507	110	22.0	18	25	2.280350850198276	906	181.2	145	203	20.9990475974507	644	128.8	112	144	11.214276615100948	3	90	17
129600	421.8	177.6	4444.4	5443.2561064127785	37.2	35.779323638101374	4903.4	5529.571614510476	22.4	2.4166091947189146	132.6	11.825396399275586	193.6	15.134067529914091	112	22.4	18	25	2.4166091947189146	968	193.6	177	214	15.134067529914091	663	132.6	117	150	11.825396399275586	2	62	19
133200	510.6	258.8942641311313	4444.4	5443.2561064127785	10.2	6.177378084592201	4965.2	5619.221810891611	22.8	2.481934729198171	137.2	12.796874618437112	197.0	15.270887335056859	114	22.8	18	25	2.481934729198171	985	197.0	178	217	15.270887335056859	686	137.2	123	155	12.796874618437112	2	17	23
136800	444.0	198.56283640198131	11111.0	7027.213416426172	8.4	6.406246951218787	11563.4	6959.61719062191	23.8	2.6381811916545836	141.2	12.82809416865966	199.8	15.210522673465235	119	23.8	19	26	2.6381811916545836	999	199.8	179	219	15.210522673465235	706	141.2	128	160	12.82809416865966	5	14	20
140400	355.2	83.0647939863815	11111.0	9937.980519200066	21.6	24.253659517689286	11487.8	9922.32431237762	24.8	2.1354156504062622	144.4	12.531560158256434	207.0	21.475567512873788	124	24.8	21	27	2.1354156504062622	1035	207.0	180	238	21.475567512873788	722	144.4	132	162	12.531560158256434	5	36	16
144000	266.4	113.19823320175983	0.0	0.0	36.6	51.62789943431749	303.0	95.03893938802138	24.8	2.1354156504062622	146.8	12.496399481450647	219.2	34.41162594240499	124	24.8	21	27	2.1354156504062622	1096	219.2	181	271	34.41162594240499	734	146.8	135	163	12.496399481450647	0	61	12
147600	333.0	198.56283640198131	4444.4	5443.2561064127785	24.6	23.03562458454296	4802.0	5567.218156314696	25.2	2.2271057451320084	149.8	13.760813929415658	227.4	29.479484391691795	126	25.2	21	27	2.2271057451320084	1137	227.4	197	273	29.479484391691795	749	149.8	136	168	13.760813929415658	2	41	15
151200	310.8	108.7573445795731	6666.6	8888.8	53.4	61.405537209603494	7030.8	8988.18759038773	25.8	2.1354156504062622	152.6	13.124023773218335	245.2	32.35676127179604	129	25.8	22	28	2.1354156504062622	1226	245.2	206	288	32.35676127179604	763	152.6	140	170	13.124023773218335	3	89	14
154800	288.6	150.56772562538094	2222.2	4444.4	45.6	46.76152264415692	2556.4	4335.450915418141	26.0	2.3664319132398464	155.2	12.998461447417537	260.4	35.31345352694919	130	26.0	22	29	2.3664319132398464	1302	260.4	206	302	35.31345352694919	776	155.2	142	172	12.998461447417537	1	76	13
158400	710.4	180.3536525829183	8888.8	8314.711044889054	30.6	28.737432035587315	9629.8	8312.327794306479	26.8	1.7204650534085253	161.6	13.836184445142381	270.6	28.597902020952517	134	26.8	24	29	1.7204650534085253	1353	270.6	235	305	28.597902020952517	808	161.6	149	179	13.836184445142381	4	51	32
162000	532.8	256.983579241943	6666.6	8888.800000000001	31.8	36.52615501253862	7231.2	9025.736676859124	27.4	1.9595917942265426	166.4	13.215142829345433	281.2	21.075103795711183	137	27.4	24	30	1.9595917942265426	1406	281.2	257	308	21.075103795711183	832	166.4	154	184	13.215142829345433	3	53	24
165600	310.8	129.44713206556565	4444.4	5443.2561064127785	9.0	9.09945053286186	4764.2	5366.900200301846	27.8	1.9390719429665315	169.2	14.161920773680384	284.2	23.301502097504358	139	27.8	25	31	1.9390719429665315	1421	284.2	258	317	23.301502097504358	846	169.2	156	187	14.161920773680384	2	15	14
169200	333.0	243.18881553229377	2222.2	4444.4	11.4	15.576905982896603	2566.6	4629.70688489023	28.0	1.8973665961010275	172.2	15.144636014114042	288.0	25.953805116013335	140	28.0	25	31	1.8973665961010275	1440	288.0	261	321	25.953805116013335	861	172.2	156	192	15.144636014114042	1	19	15
172800	399.6	113.19823320175982	6666.6	8888.800000000001	76.2	49.02407571795719	7142.4	8775.844269356654	28.6	1.3564659966250536	175.8	15.48418548067673	313.4	37.76559280615095	143	28.6	27	31	1.3564659966250536	1567	313.4	271	369	37.76559280615095	879	175.8	159	196	15.48418548067673	3	127	18
176400	466.2	108.7573445795731	8888.8	8314.711044889053	7.8	2.4	9362.8	8261.544393150714	29.4	1.3564659966250538	180.0	14.805404418657398	316.0	37.26660703632677	147	29.4	28	32	1.3564659966250538	1580	316.0	274	371	37.26660703632677	900	180.0	165	199	14.805404418657398	4	13	21
180000	355.2	215.23698566928502	11111.0	17213.087183884243	28.2	47.41898354035017	11494.4	17445.736758302868	30.4	1.8547236990991407	183.2	13.43726162579266	325.4	36.16407056734626	152	30.4	28	33	1.8547236990991407	1627	325.4	276	373	36.16407056734626	916	183.2	170	201	13.43726162579266	5	47	16
183600	421.8	177.6	8888.8	8314.711044889053	69.0	57.64373339748216	9379.6	8465.509544026278	31.2	1.469693845669907	187.0	13.206059215375342	348.4	31.302396074422163	156	31.2	29	33	1.469693845669907	1742	348.4	319	407	31.302396074422163	935	187.0	176	206	13.206059215375342	4	115	19
187200	399.6	302.767633673086	4444.4	5443.2561064127785	38.4	38.01368174749717	4882.4	5596.745432838624	31.6	1.0198039027185568	190.6	14.705101155721438	361.2	25.388186229031803	158	31.6	30	33	1.0198039027185568	1806	361.2	341	411	25.388186229031803	953	190.6	176	209	14.705101155721438	2	64	18
190800	355.2	275.494754940997	2222.2	4444.4	35.4	47.14488307335166	2612.8	4378.148531057393	31.8	1.32664991614216	193.8	16.314410807626487	373.0	27.806474066303338	159	31.8	30	34	1.32664991614216	1865	373.0	347	415	27.806474066303338	969	193.8	177	216	16.314410807626487	1	59	16
194400	333.0	185.73852589056477	2222.2	4444.4	21.6	15.107613974417006	2576.8	4605.164639836453	32.0	1.4142135623730951	196.8	15.497096502248413	380.2	28.533489096148056	160	32.0	30	34	1.4142135623730951	1901	380.2	354	417	28.533489096148056	984	196.8	183	219	15.497096502248413	1	36	15
198000	399.6	205.8743306000046	13333.2	4444.4	57.0	38.277930978567795	13789.8	4608.975044410634	33.2	1.3266499161421599	200.4	16.572265988693278	399.2	31.447734417601534	166	33.2	31	35	1.3266499161421599	1996	399.2	365	451	31.447734417601534	1002	200.4	184	223	16.572265988693278	6	95	18
201600	399.6	88.8	8888.8	8314.711044889053	16.2	12.671227249165726	9304.6	8272.277766129471	34.0	1.8973665961010275	204.0	16.982343772283023	404.6	31.884792613407416	170	34.0	31	36	1.8973665961010275	2023	404.6	368	458	31.884792613407416	1020	204.0	187	228	16.982343772283023	4	27	18
205200	488.4	228.5629891299114	6666.6	5443.2561064127785	48.6	44.14793313395317	7203.6	5505.883166214117	34.6	1.7435595774162693	208.4	16.68052756959443	420.8	31.902351010544663	173	34.6	32	37	1.7435595774162693	2104	420.8	383	460	31.902351010544663	1042	208.4	189	233	16.68052756959443	3	81	22
208800	421.8	332.259175945526	13333.2	12957.541300725226	63.0	76.08416392390733	13818.0	13234.037040903278	35.8	2.0396078054371136	212.2	17.428711943227473	441.8	44.647060373556506	179	35.8	32	38	2.0396078054371136	2209	441.8	383	511	44.647060373556506	1061	212.2	189	234	17.428711943227473	6	105	19
