time	gasCreateUserMean(2)	gasCreateUserStd(3)	gasCreateProposalMean(4)	gasCreateProposalStd(5)	gasVoteMean(6)	gasVoteStd(7)	gasTotalMean(8)	gasTotalStd(9)	createProposalMean(10)	createProposalStd(11)	createUserMean(12)	createUserStd(13)	voteMean(14)	voteStd(15)	totProposal(16)	avgProposal(17)	minProposal(18)	maxProposal(19)	stdProposal(20)	totVote(21)	avgVote(22)	minVote(23)	maxVote(24)	stdVote(25)	totUser(26)	avgUser(27)	minUser(28)	maxUser(29)	stdUser(30)	totAggrProposal(31)	totAggrVote(32)	totAggrUser(33)
0	1065.6	400.8314358929449	39999.6	28631.044190528573	43.2	36.6736962958467	41108.4	29047.705744860472	3.6	2.5768197453450252	9.6	3.6110940170535577	14.4	12.2245654319489	18	3.6	0	8	2.5768197453450252	72	14.4	0	36	12.2245654319489	48	9.6	4	15	3.6110940170535577	18	72	48
3600	1132.2	387.0702261864118	42221.8	31739.36450781584	88.2	59.83778070750953	43442.2	32085.005241701307	7.4	3.5552777669262356	19.8	3.655133376499413	43.8	26.407574670915917	37	7.4	4	14	3.5552777669262356	219	43.8	17	90	26.407574670915917	99	19.8	15	24	3.655133376499413	19	147	51
7200	954.6	150.56772562538094	28888.6	19372.69046467217	112.2	58.6528771672797	29955.4	19482.329764173483	10.0	4.33589667773576	28.4	2.870540018881465	81.2	40.49888887364689	50	10.0	5	18	4.33589667773576	406	81.2	27	153	40.49888887364689	142	28.4	25	33	2.870540018881465	13	187	43
10800	1198.8	353.8097794013048	33333.0	27216.28053206389	160.2	114.84319744765034	34692.0	27638.3511157956	13.0	4.732863826479693	39.2	2.9257477676655586	134.6	53.10593187206115	65	13.0	8	22	4.732863826479693	673	134.6	80	233	53.10593187206115	196	39.2	36	43	2.9257477676655586	15	267	54
14400	976.8	266.4	37777.4	22878.949299301312	220.2	109.58175030542266	38974.4	23144.174218148288	16.4	5.2	48.0	4.147288270665544	208.0	68.78371900384568	82	16.4	10	25	5.2	1040	208.0	126	305	68.78371900384568	240	48.0	43	55	4.147288270665544	17	367	44
18000	932.4	286.0269917332978	13333.2	4444.4	103.2	27.66514052015641	14368.8	4675.403144114955	17.6	4.963869458396342	56.4	5.1613951602255765	242.4	66.08055689837973	88	17.6	12	26	4.963869458396342	1212	242.4	178	337	66.08055689837973	282	56.4	52	66	5.1613951602255765	6	172	42
21600	976.8	163.13601686935965	33333.0	15713.326891527458	280.8	126.66396488346636	34590.6	15839.671999129276	20.6	5.885575587824865	65.2	4.833218389437829	336.0	96.63746685421756	103	20.6	15	31	5.885575587824865	1680	336.0	210	493	96.63746685421756	326	65.2	60	74	4.833218389437829	15	468	44
25200	1087.8	353.80977940130487	35555.2	19116.087208422126	319.2	150.86868462341678	36962.2	19297.109777373396	23.8	5.979966555090422	75.0	7.183313998427188	442.4	106.25365876053398	119	23.8	17	34	5.979966555090422	2212	442.4	275	592	106.25365876053398	375	75.0	66	88	7.183313998427188	16	532	49
28800	666.0	185.73852589056477	24444.2	10886.512212825557	257.4	79.63064736645056	25367.6	11138.347123339261	26.0	5.966573556070519	81.0	6.164414002968976	528.2	99.82264272197966	130	26.0	20	37	5.966573556070519	2641	528.2	383	679	99.82264272197966	405	81.0	73	92	6.164414002968976	11	429	30
32400	1198.8	177.6	57777.2	22662.082326211774	538.2	193.26706910386986	59514.2	22774.323001134413	31.2	4.707440918375928	91.8	6.910861017268398	707.6	117.4744227481029	156	31.2	27	40	4.707440918375928	3538	707.6	545	848	117.4744227481029	459	91.8	82	103	6.910861017268398	26	897	54
36000	821.4	113.19823320175982	28888.6	5443.2561064127785	397.2	70.47382492812491	30107.2	5592.710877561972	33.8	4.955804677345547	99.2	7.332121111929345	840.0	115.14338886796757	169	33.8	30	43	4.955804677345547	4200	840.0	704	998	115.14338886796757	496	99.2	89	111	7.332121111929345	13	662	37
39600	1176.6	150.56772562538097	31110.8	16329.768319238334	433.8	276.47307282988703	32721.2	16616.53342186631	36.6	4.923413450036469	109.8	7.386474125047755	984.6	100.14509473758562	183	36.6	32	45	4.923413450036469	4923	984.6	809	1108	100.14509473758562	549	109.8	98	121	7.386474125047755	14	723	53
43200	1176.6	362.07104275266204	33333.0	15713.326891527458	552.0	239.99249988280883	35061.6	16243.516843343992	39.6	5.817215828899595	120.4	6.151422599691879	1168.6	149.45715105005848	198	39.6	33	50	5.817215828899595	5843	1168.6	1012	1418	149.45715105005848	602	120.4	112	128	6.151422599691879	15	920	53
46800	1021.2	163.13601686935965	28888.6	8888.800000000001	486.0	108.664621657649	30395.8	9063.35137573293	42.2	5.381449618829484	129.6	6.019966777316965	1330.6	125.69423216679436	211	42.2	36	52	5.381449618829484	6653	1330.6	1206	1560	125.69423216679436	648	129.6	122	138	6.019966777316965	13	810	46
50400	865.8	190.9716209283463	22222.0	12171.490672879801	387.6	156.798724484608	23475.4	12467.970365701069	44.2	6.209669878504009	137.4	7.605261336732618	1459.8	170.21797789892815	221	44.2	38	56	6.209669878504009	7299	1459.8	1313	1776	170.21797789892815	687	137.4	127	148	7.605261336732618	10	646	39
54000	999.0	336.67966971588885	42221.8	26666.399999999998	622.2	380.89652138080754	43843.0	27309.76306744531	48.0	7.238784428341543	146.4	7.3375745311376575	1667.2	235.48876830965844	240	48.0	42	62	7.238784428341543	8336	1667.2	1500	2123	235.48876830965844	732	146.4	138	158	7.3375745311376575	19	1037	45
57600	732.6	348.1933945381503	28888.6	26850.944762521856	598.8	453.8023358247509	30220.0	27627.536864512553	50.6	5.782732917920384	153.0	7.4565407529228995	1866.8	201.4769465720582	253	50.6	46	62	5.782732917920384	9334	1866.8	1633	2169	201.4769465720582	765	153.0	143	160	7.4565407529228995	13	998	33
61200	1110.0	222.0	37777.4	11331.041163105885	659.4	220.7021522323695	39546.8	11739.490966817939	54.0	5.019960159204453	163.0	7.92464510246358	2086.6	162.42118088476022	270	54.0	51	64	5.019960159204453	10433	2086.6	1860	2270	162.42118088476022	815	163.0	152	171	7.92464510246358	17	1099	50
64800	932.4	228.56298912991141	46666.2	21545.028358301133	867.0	341.10408968524547	48465.6	22036.79303891562	58.2	5.192301994298868	171.4	6.499230723708768	2375.6	152.92952625310784	291	58.2	53	68	5.192301994298868	11878	2375.6	2219	2612	152.92952625310784	857	171.4	163	178	6.499230723708768	21	1445	42
68400	999.0	390.87133432883	31110.8	12957.541300725226	696.6	320.9489679061143	32806.4	13595.508752525591	61.0	5.138093031466052	180.4	5.043808085167397	2607.8	104.44979655317668	305	61.0	56	70	5.138093031466052	13039	2607.8	2488	2756	104.44979655317668	902	180.4	174	189	5.043808085167397	14	1161	45
72000	954.6	286.0269917332978	39999.6	8888.800000000001	792.0	193.98659747518641	41746.2	9190.376888898518	64.6	5.0039984012787215	189.0	6.511528238439882	2871.8	97.64507156021753	323	64.6	59	73	5.0039984012787215	14359	2871.8	2708	3007	97.64507156021753	945	189.0	178	198	6.511528238439882	18	1320	43
75600	976.8	411.7486612000092	24444.2	14740.40721825554	600.6	389.29043142620395	26021.6	15462.218891219978	66.8	4.019950248448356	197.8	7.332121111929345	3072.0	53.452782902296114	334	66.8	62	73	4.019950248448356	15360	3072.0	3009	3154	53.452782902296114	989	197.8	189	211	7.332121111929345	11	1001	44
79200	1243.2	429.3275672490645	33333.0	18592.25910964023	814.8	349.3453305827917	35391.0	18862.078856796248	69.8	4.621688003316537	209.0	8.831760866327848	3343.6	147.6680060134896	349	69.8	64	76	4.621688003316537	16718	3343.6	3235	3632	147.6680060134896	1045	209.0	199	223	8.831760866327848	15	1358	56
82800	932.4	294.51628138355954	33333.0	21081.640249278516	792.0	420.00428569242007	35057.4	21713.707326018743	72.8	4.874423042781576	217.4	8.380930735902785	3607.6	150.79734745677723	364	72.8	65	80	4.874423042781576	18038	3607.6	3353	3781	150.79734745677723	1087	217.4	206	230	8.380930735902785	15	1320	42
