time	gasCreazioneMean(2)	gasCreazioneStd(3)	gasTotalMean(4)	gasTotalStd(5)	creazioneMean(6)	creazioneStd(7)	totKitty(8)	avgKitty(9)	minKitty(10)	maxKitty(11)	stdKitty(12)
0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
3600	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
7200	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
10800	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
14400	666.6	1333.2	666.6	1333.2	0.2	0.4	1	0.2	0	1	0.4
18000	0.0	0.0	0.0	0.0	0.2	0.4	1	0.2	0	1	0.4
21600	0.0	0.0	0.0	0.0	0.2	0.4	1	0.2	0	1	0.4
25200	666.6	1333.2	666.6	1333.2	0.4	0.8	2	0.4	0	2	0.8
28800	0.0	0.0	0.0	0.0	0.4	0.8	2	0.4	0	2	0.8
32400	666.6	1333.2000000000003	666.6	1333.2000000000003	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
36000	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
39600	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
43200	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
46800	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
50400	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
54000	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
57600	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
61200	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
64800	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
68400	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
72000	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
75600	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
79200	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
82800	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
86400	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
90000	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
93600	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
97200	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
100800	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
104400	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
108000	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
111600	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
115200	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
118800	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
122400	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
126000	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
129600	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
133200	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
136800	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
140400	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
144000	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
147600	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
151200	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
154800	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
158400	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
162000	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
165600	0.0	0.0	0.0	0.0	0.6	0.7999999999999999	3	0.6	0	2	0.7999999999999999
