time	gasInitializeMean(2)	gasInitializeStd(3)	gasMintMean(4)	gasMintStd(5)	gasTotalMean(6)	gasTotalStd(7)	mintMean(8)	mintStd(9)	initializeMean(10)	initializeStd(11)	totPool(12)	avgPool(13)	minPool(14)	maxPool(15)	stdPool(16)
0	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	60.0	0.0	0	0.0	0	0	0.0
60	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	120.0	0.0	0	0.0	0	0	0.0
120	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	180.0	0.0	0	0.0	0	0	0.0
180	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	240.0	0.0	0	0.0	0	0	0.0
240	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	300.0	0.0	0	0.0	0	0	0.0
300	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	360.0	0.0	0	0.0	0	0	0.0
360	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	420.0	0.0	0	0.0	0	0	0.0
420	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	480.0	0.0	0	0.0	0	0	0.0
480	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	540.0	0.0	0	0.0	0	0	0.0
540	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	600.0	0.0	0	0.0	0	0	0.0
600	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	660.0	0.0	0	0.0	0	0	0.0
660	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	720.0	0.0	0	0.0	0	0	0.0
720	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	780.0	0.0	0	0.0	0	0	0.0
780	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	840.0	0.0	0	0.0	0	0	0.0
840	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	900.0	0.0	0	0.0	0	0	0.0
900	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	960.0	0.0	0	0.0	0	0	0.0
960	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	1020.0	0.0	0	0.0	0	0	0.0
1020	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	1080.0	0.0	0	0.0	0	0	0.0
1080	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	1140.0	0.0	0	0.0	0	0	0.0
1140	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	1200.0	0.0	0	0.0	0	0	0.0
1200	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	1260.0	0.0	0	0.0	0	0	0.0
1260	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	1320.0	0.0	0	0.0	0	0	0.0
1320	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	1380.0	0.0	0	0.0	0	0	0.0
1380	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	1440.0	0.0	0	0.0	0	0	0.0
1440	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	1500.0	0.0	0	0.0	0	0	0.0
1500	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	1560.0	0.0	0	0.0	0	0	0.0
