time	gasCreateUserMean(2)	gasCreateUserStd(3)	gasCreateProposalMean(4)	gasCreateProposalStd(5)	gasVoteMean(6)	gasVoteStd(7)	gasTotalMean(8)	gasTotalStd(9)	createProposalMean(10)	createProposalStd(11)	createUserMean(12)	createUserStd(13)	voteMean(14)	voteStd(15)	totProposal(16)	avgProposal(17)	minProposal(18)	maxProposal(19)	stdProposal(20)	totVote(21)	avgVote(22)	minVote(23)	maxVote(24)	stdVote(25)	totUser(26)	avgUser(27)	minUser(28)	maxUser(29)	stdUser(30)	totAggrProposal(31)	totAggrVote(32)	totAggrUser(33)
0	816000.0	292410.67011995305	840000.0	375659.4202199647	0.0	0.0	1656000.0	644037.2660025194	4.0	1.7888543819998317	10.2	3.655133376499413	0.0	0.0	20	4.0	2	7	1.7888543819998317	0	0.0	0	0	0.0	51	10.2	6	15	3.655133376499413	20	0	51
3600	608000.0	96000.0	588000.0	361297.6612157903	0.0	0.0	1196000.0	429073.42029074696	6.8	2.85657137141714	17.8	4.707440918375928	0.0	0.0	34	6.8	3	11	2.85657137141714	0	0.0	0	0	0.0	89	17.8	13	24	4.707440918375928	14	0	38
7200	976000.0	146642.42223858688	672000.0	157149.61024450554	0.0	0.0	1648000.0	241445.6460572441	10.0	3.03315017762062	30.0	4.381780460041329	0.0	0.0	50	10.0	5	14	3.03315017762062	0	0.0	0	0	0.0	150	30.0	25	37	4.381780460041329	16	0	61
10800	720000.0	87635.60920082658	756000.0	341209.61299471033	0.0	0.0	1476000.0	397119.62933101156	13.6	2.33238075793812	39.0	3.40587727318528	0.0	0.0	68	13.6	11	17	2.33238075793812	0	0.0	0	0	0.0	195	39.0	35	44	3.40587727318528	18	0	45
14400	576000.0	234059.8214132447	462000.0	205757.13839378697	0.0	0.0	1038000.0	395292.29691457434	15.8	2.4	46.2	3.3105890714493698	0.0	0.0	79	15.8	12	18	2.4	0	0.0	0	0	0.0	231	46.2	41	50	3.3105890714493698	11	0	36
18000	880000.0	257992.2479455536	504000.0	252000.0	0.0	0.0	1384000.0	480483.09023315273	18.2	2.7129319932501073	57.2	3.6000000000000005	0.0	0.0	91	18.2	15	21	2.7129319932501073	0	0.0	0	0	0.0	286	57.2	51	62	3.6000000000000005	12	0	55
21600	672000.0	245796.66393179545	504000.0	252000.0	2540000.0	922171.3506718803	3716000.0	912745.3094921934	20.6	3.0724582991474434	65.6	3.9293765408777004	25.4	9.221713506718803	103	20.6	16	24	3.0724582991474434	127	25.4	9	35	9.221713506718803	328	65.6	60	70	3.9293765408777004	12	127	42
25200	688000.0	164730.08225579202	546000.0	314299.2204890111	1200000.0	812403.840463596	2434000.0	517439.85157697316	23.2	3.370459909270543	74.2	5.706137047074842	37.4	2.9393876913398134	116	23.2	19	29	3.370459909270543	187	37.4	34	41	2.9393876913398134	371	74.2	67	81	5.706137047074842	13	60	43
28800	800000.0	143108.35055998655	630000.0	187829.71010998235	500000.0	89442.71909999159	1930000.0	318245.1884946574	26.2	3.54400902933387	84.2	6.794115100585212	42.4	3.3823069050575527	131	26.2	21	32	3.54400902933387	212	42.4	38	47	3.3823069050575527	421	84.2	76	94	6.794115100585212	15	25	50
32400	768000.0	275274.40854536404	714000.0	489799.95916700526	480000.0	172046.50534085254	1962000.0	893406.9621398749	29.6	5.083306010855534	93.8	9.064215354899728	47.2	4.445222154178573	148	29.6	22	37	5.083306010855534	236	47.2	41	54	4.445222154178573	469	93.8	81	108	9.064215354899728	17	24	48
36000	608000.0	164730.08225579202	546000.0	214158.81957089697	400000.0	109544.51150103322	1554000.0	416682.13304628263	32.2	5.635601121442148	101.4	8.616263691415206	51.2	4.308131845707603	161	32.2	25	41	5.635601121442148	256	51.2	45	58	4.308131845707603	507	101.4	89	115	8.616263691415206	13	20	38
39600	704000.0	321596.0198758685	672000.0	707796.5809468142	400000.0	219089.02300206645	1776000.0	1223431.2404054427	35.4	7.631513611335565	110.2	11.668761716651858	55.2	6.013318551349163	177	35.4	30	50	7.631513611335565	276	55.2	49	66	6.013318551349163	551	110.2	98	131	11.668761716651858	16	20	44
43200	736000.0	155125.7554373225	546000.0	168000.0	580000.0	183303.0277982336	1862000.0	317011.040817193	38.0	7.402702209328699	119.4	12.076423311560422	61.0	7.797435475847171	190	38.0	32	52	7.402702209328699	305	61.0	53	75	7.797435475847171	597	119.4	105	139	12.076423311560422	13	29	46
