time	gasCreateUserMean(2)	gasCreateUserStd(3)	gasTotalMean(4)	gasTotalStd(5)	createUserMean(6)	createUserStd(7)	totProposal(8)	avgProposal(9)	minProposal(10)	maxProposal(11)	stdProposal(12)	totVote(13)	avgVote(14)	minVote(15)	maxVote(16)	stdVote(17)	totUser(18)	avgUser(19)	minUser(20)	maxUser(21)	stdUser(22)	totAggrProposal(23)	totAggrVote(24)	totAggrUser(25)
0	1024000.0	185213.39044464362	1024000.0	185213.39044464362	12.8	2.315167380558045	0	0.0	0	0	0.0	0	0.0	0	0	0.0	64	12.8	10	17	2.315167380558045	0	0	64
3600	896000.0	234059.8214132447	896000.0	234059.8214132447	24.0	3.03315017762062	0	0.0	0	0	0.0	0	0.0	0	0	0.0	120	24.0	20	28	3.03315017762062	0	0	56
7200	1120000.0	189314.55305918772	1120000.0	189314.55305918772	38.0	2.756809750418044	0	0.0	0	0	0.0	0	0.0	0	0	0.0	190	38.0	34	41	2.756809750418044	0	0	70
10800	960000.0	71554.17527999327	960000.0	71554.17527999327	50.0	2.5298221281347035	0	0.0	0	0	0.0	0	0.0	0	0	0.0	250	50.0	47	53	2.5298221281347035	0	0	60
14400	1280000.0	182428.06801586208	1280000.0	182428.06801586208	66.0	4.560701700396552	0	0.0	0	0	0.0	0	0.0	0	0	0.0	330	66.0	59	72	4.560701700396552	0	0	80
18000	928000.0	310251.510874645	928000.0	310251.510874645	77.6	6.887670143089026	0	0.0	0	0	0.0	0	0.0	0	0	0.0	388	77.6	64	83	6.887670143089026	0	0	58
21600	960000.0	378629.10611837544	960000.0	378629.10611837544	89.6	7.657675887630659	0	0.0	0	0	0.0	0	0.0	0	0	0.0	448	89.6	79	102	7.657675887630659	0	0	60
25200	1184000.0	234059.8214132447	1184000.0	234059.8214132447	104.4	7.364781055808788	0	0.0	0	0	0.0	0	0.0	0	0	0.0	522	104.4	97	118	7.364781055808788	0	0	74
28800	1232000.0	275274.40854536404	1232000.0	275274.40854536404	119.8	6.013318551349163	0	0.0	0	0	0.0	0	0.0	0	0	0.0	599	119.8	115	129	6.013318551349163	0	0	77
32400	1072000.0	288887.5213642846	1072000.0	288887.5213642846	133.2	6.241794613730893	0	0.0	0	0	0.0	0	0.0	0	0	0.0	666	133.2	124	143	6.241794613730893	0	0	67
36000	1040000.0	267731.2084909042	1040000.0	267731.2084909042	146.2	7.386474125047754	0	0.0	0	0	0.0	0	0.0	0	0	0.0	731	146.2	138	158	7.386474125047754	0	0	65
39600	1024000.0	59866.51818838306	1024000.0	59866.51818838306	159.0	6.723094525588644	0	0.0	0	0	0.0	0	0.0	0	0	0.0	795	159.0	152	170	6.723094525588644	0	0	64
43200	864000.0	254998.03920814765	864000.0	254998.03920814765	169.8	8.51821577561874	0	0.0	0	0	0.0	0	0.0	0	0	0.0	849	169.8	160	181	8.51821577561874	0	0	54
46800	944000.0	185213.39044464362	944000.0	185213.39044464362	181.6	9.748846085563153	0	0.0	0	0	0.0	0	0.0	0	0	0.0	908	181.6	172	196	9.748846085563153	0	0	59
