time	gasCreateUserMean(2)	gasCreateUserStd(3)	gasCreateProposalMean(4)	gasCreateProposalStd(5)	gasVoteMean(6)	gasVoteStd(7)	gasTotalMean(8)	gasTotalStd(9)	createProposalMean(10)	createProposalStd(11)	createUserMean(12)	createUserStd(13)	voteMean(14)	voteStd(15)	totProposal(16)	avgProposal(17)	minProposal(18)	maxProposal(19)	stdProposal(20)	totVote(21)	avgVote(22)	minVote(23)	maxVote(24)	stdVote(25)	totUser(26)	avgUser(27)	minUser(28)	maxUser(29)	stdUser(30)	totAggrProposal(31)	totAggrVote(32)	totAggrUser(33)
0	880000.0	220544.78003344356	588000.0	278596.48238985357	1200000.0	756306.8160475615	2668000.0	1199739.9718272288	2.8	1.32664991614216	11.0	2.756809750418044	12.0	7.563068160475615	14	2.8	1	5	1.32664991614216	60	12.0	5	26	7.563068160475615	55	11.0	7	15	2.756809750418044	14	60	55
3600	832000.0	260952.10288480145	630000.0	296984.84809834993	2580000.0	749399.7598078077	4042000.0	1098096.5349184924	5.8	0.9797958971132712	21.4	3.2619012860600183	37.8	4.955804677345547	29	5.8	4	7	0.9797958971132712	189	37.8	30	43	4.955804677345547	107	21.4	17	27	3.2619012860600183	15	129	52
7200	656000.0	128000.0	588000.0	244899.97958350263	3880000.0	1521052.2673465235	5124000.0	1869444.8373781987	8.6	1.3564659966250536	29.6	3.7735924528226414	76.6	19.303885619221845	43	8.6	7	11	1.3564659966250536	383	76.6	59	108	19.303885619221845	148	29.6	25	35	3.7735924528226414	14	194	41
10800	576000.0	204899.97559785115	378000.0	205757.13839378697	3440000.0	1739655.1382386107	4394000.0	2071111.7787314137	10.4	1.4966629547095764	36.8	3.249615361854384	111.0	30.245660845813898	52	10.4	9	13	1.4966629547095764	555	111.0	61	147	30.245660845813898	184	36.8	32	42	3.249615361854384	9	172	36
14400	752000.0	193328.73557751314	462000.0	448437.2865853151	4800000.0	4367608.041021996	6014000.0	4978797.445166855	12.6	1.3564659966250536	46.2	4.707440918375928	159.0	51.64106892774394	63	12.6	11	15	1.3564659966250536	795	159.0	117	259	51.64106892774394	231	46.2	42	55	4.707440918375928	11	240	47
18000	720000.0	220544.78003344356	672000.0	244899.97958350263	7940000.0	3390339.2160667344	9332000.0	3752233.468215964	15.8	1.9390719429665315	55.2	5.192301994298868	238.4	77.43022665600301	79	15.8	13	19	1.9390719429665315	1192	238.4	150	383	77.43022665600301	276	55.2	50	65	5.192301994298868	16	397	45
21600	736000.0	292410.67011995305	714000.0	557192.9647797071	9580000.0	6872670.514436146	1.103E7	7705473.379358337	19.2	2.7856776554368237	64.4	4.586937976471886	334.2	67.80088494997688	96	19.2	16	24	2.7856776554368237	1671	334.2	236	420	67.80088494997688	322	64.4	59	71	4.586937976471886	17	479	46
25200	848000.0	156767.3435381234	924000.0	284857.85929126124	1.538E7	6709813.708293249	1.7152E7	7030571.52726576	23.6	3.9293765408777004	75.0	6.0	488.0	121.41004900748537	118	23.6	19	30	3.9293765408777004	2440	488.0	331	675	121.41004900748537	375	75.0	66	83	6.0	22	769	53
28800	704000.0	93295.23031752481	546000.0	214158.81957089697	1.076E7	4646116.658027433	1.201E7	4903635.38611916	26.2	4.534313619501853	83.8	6.764613810115105	595.6	156.09561172563434	131	26.2	20	33	4.534313619501853	2978	595.6	368	809	156.09561172563434	419	83.8	73	92	6.764613810115105	13	538	44
32400	592000.0	256000.0	462000.0	336000.0	8600000.0	5372894.936624017	9654000.0	5876065.350215227	28.4	4.176122603564219	91.2	8.23164625090267	681.6	151.3626109711378	142	28.4	22	33	4.176122603564219	3408	681.6	444	819	151.3626109711378	456	91.2	77	102	8.23164625090267	11	430	37
36000	768000.0	288887.5213642846	714000.0	341209.61299471033	1.718E7	6856646.410600447	1.8662E7	7350051.428391505	31.8	4.664761515876241	100.8	6.43117407632541	853.4	182.73105920997668	159	31.8	24	37	4.664761515876241	4267	853.4	529	1022	182.73105920997668	504	100.8	88	105	6.43117407632541	17	859	48
39600	688000.0	186590.46063504962	378000.0	157149.61024450554	9340000.0	3248753.607154596	1.0406E7	3540093.784068439	33.6	4.758150901348127	109.4	5.388877434122992	946.8	174.77803065602953	168	33.6	26	40	4.758150901348127	4734	946.8	630	1131	174.77803065602953	547	109.4	99	114	5.388877434122992	9	467	43
