time	gasCreateUserMean(2)	gasCreateUserStd(3)	gasCreateProposalMean(4)	gasCreateProposalStd(5)	gasVoteMean(6)	gasVoteStd(7)	gasTotalMean(8)	gasTotalStd(9)	createProposalMean(10)	createProposalStd(11)	createUserMean(12)	createUserStd(13)	voteMean(14)	voteStd(15)	totProposal(16)	avgProposal(17)	minProposal(18)	maxProposal(19)	stdProposal(20)	totVote(21)	avgVote(22)	minVote(23)	maxVote(24)	stdVote(25)	totUser(26)	avgUser(27)	minUser(28)	maxUser(29)	stdUser(30)	totAggrProposal(31)	totAggrVote(32)	totAggrUser(33)
0	6.688E7	1488945.9358888757	0.0	0.0	0.0	0.0	6.688E7	1488945.9358888757	0.0	0.0	836.0	18.611824198610947	0.0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	4180	836.0	803	853	18.611824198610947	0	0	4180
3600	1.1968E7	841484.4027075012	0.0	0.0	0.0	0.0	1.1968E7	841484.4027075012	0.0	0.0	985.6	17.85049018934774	0.0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	4928	985.6	955	1002	17.85049018934774	0	0	748
7200	3712000.0	390609.7797034785	0.0	0.0	0.0	0.0	3712000.0	390609.7797034785	0.0	0.0	1032.0	16.198765385053267	0.0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	5160	1032.0	1003	1049	16.198765385053267	0	0	232
10800	1136000.0	106131.9932913728	0.0	0.0	0.0	0.0	1136000.0	106131.9932913728	0.0	0.0	1046.2	16.017490440140737	0.0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	5231	1046.2	1018	1063	16.017490440140737	0	0	71
14400	672000.0	270584.5524046042	0.0	0.0	0.0	0.0	672000.0	270584.5524046042	0.0	0.0	1054.6	17.88407112488653	0.0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	5273	1054.6	1024	1073	17.88407112488653	0	0	42
18000	272000.0	139484.76619330156	0.0	0.0	0.0	0.0	272000.0	139484.76619330156	0.0	0.0	1058.0	17.72004514666935	0.0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	5290	1058.0	1029	1078	17.72004514666935	0	0	17
21600	144000.0	59866.51818838306	0.0	0.0	0.0	0.0	144000.0	59866.51818838306	0.0	0.0	1059.8	18.301912468373352	0.0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	5299	1059.8	1030	1081	18.301912468373352	0	0	9
25200	64000.0	59866.51818838306	0.0	0.0	0.0	0.0	64000.0	59866.51818838306	0.0	0.0	1060.6	18.639742487491613	0.0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	5303	1060.6	1031	1083	18.639742487491613	0	0	4
28800	80000.0	50596.44256269407	0.0	0.0	0.0	0.0	80000.0	50596.44256269407	0.0	0.0	1061.6	18.423897524682445	0.0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	5308	1061.6	1032	1084	18.423897524682445	0	0	5
32400	16000.0	32000.0	42000.0	84000.0	1.014E7	2.028E7	1.0198E7	2.0396E7	0.2	0.4000000000000001	1061.8	18.10414317221337	101.4	202.8	1	0.2	0	1	0.4000000000000001	507	101.4	0	507	202.8	5309	1061.8	1033	1084	18.10414317221337	1	507	1
36000	48000.0	64000.0	0.0	0.0	200000.0	400000.0	248000.0	380652.0721078502	0.2	0.4000000000000001	1062.4	18.575252353602092	103.4	206.8	1	0.2	0	1	0.4000000000000001	517	103.4	0	517	206.8	5312	1062.4	1033	1086	18.575252353602092	0	10	3
39600	16000.0	32000.0	0.0	0.0	0.0	0.0	16000.0	32000.0	0.2	0.4000000000000001	1062.6	18.74673304872078	103.4	206.8	1	0.2	0	1	0.4000000000000001	517	103.4	0	517	206.8	5313	1062.6	1033	1086	18.74673304872078	0	0	1
43200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.4000000000000001	1062.6	18.74673304872078	103.4	206.8	1	0.2	0	1	0.4000000000000001	517	103.4	0	517	206.8	5313	1062.6	1033	1086	18.74673304872078	0	0	0
46800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.4000000000000001	1062.6	18.74673304872078	103.4	206.8	1	0.2	0	1	0.4000000000000001	517	103.4	0	517	206.8	5313	1062.6	1033	1086	18.74673304872078	0	0	0
50400	48000.0	64000.0	0.0	0.0	0.0	0.0	48000.0	64000.0	0.2	0.4000000000000001	1063.2	18.88279640307547	103.4	206.8	1	0.2	0	1	0.4000000000000001	517	103.4	0	517	206.8	5316	1063.2	1033	1086	18.88279640307547	0	0	3
54000	0.0	0.0	42000.0	84000.0	1280000.0	2560000.0	1322000.0	2644000.0	0.4	0.48989794855663565	1063.2	18.88279640307547	116.2	201.9271155640074	2	0.4	0	1	0.48989794855663565	581	116.2	0	517	201.9271155640074	5316	1063.2	1033	1086	18.88279640307547	1	64	0
57600	0.0	0.0	42000.0	84000.0	1.94E7	3.357141641337166E7	1.9442E7	3.356101095020828E7	0.6	0.48989794855663565	1063.2	18.88279640307547	310.2	361.12180770482416	3	0.6	0	1	0.48989794855663565	1551	310.2	0	924	361.12180770482416	5316	1063.2	1033	1086	18.88279640307547	1	970	0
61200	0.0	0.0	0.0	0.0	2.006E7	3.364720493592298E7	2.006E7	3.364720493592298E7	0.6	0.48989794855663565	1063.2	18.88279640307547	510.8	456.32768927602893	3	0.6	0	1	0.48989794855663565	2554	510.8	0	1062	456.32768927602893	5316	1063.2	1033	1086	18.88279640307547	0	1003	0
64800	0.0	0.0	0.0	0.0	2100000.0	4200000.0	2100000.0	4200000.0	0.6	0.48989794855663565	1063.2	18.88279640307547	531.8	479.056739854477	3	0.6	0	1	0.48989794855663565	2659	531.8	0	1080	479.056739854477	5316	1063.2	1033	1086	18.88279640307547	0	105	0
68400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.48989794855663565	1063.2	18.88279640307547	531.8	479.056739854477	3	0.6	0	1	0.48989794855663565	2659	531.8	0	1080	479.056739854477	5316	1063.2	1033	1086	18.88279640307547	0	0	0
72000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.48989794855663565	1063.2	18.88279640307547	531.8	479.056739854477	3	0.6	0	1	0.48989794855663565	2659	531.8	0	1080	479.056739854477	5316	1063.2	1033	1086	18.88279640307547	0	0	0
75600	0.0	0.0	84000.0	102878.56919689348	1.258E7	1.6226694056399781E7	1.2664E7	1.6324409453330923E7	1.0	0.6324555320336759	1063.2	18.88279640307547	657.6	451.3435941718903	5	1.0	0	2	0.6324555320336759	3288	657.6	0	1080	451.3435941718903	5316	1063.2	1033	1086	18.88279640307547	2	629	0
79200	0.0	0.0	42000.0	84000.0	4.016E7	3.439677891896275E7	4.0202E7	3.441170173066133E7	1.2	0.7483314773547883	1063.2	18.88279640307547	1059.2	572.741267938674	6	1.2	0	2	0.7483314773547883	5296	1059.2	0	1585	572.741267938674	5316	1063.2	1033	1086	18.88279640307547	1	2008	0
82800	0.0	0.0	126000.0	102878.56919689348	3.406E7	3.0914177977103E7	3.4186E7	3.1006081080975067E7	1.8	0.9797958971132713	1063.2	18.88279640307547	1399.8	720.5415740954855	9	1.8	1	3	0.9797958971132713	6999	1399.8	402	2401	720.5415740954855	5316	1063.2	1033	1086	18.88279640307547	3	1703	0
86400	0.0	0.0	84000.0	102878.56919689348	5.38E7	2.943358625787894E7	5.3884E7	2.9473123078493055E7	2.2	0.7483314773547882	1063.2	18.88279640307547	1937.8	814.1885285362353	11	2.2	1	3	0.7483314773547882	9689	1937.8	1086	3186	814.1885285362353	5316	1063.2	1033	1086	18.88279640307547	2	2690	0
90000	0.0	0.0	420000.0	132815.66172707194	6.006E7	2.6537038267297275E7	6.048E7	2.6562048866757248E7	4.2	0.39999999999999997	1063.2	18.88279640307547	2538.4	744.2802160476925	21	4.2	4	5	0.39999999999999997	12692	2538.4	1448	3392	744.2802160476925	5316	1063.2	1033	1086	18.88279640307547	10	3003	0
93600	0.0	0.0	210000.0	132815.66172707194	8.34E7	3848636.1220567473	8.361E7	3904003.0737692816	5.2	0.39999999999999997	1063.2	18.88279640307547	3372.4	707.8501536342279	26	5.2	5	6	0.39999999999999997	16862	3372.4	2351	4196	707.8501536342279	5316	1063.2	1033	1086	18.88279640307547	5	4170	0
97200	0.0	0.0	504000.0	432416.465921454	6.42E7	2.5732081143972788E7	6.4704E7	2.6041846785510432E7	7.6	2.1540659228538015	1063.2	18.88279640307547	4014.4	670.1679192560623	38	7.6	5	11	2.1540659228538015	20072	4014.4	3030	5028	670.1679192560623	5316	1063.2	1033	1086	18.88279640307547	12	3210	0
100800	0.0	0.0	588000.0	308635.70759068045	8.584E7	3595886.5388107006	8.6428E7	3555645.651636282	10.4	1.0198039027185568	1063.2	18.88279640307547	4872.8	646.3987623750528	52	10.4	9	12	1.0198039027185568	24364	4872.8	3943	5866	646.3987623750528	5316	1063.2	1033	1086	18.88279640307547	14	4292	0
104400	0.0	0.0	378000.0	84000.0	8.264E7	2564059.2816859754	8.3018E7	2600233.8356386335	12.2	0.7483314773547882	1063.2	18.88279640307547	5699.2	632.5539976950585	61	12.2	11	13	0.7483314773547882	28496	5699.2	4771	6673	632.5539976950585	5316	1063.2	1033	1086	18.88279640307547	9	4132	0
108000	0.0	0.0	756000.0	672000.0	8.294E7	1821647.605877712	8.3696E7	1998775.6252266036	15.8	2.9257477676655586	1063.2	18.88279640307547	6528.6	636.744407121099	79	15.8	12	19	2.9257477676655586	32643	6528.6	5577	7507	636.744407121099	5316	1063.2	1033	1086	18.88279640307547	18	4147	0
111600	0.0	0.0	462000.0	407205.10802297166	5.818E7	3.625991726410859E7	5.8642E7	3.662880691477679E7	18.0	4.774934554525329	1063.2	18.88279640307547	7110.4	660.5799270338148	90	18.0	12	24	4.774934554525329	35552	7110.4	5836	7591	660.5799270338148	5316	1063.2	1033	1086	18.88279640307547	11	2909	0
115200	0.0	0.0	882000.0	244899.97958350263	8.114E7	3142355.804169859	8.2022E7	3085355.084913242	22.2	4.534313619501853	1063.2	18.88279640307547	7921.8	676.2965030221582	111	22.2	16	27	4.534313619501853	39609	7921.8	6611	8434	676.2965030221582	5316	1063.2	1033	1086	18.88279640307547	21	4057	0
118800	0.0	0.0	1260000.0	351397.2111443117	8.312E7	1732512.6262166172	8.438E7	1739045.7153278058	28.2	4.874423042781576	1063.2	18.88279640307547	8753.0	673.1567425198978	141	28.2	21	35	4.874423042781576	43765	8753.0	7441	9244	673.1567425198978	5316	1063.2	1033	1086	18.88279640307547	30	4156	0
122400	0.0	0.0	1260000.0	296984.84809834993	8.394E7	1858601.624878231	8.52E7	1586757.7004697346	34.2	4.166533331199932	1063.2	18.88279640307547	9592.4	665.0535617527358	171	34.2	29	41	4.166533331199932	47962	9592.4	8299	10106	665.0535617527358	5316	1063.2	1033	1086	18.88279640307547	30	4197	0
126000	0.0	0.0	1722000.0	467692.20647772186	8.392E7	1178812.96226331	8.5642E7	1100843.3131013697	42.4	4.882622246293481	1063.2	18.88279640307547	10431.6	658.1691575879258	212	42.4	35	48	4.882622246293481	52158	10431.6	9153	10936	658.1691575879258	5316	1063.2	1033	1086	18.88279640307547	41	4196	0
129600	0.0	0.0	1848000.0	614407.0312097673	8.444E7	2098189.695904543	8.6288E7	2238315.4380024276	51.2	4.534313619501853	1063.2	18.88279640307547	11276.0	650.0403064426082	256	51.2	43	57	4.534313619501853	56380	11276.0	10008	11774	650.0403064426082	5316	1063.2	1033	1086	18.88279640307547	44	4222	0
