time	gasCreateUserMean(2)	gasCreateUserStd(3)	gasTotalMean(4)	gasTotalStd(5)	createUserMean(6)	createUserStd(7)	totProposal(8)	avgProposal(9)	minProposal(10)	maxProposal(11)	stdProposal(12)	totVote(13)	avgVote(14)	minVote(15)	maxVote(16)	stdVote(17)	totUser(18)	avgUser(19)	minUser(20)	maxUser(21)	stdUser(22)	totAggrProposal(23)	totAggrVote(24)	totAggrUser(25)
0	6.5648E7	606313.4502878854	6.5648E7	606313.4502878854	820.6	7.578918128598566	0	0.0	0	0	0.0	0	0.0	0	0	0.0	4103	820.6	806	827	7.578918128598566	0	0	4103
3600	1.208E7	724430.8110509933	1.208E7	724430.8110509933	971.6	15.317963311093287	0	0.0	0	0	0.0	0	0.0	0	0	0.0	4858	971.6	945	986	15.317963311093287	0	0	755
7200	3440000.0	727956.0426289488	3440000.0	727956.0426289488	1014.6	19.764614845728715	0	0.0	0	0	0.0	0	0.0	0	0	0.0	5073	1014.6	979	1037	19.764614845728715	0	0	215
10800	1184000.0	288000.0	1184000.0	288000.0	1029.4	19.865548066942427	0	0.0	0	0	0.0	0	0.0	0	0	0.0	5147	1029.4	994	1055	19.865548066942427	0	0	74
14400	800000.0	226274.1699796952	800000.0	226274.1699796952	1039.4	17.141761869772896	0	0.0	0	0	0.0	0	0.0	0	0	0.0	5197	1039.4	1009	1062	17.141761869772896	0	0	50
18000	192000.0	64000.0	192000.0	64000.0	1041.8	17.1743995528228	0	0.0	0	0	0.0	0	0.0	0	0	0.0	5209	1041.8	1011	1064	17.1743995528228	0	0	12
21600	128000.0	108517.27973000429	128000.0	108517.27973000429	1043.4	16.644518617250547	0	0.0	0	0	0.0	0	0.0	0	0	0.0	5217	1043.4	1013	1064	16.644518617250547	0	0	8
25200	96000.0	32000.0	96000.0	32000.0	1044.6	16.668533228811707	0	0.0	0	0	0.0	0	0.0	0	0	0.0	5223	1044.6	1014	1065	16.668533228811707	0	0	6
28800	0.0	0.0	0.0	0.0	1044.6	16.668533228811707	0	0.0	0	0	0.0	0	0.0	0	0	0.0	5223	1044.6	1014	1065	16.668533228811707	0	0	0
32400	16000.0	32000.0	16000.0	32000.0	1044.8	16.302147097851865	0	0.0	0	0	0.0	0	0.0	0	0	0.0	5224	1044.8	1015	1065	16.302147097851865	0	0	1
36000	32000.0	39191.83588453085	32000.0	39191.83588453085	1045.2	16.375591592366977	0	0.0	0	0	0.0	0	0.0	0	0	0.0	5226	1045.2	1015	1065	16.375591592366977	0	0	2
39600	0.0	0.0	0.0	0.0	1045.2	16.375591592366977	0	0.0	0	0	0.0	0	0.0	0	0	0.0	5226	1045.2	1015	1065	16.375591592366977	0	0	0
