time	gasCreateUserMean(2)	gasCreateUserStd(3)	gasCreateProposalMean(4)	gasCreateProposalStd(5)	gasVoteMean(6)	gasVoteStd(7)	gasTotalMean(8)	gasTotalStd(9)	createProposalMean(10)	createProposalStd(11)	createUserMean(12)	createUserStd(13)	voteMean(14)	voteStd(15)	totProposal(16)	avgProposal(17)	minProposal(18)	maxProposal(19)	stdProposal(20)	totVote(21)	avgVote(22)	minVote(23)	maxVote(24)	stdVote(25)	totUser(26)	avgUser(27)	minUser(28)	maxUser(29)	stdUser(30)	totAggrProposal(31)	totAggrVote(32)	totAggrUser(33)
0	2131.2	440.65741795639843	6666.6	8888.8	0.0	0.0	8797.8	9129.56203549765	0.6	0.7999999999999999	19.2	3.9698866482558417	0.0	0.0	3	0.6	0	2	0.7999999999999999	0	0.0	0	0	0.0	96	19.2	14	26	3.9698866482558417	3	0	96
3600	2419.8	699.9163950072895	6666.6	5443.2561064127785	0.0	0.0	9086.4	5514.972079711737	1.2	1.1661903789690602	41.0	5.830951894845301	0.0	0.0	6	1.2	0	3	1.1661903789690602	0	0.0	0	0	0.0	205	41.0	31	49	5.830951894845301	3	0	109
7200	2020.2	405.71980479143485	4444.4	5443.2561064127785	0.0	0.0	6464.6	5662.416113285918	1.6	1.3564659966250538	59.2	6.11228271597445	0.0	0.0	8	1.6	0	3	1.3564659966250538	0	0.0	0	0	0.0	296	59.2	51	68	6.11228271597445	2	0	91
10800	2131.2	374.12104992903033	0.0	0.0	0.0	0.0	2131.2	374.12104992903033	1.6	1.3564659966250538	78.4	7.2277243998370615	0.0	0.0	8	1.6	0	3	1.3564659966250538	0	0.0	0	0	0.0	392	78.4	70	91	7.2277243998370615	0	0	96
14400	2331.0	427.02552616910384	6666.6	5443.2561064127785	0.0	0.0	8997.6	5322.725114074557	2.2	1.469693845669907	99.4	4.498888751680798	0.0	0.0	11	2.2	0	4	1.469693845669907	0	0.0	0	0	0.0	497	99.4	95	108	4.498888751680798	3	0	105
18000	1842.6	310.8	4444.4	8888.8	0.0	0.0	6287.0	8805.038966410086	2.6	1.854723699099141	116.0	3.7416573867739413	0.0	0.0	13	2.6	0	5	1.854723699099141	0	0.0	0	0	0.0	580	116.0	111	122	3.7416573867739413	2	0	83
21600	2286.6	412.9438702777897	6666.6	5443.2561064127785	33.0	60.1797308069752	8986.2	5798.590187278284	3.2	1.9390719429665317	136.6	7.08801805866774	11.0	20.059910268991732	16	3.2	1	6	1.9390719429665317	55	11.0	0	51	20.059910268991732	683	136.6	129	147	7.08801805866774	3	55	103
25200	2419.8	498.38876391828893	4444.4	5443.2561064127785	86.4	79.8338274167035	6950.6	5127.209322818798	3.6	2.3323807579381204	158.4	8.138795979750322	39.8	35.23861518277925	18	3.6	1	7	2.3323807579381204	199	39.8	0	83	35.23861518277925	792	158.4	148	168	8.138795979750322	2	144	109
28800	2397.6	489.40805060807895	4444.4	5443.2561064127785	41.4	49.63708291187144	6883.4	5349.831533796181	4.0	2.280350850198276	180.0	10.411532067856296	53.6	43.97544769527651	20	4.0	1	7	2.280350850198276	268	53.6	0	97	43.97544769527651	900	180.0	168	193	10.411532067856296	2	69	108
32400	2220.0	506.23788874401725	8888.8	8314.711044889054	18.6	16.365818036383025	11127.4	8395.451759137206	4.8	2.4	200.0	13.841965178398622	59.8	49.223571589229486	24	4.8	1	7	2.4	299	59.8	0	111	49.223571589229486	1000	200.0	185	222	13.841965178398622	4	31	100
36000	2486.4	468.83540821913186	11111.0	7027.213416426172	38.4	25.834860169933183	13635.8	7472.077151635949	5.8	2.7129319932501073	222.4	14.347125147568763	72.6	49.37448733911067	29	5.8	2	8	2.7129319932501073	363	72.6	0	123	49.37448733911067	1112	222.4	209	246	14.347125147568763	5	64	112
39600	2242.2	380.6507060285059	0.0	0.0	72.6	98.06650804428594	2314.8	438.08054054020704	5.8	2.7129319932501073	242.6	11.876026271442818	96.8	48.754076752616285	29	5.8	2	8	2.7129319932501073	484	96.8	0	132	48.754076752616285	1213	242.6	231	263	11.876026271442818	0	121	101
43200	2331.0	501.34658670424795	11111.0	7027.213416426172	25.8	15.13142425550219	13467.8	7357.150247208494	6.8	3.124099870362662	263.6	14.880860190190619	105.4	53.30515922497559	34	6.8	3	10	3.124099870362662	527	105.4	0	147	53.30515922497559	1318	263.6	247	288	14.880860190190619	5	43	105
46800	2641.8	332.259175945526	17777.6	11331.041163105887	99.0	102.8085599548987	20518.4	11399.48419183956	8.4	3.3823069050575527	287.4	15.704776343520463	138.4	24.4834638072312	42	8.4	4	12	3.3823069050575527	692	138.4	100	177	24.4834638072312	1437	287.4	267	312	15.704776343520463	8	165	119
50400	2442.0	486.37763106458755	4444.4	5443.2561064127785	112.8	66.45118509101249	6999.2	5511.266983189982	8.8	3.655133376499413	309.4	12.658593918757328	176.0	35.70994259306503	44	8.8	4	13	3.655133376499413	880	176.0	145	243	35.70994259306503	1547	309.4	290	329	12.658593918757328	2	188	110
54000	2530.8	339.5946996052795	11111.0	14054.426832852345	67.2	42.78971839122104	13709.0	14067.967969824214	9.8	3.867815921162743	332.2	15.14463601411404	198.4	41.49505994693826	49	9.8	5	15	3.867815921162743	992	198.4	156	275	41.49505994693826	1661	332.2	311	357	15.14463601411404	5	112	114
57600	2819.4	268.2436206137995	6666.6	5443.2561064127785	113.4	74.58847095898936	9599.4	5279.379759024728	10.4	4.079215610874227	357.6	14.60958589419974	236.2	52.434339892860294	52	10.4	6	16	4.079215610874227	1181	236.2	169	304	52.434339892860294	1788	357.6	338	381	14.60958589419974	3	189	127
61200	2708.4	375.43606646138835	6666.6	5443.2561064127785	53.4	30.676375274794122	9428.4	5413.1500108532	11.0	4.33589667773576	382.0	15.152557539900648	254.0	54.3617512595023	55	11.0	6	17	4.33589667773576	1270	254.0	184	318	54.3617512595023	1910	382.0	367	409	15.152557539900648	3	89	122
64800	2264.4	458.2028371802165	2222.2	4444.4	43.2	24.194214184387143	4529.8	4441.160406920696	11.2	4.1182520563948	402.4	14.263239463740346	268.4	57.294327816983774	56	11.2	7	17	4.1182520563948	1342	268.4	194	331	57.294327816983774	2012	402.4	387	426	14.263239463740346	1	72	102
68400	2730.6	333.7391795998786	2222.2	4444.4	117.0	62.38268990673615	5069.8	4386.335983483254	11.4	4.079215610874227	427.0	13.92838827718412	307.4	55.011271572287804	57	11.4	7	17	4.079215610874227	1537	307.4	227	382	55.011271572287804	2135	427.0	413	451	13.92838827718412	1	195	123
72000	2619.6	400.8314358929449	0.0	0.0	123.6	73.83657630199276	2743.2	416.6895247063453	11.4	4.079215610874227	450.6	10.57544325312183	348.6	56.37233363982726	57	11.4	7	17	4.079215610874227	1743	348.6	246	419	56.37233363982726	2253	450.6	442	469	10.57544325312183	0	206	118
75600	2819.4	441.77442207533926	8888.8	8314.711044889053	66.0	48.52215988597375	11774.2	8517.902802920446	12.2	3.867815921162743	476.0	11.593101396951552	370.6	42.22605830526927	61	12.2	7	17	3.867815921162743	1853	370.6	299	430	42.22605830526927	2380	476.0	464	492	11.593101396951552	4	110	127
79200	2997.0	460.34899804387544	11111.0	7027.213416426172	134.4	124.149264999838	14242.4	6641.057885608287	13.2	3.7094473981982814	503.0	13.6088206689632	415.4	27.803596889611246	66	13.2	8	18	3.7094473981982814	2077	415.4	382	446	27.803596889611246	2515	503.0	484	523	13.6088206689632	5	224	135
82800	2530.8	360.70730516583666	2222.2	4444.4	110.4	84.11563469415184	4863.4	4688.963663753431	13.4	3.4409301068170506	525.8	13.555810562264432	452.2	47.0930992821666	67	13.4	9	18	3.4409301068170506	2261	452.2	392	534	47.0930992821666	2629	525.8	503	542	13.555810562264432	1	184	114
86400	2952.6	671.8939201987172	8888.8	12957.541300725226	117.6	94.209553655667	11959.0	13146.705381957869	14.2	4.261455150532504	552.4	17.2580416038437	491.4	71.92106784524267	71	14.2	9	19	4.261455150532504	2457	491.4	405	602	71.92106784524267	2762	552.4	529	574	17.2580416038437	4	196	133
90000	2553.0	599.8109702231195	2222.2	4444.4	82.8	47.304968026624856	4858.0	4093.419890507203	14.4	4.029888335921977	575.4	18.650469162999627	519.0	59.51134345652096	72	14.4	10	19	4.029888335921977	2595	519.0	459	612	59.51134345652096	2877	575.4	551	601	18.650469162999627	1	138	115
93600	3019.2	292.8381122736588	11111.0	7027.213416426172	122.4	163.86042841394013	14252.6	6890.215195478295	15.4	4.498888751680797	602.6	17.48828179095934	559.8	56.37871938950015	77	15.4	10	21	4.498888751680797	2799	559.8	490	624	56.37871938950015	3013	602.6	577	626	17.48828179095934	5	204	136
97200	2841.6	728.2141443284387	15555.4	8888.8	78.0	49.80361432667312	18475.0	9331.279933642543	16.8	4.791659420284375	628.2	17.73583942191629	585.8	63.2468181017828	84	16.8	12	23	4.791659420284375	2929	585.8	501	678	63.2468181017828	3141	628.2	600	651	17.73583942191629	7	130	128
100800	2530.8	563.3728427959587	6666.6	5443.2561064127785	146.4	95.55647544776858	9343.8	5666.039018573734	17.4	4.6303347611160905	651.0	22.297981971469973	634.6	83.61961492377252	87	17.4	13	23	4.6303347611160905	3173	634.6	510	761	83.61961492377252	3255	651.0	617	682	22.297981971469973	3	244	114
104400	2930.4	564.2469672049642	4444.4	5443.2561064127785	208.2	145.5615333802169	7583.0	5109.064415330854	17.8	4.707440918375928	677.4	17.715529910222838	704.0	49.85579204064459	89	17.8	13	24	4.707440918375928	3520	704.0	624	771	49.85579204064459	3387	677.4	652	701	17.715529910222838	2	347	132
108000	2974.8	593.2012811853999	4444.4	8888.8	196.2	158.4	7615.4	9383.14033999279	18.2	5.192301994298868	704.2	21.348536249588633	769.4	38.81030790911095	91	18.2	13	25	5.192301994298868	3847	769.4	708	816	38.81030790911095	3521	704.2	670	731	21.348536249588633	2	327	134
111600	2619.6	268.24362061379946	2222.2	4444.4	136.8	130.32022099428775	4978.6	4174.32862146717	18.4	5.462600113499065	727.8	20.97045540754897	815.0	76.26008130076967	92	18.4	13	26	5.462600113499065	4075	815.0	721	946	76.26008130076967	3639	727.8	695	755	20.97045540754897	1	228	118
115200	2997.0	465.6711285875473	15555.4	13333.2	79.8	44.27821134598822	18632.2	13162.886543611929	19.8	5.706137047074843	754.8	21.627759939485177	841.6	77.0625719788796	99	19.8	15	29	5.706137047074843	4208	841.6	771	980	77.0625719788796	3774	754.8	724	786	21.627759939485177	7	133	135
118800	2841.6	738.2960381852255	15555.4	13333.199999999999	225.6	73.66573151744304	18622.6	13486.976082131976	21.2	5.706137047074843	780.4	23.787391618250204	916.8	76.76040646062265	106	21.2	15	31	5.706137047074843	4584	916.8	839	1031	76.76040646062265	3902	780.4	742	805	23.787391618250204	7	376	128
122400	3352.2	332.259175945526	4444.4	5443.2561064127785	84.6	35.057666779179705	7881.2	5165.346393031158	21.6	5.607138307550474	810.6	25.00079998720041	945.0	73.95944834840239	108	21.6	16	31	5.607138307550474	4725	945.0	854	1057	73.95944834840239	4053	810.6	772	833	25.00079998720041	2	141	151
126000	3241.2	737.628199027125	2222.2	4444.4	147.0	124.99599993599796	5610.4	4482.375959243044	21.8	5.74108003776293	839.8	28.449253065766065	994.0	95.25754563287887	109	21.8	16	31	5.74108003776293	4970	994.0	866	1140	95.25754563287887	4199	839.8	795	874	28.449253065766065	1	245	146
129600	3085.8	275.49475494099704	8888.8	4444.4	113.4	69.74983870949093	12088.0	4591.476015400712	22.6	5.9531504264548865	867.6	30.903721458749914	1031.8	118.24787524518148	113	22.6	16	32	5.9531504264548865	5159	1031.8	878	1214	118.24787524518148	4338	867.6	819	905	30.903721458749914	4	189	139
133200	3529.8	880.7554484645553	8888.8	4444.4	121.2	152.8481599496703	12539.8	4732.0727551465225	23.4	6.086049621881176	899.4	30.050623953588715	1072.2	134.92575736307725	117	23.4	17	33	6.086049621881176	5361	1072.2	900	1228	134.92575736307725	4497	899.4	863	942	30.050623953588715	4	202	159
136800	3285.6	537.4050985988131	4444.4	5443.2561064127785	123.6	117.94846332191022	7853.6	5087.574887900914	23.8	6.11228271597445	929.0	29.14103635768639	1113.4	157.13128269062148	119	23.8	17	33	6.11228271597445	5567	1113.4	919	1331	157.13128269062148	4645	929.0	894	974	29.14103635768639	2	206	148
140400	2442.0	271.89336144893275	4444.4	5443.2561064127785	220.2	185.48250591363058	7106.6	5254.093284287975	24.2	6.305553108173779	951.0	29.873064790878086	1186.8	140.31592924539964	121	24.2	17	34	6.305553108173779	5934	1186.8	954	1355	140.31592924539964	4755	951.0	919	998	29.873064790878086	2	367	110
144000	2997.0	390.87133432883	2222.2	4444.4	346.8	195.24999359795123	5566.0	4587.308012331416	24.4	6.086049621881176	978.0	29.899832775452108	1302.4	104.1068681692039	122	24.4	18	34	6.086049621881176	6512	1302.4	1155	1476	104.1068681692039	4890	978.0	942	1022	29.899832775452108	1	578	135
147600	2730.6	537.4050985988131	2222.2	4444.4	235.8	173.15588352695383	5188.6	4683.5853616647155	24.6	5.9531504264548865	1002.6	30.532605522621225	1381.0	65.26561115932341	123	24.6	18	34	5.9531504264548865	6905	1381.0	1323	1503	65.26561115932341	5013	1002.6	964	1043	30.532605522621225	1	393	123
151200	3152.4	418.86876226331316	4444.4	5443.2561064127785	232.8	236.04948633708145	7829.6	5551.329375924293	25.0	5.89915248150105	1031.0	32.55764119219941	1458.6	102.566271259123	125	25.0	19	34	5.89915248150105	7293	1458.6	1340	1624	102.566271259123	5155	1031.0	986	1070	32.55764119219941	2	388	142
154800	3152.4	193.53511309320592	8888.8	8314.711044889053	273.0	148.61359291801003	12314.2	8333.49843463116	25.8	5.844655678480983	1059.4	30.94899029047636	1549.6	127.0788731457751	129	25.8	19	35	5.844655678480983	7748	1549.6	1396	1757	127.0788731457751	5297	1059.4	1016	1097	30.94899029047636	4	455	142
158400	2974.8	513.0073683681356	6666.6	13333.2	124.2	136.51285653739725	9765.6	13221.160502769793	26.4	6.374950980203691	1086.2	31.656910777901242	1591.0	143.67741645784142	132	26.4	19	35	6.374950980203691	7955	1591.0	1409	1781	143.67741645784142	5431	1086.2	1045	1131	31.656910777901242	3	207	134
162000	3041.4	484.34681788982573	4444.4	8888.8	69.6	40.75585847458007	7555.4	8862.823626813297	26.8	6.20966987850401	1113.6	33.145738790981866	1614.2	148.09645505548067	134	26.8	19	35	6.20966987850401	8071	1614.2	1421	1799	148.09645505548067	5568	1113.6	1071	1156	33.145738790981866	2	116	137
165600	2730.6	326.2720337387193	4444.4	5443.2561064127785	116.4	72.8796267827985	7291.4	5715.955584152137	27.2	6.241794613730894	1138.2	34.6433254754794	1653.0	141.99859154231072	136	27.2	20	36	6.241794613730894	8265	1653.0	1476	1811	141.99859154231072	5691	1138.2	1095	1186	34.6433254754794	2	194	123
169200	3663.0	570.3283264927318	6666.6	8888.800000000001	243.0	214.41921555681523	10572.6	9073.112334805517	27.8	6.241794613730893	1171.2	37.11280102606108	1734.0	151.838071642128	139	27.8	20	37	6.241794613730893	8670	1734.0	1515	1966	151.838071642128	5856	1171.2	1125	1227	37.11280102606108	3	405	165
172800	2908.2	226.39646640351964	4444.4	5443.2561064127785	98.4	114.33739545747926	7451.0	5475.442447875788	28.2	6.177378084592201	1197.4	38.43227810057582	1766.8	149.86847567116976	141	28.2	21	37	6.177378084592201	8834	1766.8	1527	1980	149.86847567116976	5987	1197.4	1152	1256	38.43227810057582	2	164	131
176400	2997.0	491.41794839016615	4444.4	8888.8	252.0	187.46519676996047	7693.4	8700.05934692402	28.6	6.019966777316964	1224.4	38.47388724836626	1850.8	165.7159014699555	143	28.6	21	37	6.019966777316964	9254	1850.8	1539	1993	165.7159014699555	6122	1224.4	1183	1282	38.47388724836626	2	420	135
180000	2908.2	367.47538693088006	2222.2	4444.4	469.8	177.62026911363466	5600.2	4736.325554688992	28.8	5.979966555090422	1250.6	38.13449881668828	2007.4	186.95197244212218	144	28.8	21	37	5.979966555090422	10037	2007.4	1659	2207	186.95197244212218	6253	1250.6	1206	1305	38.13449881668828	1	783	131
183600	3241.2	724.1420855053241	13333.2	8314.711044889053	487.8	285.28469990519994	17062.2	8485.589912316054	30.0	5.966573556070519	1279.8	33.96115427955887	2170.0	163.02637823370793	150	30.0	22	39	5.966573556070519	10850	2170.0	1967	2411	163.02637823370793	6399	1279.8	1238	1328	33.96115427955887	6	813	146
