time	gasCreateUserMean(2)	gasCreateUserStd(3)	gasTotalMean(4)	gasTotalStd(5)	createUserMean(6)	createUserStd(7)	totProposal(8)	avgProposal(9)	minProposal(10)	maxProposal(11)	stdProposal(12)	totVote(13)	avgVote(14)	minVote(15)	maxVote(16)	stdVote(17)	totUser(18)	avgUser(19)	minUser(20)	maxUser(21)	stdUser(22)	totAggrProposal(23)	totAggrVote(24)	totAggrUser(25)
0	1312000.0	279885.6909525744	1312000.0	279885.6909525744	16.4	3.4985711369071804	0	0.0	0	0	0.0	0	0.0	0	0	0.0	82	16.4	11	22	3.4985711369071804	0	0	82
3600	1104000.0	362745.0895601483	1104000.0	362745.0895601483	30.2	6.8527366796047255	0	0.0	0	0	0.0	0	0.0	0	0	0.0	151	30.2	23	43	6.8527366796047255	0	0	69
7200	1184000.0	244752.93665245367	1184000.0	244752.93665245367	45.0	7.014271166700073	0	0.0	0	0	0.0	0	0.0	0	0	0.0	225	45.0	35	56	7.014271166700073	0	0	74
10800	1200000.0	395170.849127311	1200000.0	395170.849127311	60.0	8.740709353364863	0	0.0	0	0	0.0	0	0.0	0	0	0.0	300	60.0	50	70	8.740709353364863	0	0	75
14400	944000.0	163168.62443496913	944000.0	163168.62443496913	71.8	6.734983296193095	0	0.0	0	0	0.0	0	0.0	0	0	0.0	359	71.8	64	79	6.734983296193095	0	0	59
18000	1568000.0	250950.19426172995	1568000.0	250950.19426172995	91.4	7.83836717690617	0	0.0	0	0	0.0	0	0.0	0	0	0.0	457	91.4	80	99	7.83836717690617	0	0	98
21600	1232000.0	442827.2800991375	1232000.0	442827.2800991375	106.8	9.66229786334493	0	0.0	0	0	0.0	0	0.0	0	0	0.0	534	106.8	88	115	9.66229786334493	0	0	77
25200	1152000.0	260952.10288480145	1152000.0	260952.10288480145	121.2	9.537295214053092	0	0.0	0	0	0.0	0	0.0	0	0	0.0	606	121.2	104	131	9.537295214053092	0	0	72
28800	1424000.0	163168.62443496913	1424000.0	163168.62443496913	139.0	11.171392035015153	0	0.0	0	0	0.0	0	0.0	0	0	0.0	695	139.0	118	149	11.171392035015153	0	0	89
32400	1360000.0	237318.35158706122	1360000.0	237318.35158706122	156.0	10.488088481701515	0	0.0	0	0	0.0	0	0.0	0	0	0.0	780	156.0	136	166	10.488088481701515	0	0	85
36000	1600000.0	262906.8276024797	1600000.0	262906.8276024797	176.0	10.89954127475097	0	0.0	0	0	0.0	0	0.0	0	0	0.0	880	176.0	157	190	10.89954127475097	0	0	100
39600	1360000.0	50596.44256269407	1360000.0	50596.44256269407	193.0	11.171392035015153	0	0.0	0	0	0.0	0	0.0	0	0	0.0	965	193.0	174	208	11.171392035015153	0	0	85
43200	1424000.0	254998.03920814765	1424000.0	254998.03920814765	210.8	9.239047569960878	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1054	210.8	197	226	9.239047569960878	0	0	89
46800	1504000.0	211054.4953323667	1504000.0	211054.4953323667	229.6	9.891410415102591	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1148	229.6	218	247	9.891410415102591	0	0	94
50400	1440000.0	252982.21281347034	1440000.0	252982.21281347034	247.6	11.586198686368192	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1238	247.6	237	269	11.586198686368192	0	0	90
54000	1584000.0	301038.2035556285	1584000.0	301038.2035556285	267.4	11.253443917308159	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1337	267.4	255	288	11.253443917308159	0	0	99
57600	1824000.0	399679.8718974975	1824000.0	399679.8718974975	290.2	14.715977711317723	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1451	290.2	275	317	14.715977711317723	0	0	114
61200	1168000.0	454242.22613050847	1168000.0	454242.22613050847	304.8	13.658696863171098	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1524	304.8	290	327	13.658696863171098	0	0	73
64800	1376000.0	234059.8214132447	1376000.0	234059.8214132447	322.0	15.937377450509228	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1610	322.0	302	346	15.937377450509228	0	0	86
68400	1392000.0	270584.5524046042	1392000.0	270584.5524046042	339.4	16.267759526130206	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1697	339.4	315	360	16.267759526130206	0	0	87
72000	1440000.0	208614.47696648477	1440000.0	208614.47696648477	357.4	15.576905982896603	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1787	357.4	337	380	15.576905982896603	0	0	90
75600	1472000.0	275274.40854536404	1472000.0	275274.40854536404	375.8	12.560254774486065	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1879	375.8	360	393	12.560254774486065	0	0	92
79200	1424000.0	178168.4596105607	1424000.0	178168.4596105607	393.6	12.93986089569745	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1968	393.6	376	411	12.93986089569745	0	0	89
82800	1920000.0	364856.13603172416	1920000.0	364856.13603172416	417.6	10.44222198576529	0	0.0	0	0	0.0	0	0.0	0	0	0.0	2088	417.6	404	431	10.44222198576529	0	0	120
86400	1504000.0	329460.16451158404	1504000.0	329460.16451158404	436.4	7.08801805866774	0	0.0	0	0	0.0	0	0.0	0	0	0.0	2182	436.4	427	444	7.08801805866774	0	0	94
90000	1696000.0	399679.8718974975	1696000.0	399679.8718974975	457.6	9.046546302318912	0	0.0	0	0	0.0	0	0.0	0	0	0.0	2288	457.6	446	472	9.046546302318912	0	0	106
93600	1552000.0	164730.08225579202	1552000.0	164730.08225579202	477.0	8.318653737234168	0	0.0	0	0	0.0	0	0.0	0	0	0.0	2385	477.0	466	491	8.318653737234168	0	0	97
97200	1376000.0	301038.2035556285	1376000.0	301038.2035556285	494.2	8.726969691708572	0	0.0	0	0	0.0	0	0.0	0	0	0.0	2471	494.2	485	508	8.726969691708572	0	0	86
100800	1424000.0	481065.48410793307	1424000.0	481065.48410793307	512.0	9.338094023943002	0	0.0	0	0	0.0	0	0.0	0	0	0.0	2560	512.0	499	523	9.338094023943002	0	0	89
104400	1488000.0	179599.55456514918	1488000.0	179599.55456514918	530.6	10.556514576317317	0	0.0	0	0	0.0	0	0.0	0	0	0.0	2653	530.6	517	542	10.556514576317317	0	0	93
108000	1888000.0	172325.27382830414	1888000.0	172325.27382830414	554.2	10.552724766618335	0	0.0	0	0	0.0	0	0.0	0	0	0.0	2771	554.2	538	565	10.552724766618335	0	0	118
111600	1392000.0	573773.4744653155	1392000.0	573773.4744653155	571.6	17.23484841824842	0	0.0	0	0	0.0	0	0.0	0	0	0.0	2858	571.6	546	593	17.23484841824842	0	0	87
115200	1680000.0	701084.8736066127	1680000.0	701084.8736066127	592.6	21.443880245888337	0	0.0	0	0	0.0	0	0.0	0	0	0.0	2963	592.6	568	629	21.443880245888337	0	0	105
118800	1296000.0	185213.39044464362	1296000.0	185213.39044464362	608.8	23.12055362658948	0	0.0	0	0	0.0	0	0.0	0	0	0.0	3044	608.8	585	649	23.12055362658948	0	0	81
122400	1696000.0	424527.9731654912	1696000.0	424527.9731654912	630.0	23.85791273351464	0	0.0	0	0	0.0	0	0.0	0	0	0.0	3150	630.0	598	670	23.85791273351464	0	0	106
126000	1552000.0	334089.8082851376	1552000.0	334089.8082851376	649.4	25.648391762447794	0	0.0	0	0	0.0	0	0.0	0	0	0.0	3247	649.4	619	692	25.648391762447794	0	0	97
129600	1488000.0	179599.55456514918	1488000.0	179599.55456514918	668.0	26.023066690918657	0	0.0	0	0	0.0	0	0.0	0	0	0.0	3340	668.0	640	712	26.023066690918657	0	0	93
133200	1872000.0	512499.75609750295	1872000.0	512499.75609750295	691.4	30.987739510974336	0	0.0	0	0	0.0	0	0.0	0	0	0.0	3457	691.4	653	739	30.987739510974336	0	0	117
136800	2048000.0	240532.74205396653	2048000.0	240532.74205396653	717.0	29.010342983149993	0	0.0	0	0	0.0	0	0.0	0	0	0.0	3585	717.0	683	760	29.010342983149993	0	0	128
140400	1936000.0	309425.27369301947	1936000.0	309425.27369301947	741.2	30.992902413294562	0	0.0	0	0	0.0	0	0.0	0	0	0.0	3706	741.2	702	783	30.992902413294562	0	0	121
144000	2176000.0	601651.0616628213	2176000.0	601651.0616628213	768.4	33.761516553614705	0	0.0	0	0	0.0	0	0.0	0	0	0.0	3842	768.4	728	816	33.761516553614705	0	0	136
147600	1920000.0	252982.21281347034	1920000.0	252982.21281347034	792.4	31.39808911382984	0	0.0	0	0	0.0	0	0.0	0	0	0.0	3962	792.4	752	837	31.39808911382984	0	0	120
151200	1728000.0	387318.98998112656	1728000.0	387318.98998112656	814.0	34.93994848307593	0	0.0	0	0	0.0	0	0.0	0	0	0.0	4070	814.0	771	867	34.93994848307593	0	0	108
154800	1856000.0	249927.98962901294	1856000.0	249927.98962901294	837.2	35.717782685939504	0	0.0	0	0	0.0	0	0.0	0	0	0.0	4186	837.2	794	890	35.717782685939504	0	0	116
158400	1744000.0	344650.5476566083	1744000.0	344650.5476566083	859.0	37.6404038235511	0	0.0	0	0	0.0	0	0.0	0	0	0.0	4295	859.0	812	912	37.6404038235511	0	0	109
162000	1712000.0	514991.2620617946	1712000.0	514991.2620617946	880.4	38.21308676356831	0	0.0	0	0	0.0	0	0.0	0	0	0.0	4402	880.4	838	940	38.21308676356831	0	0	107
165600	1760000.0	346871.7342188608	1760000.0	346871.7342188608	902.4	40.588668369386056	0	0.0	0	0	0.0	0	0.0	0	0	0.0	4512	902.4	860	970	40.588668369386056	0	0	110
169200	1792000.0	293284.84447717376	1792000.0	293284.84447717376	924.8	41.532637768386444	0	0.0	0	0	0.0	0	0.0	0	0	0.0	4624	924.8	880	995	41.532637768386444	0	0	112
172800	1664000.0	292410.67011995305	1664000.0	292410.67011995305	945.6	41.78325023259919	0	0.0	0	0	0.0	0	0.0	0	0	0.0	4728	945.6	904	1019	41.78325023259919	0	0	104
176400	2064000.0	402869.7059844535	2064000.0	402869.7059844535	971.4	43.97544769527651	0	0.0	0	0	0.0	0	0.0	0	0	0.0	4857	971.4	927	1046	43.97544769527651	0	0	129
180000	1936000.0	259969.22894835073	1936000.0	259969.22894835073	995.6	45.924285514311485	0	0.0	0	0	0.0	0	0.0	0	0	0.0	4978	995.6	947	1071	45.924285514311485	0	0	121
183600	2000000.0	346871.7342188608	2000000.0	346871.7342188608	1020.6	48.47927392195556	0	0.0	0	0	0.0	0	0.0	0	0	0.0	5103	1020.6	970	1102	48.47927392195556	0	0	125
187200	1744000.0	204899.97559785115	1744000.0	204899.97559785115	1042.4	49.92233968876058	0	0.0	0	0	0.0	0	0.0	0	0	0.0	5212	1042.4	994	1127	49.92233968876058	0	0	109
190800	1696000.0	178168.4596105607	1696000.0	178168.4596105607	1063.6	49.045285196438606	0	0.0	0	0	0.0	0	0.0	0	0	0.0	5318	1063.6	1013	1145	49.045285196438606	0	0	106
194400	1952000.0	476252.0341163909	1952000.0	476252.0341163909	1088.0	44.93105830046739	0	0.0	0	0	0.0	0	0.0	0	0	0.0	5440	1088.0	1044	1161	44.93105830046739	0	0	122
198000	1824000.0	436421.8143035474	1824000.0	436421.8143035474	1110.8	39.96698637625809	0	0.0	0	0	0.0	0	0.0	0	0	0.0	5554	1110.8	1068	1175	39.96698637625809	0	0	114
201600	1728000.0	96000.0	1728000.0	96000.0	1132.4	40.692013958515254	0	0.0	0	0	0.0	0	0.0	0	0	0.0	5662	1132.4	1089	1198	40.692013958515254	0	0	108
205200	1904000.0	348344.65691323584	1904000.0	348344.65691323584	1156.2	39.655516640185134	0	0.0	0	0	0.0	0	0.0	0	0	0.0	5781	1156.2	1119	1223	39.655516640185134	0	0	119
208800	1808000.0	129984.61447417537	1808000.0	129984.61447417537	1178.8	38.72157021609532	0	0.0	0	0	0.0	0	0.0	0	0	0.0	5894	1178.8	1143	1245	38.72157021609532	0	0	113
212400	1744000.0	217034.55946000858	1744000.0	217034.55946000858	1200.6	39.63634695579299	0	0.0	0	0	0.0	0	0.0	0	0	0.0	6003	1200.6	1162	1270	39.63634695579299	0	0	109
216000	1936000.0	309425.27369301947	1936000.0	309425.27369301947	1224.8	40.67136584871474	0	0.0	0	0	0.0	0	0.0	0	0	0.0	6124	1224.8	1189	1299	40.67136584871474	0	0	121
219600	1936000.0	211054.4953323667	1936000.0	211054.4953323667	1249.0	42.94647831894951	0	0.0	0	0	0.0	0	0.0	0	0	0.0	6245	1249.0	1212	1327	42.94647831894951	0	0	121
223200	1936000.0	117575.50765359255	1936000.0	117575.50765359255	1273.2	41.57595458916127	0	0.0	0	0	0.0	0	0.0	0	0	0.0	6366	1273.2	1237	1349	41.57595458916127	0	0	121
226800	2032000.0	172325.27382830414	2032000.0	172325.27382830414	1298.6	41.25821130393319	0	0.0	0	0	0.0	0	0.0	0	0	0.0	6493	1298.6	1260	1373	41.25821130393319	0	0	127
230400	1888000.0	502410.1909794426	1888000.0	502410.1909794426	1322.2	38.4260328423323	0	0.0	0	0	0.0	0	0.0	0	0	0.0	6611	1322.2	1286	1393	38.4260328423323	0	0	118
