time	gasCreateUserMean(2)	gasCreateUserStd(3)	gasCreateProposalMean(4)	gasCreateProposalStd(5)	gasTotalMean(6)	gasTotalStd(7)	createProposalMean(8)	createProposalStd(9)	createUserMean(10)	createUserStd(11)	totProposal(12)	avgProposal(13)	minProposal(14)	maxProposal(15)	stdProposal(16)	totVote(17)	avgVote(18)	minVote(19)	maxVote(20)	stdVote(21)	totUser(22)	avgUser(23)	minUser(24)	maxUser(25)	stdUser(26)	totAggrProposal(27)	totAggrVote(28)	totAggrUser(29)
0	88.8	129.44713206556565	8888.8	12957.541300725226	8977.6	13086.988432790793	0.8	1.1661903789690602	0.8	1.1661903789690602	4	0.8	0	3	1.1661903789690602	0	0.0	0	0	0.0	4	0.8	0	3	1.1661903789690602	4	0	4
3600	44.4	54.37867228978655	4444.4	5443.2561064127785	4488.8	5497.634778702564	1.2	1.5999999999999999	1.2	1.5999999999999999	6	1.2	0	4	1.5999999999999999	0	0.0	0	0	0.0	6	1.2	0	4	1.5999999999999999	2	0	2
7200	66.6	54.37867228978655	6666.6	5443.2561064127785	6733.2	5497.634778702564	1.8	1.1661903789690602	1.8	1.1661903789690602	9	1.8	1	4	1.1661903789690602	0	0.0	0	0	0.0	9	1.8	1	4	1.1661903789690602	3	0	3
10800	22.2	44.4	2222.2	4444.4	2244.4	4488.8	2.0	1.0954451150103321	2.0	1.0954451150103321	10	2.0	1	4	1.0954451150103321	0	0.0	0	0	0.0	10	2.0	1	4	1.0954451150103321	1	0	1
14400	44.4	54.37867228978655	4444.4	5443.2561064127785	4488.8	5497.634778702564	2.4	1.3564659966250538	2.4	1.3564659966250538	12	2.4	1	5	1.3564659966250538	0	0.0	0	0	0.0	12	2.4	1	5	1.3564659966250538	2	0	2
18000	22.2	44.4	11111.0	0.0	11133.2	44.4	3.4	1.3564659966250538	2.6	1.3564659966250538	17	3.4	2	6	1.3564659966250538	0	0.0	0	0	0.0	13	2.6	1	5	1.3564659966250538	5	0	1
21600	0.0	0.0	2222.2	4444.4	2222.2	4444.4	3.6	1.3564659966250538	2.6	1.3564659966250538	18	3.6	2	6	1.3564659966250538	0	0.0	0	0	0.0	13	2.6	1	5	1.3564659966250538	1	0	0
25200	0.0	0.0	4444.4	5443.2561064127785	4444.4	5443.2561064127785	4.0	1.2649110640673518	2.6	1.3564659966250538	20	4.0	2	6	1.2649110640673518	0	0.0	0	0	0.0	13	2.6	1	5	1.3564659966250538	2	0	0
28800	44.4	88.8	13333.2	12957.541300725226	13377.6	12988.267299374462	5.2	2.3151673805580453	3.0	1.4142135623730951	26	5.2	2	9	2.3151673805580453	0	0.0	0	0	0.0	15	3.0	1	5	1.4142135623730951	6	0	2
32400	0.0	0.0	2222.2	4444.4	2222.2	4444.4	5.4	2.0591260281974	3.0	1.4142135623730951	27	5.4	3	9	2.0591260281974	0	0.0	0	0	0.0	15	3.0	1	5	1.4142135623730951	1	0	0
36000	66.6	88.8	6666.6	8888.800000000001	6733.2	8977.6	6.0	1.5491933384829668	3.6	0.8	30	6.0	5	9	1.5491933384829668	0	0.0	0	0	0.0	18	3.6	3	5	0.8	3	0	3
39600	111.0	70.20256405573802	11111.0	7027.213416426172	11222.0	7097.415980481911	7.0	1.5491933384829668	4.6	0.7999999999999999	35	7.0	6	10	1.5491933384829668	0	0.0	0	0	0.0	23	4.6	4	6	0.7999999999999999	5	0	5
