time	gasCreateUserMean(2)	gasCreateUserStd(3)	gasCreateProposalMean(4)	gasCreateProposalStd(5)	gasVoteMean(6)	gasVoteStd(7)	gasTotalMean(8)	gasTotalStd(9)	createProposalMean(10)	createProposalStd(11)	createUserMean(12)	createUserStd(13)	voteMean(14)	voteStd(15)	totProposal(16)	avgProposal(17)	minProposal(18)	maxProposal(19)	stdProposal(20)	totVote(21)	avgVote(22)	minVote(23)	maxVote(24)	stdVote(25)	totUser(26)	avgUser(27)	minUser(28)	maxUser(29)	stdUser(30)	totAggrProposal(31)	totAggrVote(32)	totAggrUser(33)
0	3996.0	444.0	64443.8	19116.087208422123	0.0	0.0	68439.8	19453.75194043555	5.8	1.7204650534085253	36.0	4.0	0.0	0.0	29	5.8	4	9	1.7204650534085253	0	0.0	0	0	0.0	180	36.0	30	42	4.0	29	0	180
3600	4195.8	423.5490054291239	73332.6	19372.69046467217	0.0	0.0	77528.4	19397.676537152587	12.4	2.5768197453450252	73.8	4.833218389437828	0.0	0.0	62	12.4	10	16	2.5768197453450252	0	0.0	0	0	0.0	369	73.8	67	80	4.833218389437828	33	0	189
7200	3663.0	511.08238083502744	66666.0	35136.06708213086	0.0	0.0	70329.0	35523.75933371917	18.4	4.409081537009721	106.8	4.48998886412873	0.0	0.0	92	18.4	12	24	4.409081537009721	0	0.0	0	0	0.0	534	106.8	99	112	4.48998886412873	30	0	165
10800	3929.4	375.43606646138835	82221.4	41335.30939330199	0.0	0.0	86150.8	41284.47002154685	25.8	2.7129319932501073	142.2	7.249827584156742	0.0	0.0	129	25.8	23	31	2.7129319932501073	0	0.0	0	0	0.0	711	142.2	131	150	7.249827584156742	37	0	177
14400	3996.0	732.9362864533315	84443.6	26850.94476252186	0.0	0.0	88439.6	27225.788624757963	33.4	3.826225293941798	178.2	8.328265125462805	0.0	0.0	167	33.4	28	40	3.826225293941798	0	0.0	0	0	0.0	891	178.2	165	190	8.328265125462805	38	0	180
18000	3374.4	479.23213581728845	75554.8	29312.831220474083	0.0	0.0	78929.2	29696.276651459186	40.2	3.3105890714493693	208.6	9.350935782048767	0.0	0.0	201	40.2	36	46	3.3105890714493693	0	0.0	0	0	0.0	1043	208.6	194	217	9.350935782048767	34	0	152
21600	3485.4	381.9432418566926	55555.0	9937.980519200066	101.4	49.60080644505692	59141.8	9924.319370112995	45.2	3.9698866482558417	240.0	11.781341180018513	33.8	16.53360214835231	226	45.2	40	52	3.9698866482558417	169	33.8	9	53	16.53360214835231	1200	240.0	221	253	11.781341180018513	25	169	157
25200	4329.0	907.2170633315932	68888.2	41215.670041381105	318.0	47.35820942561068	73535.2	41787.789122661175	51.4	3.9293765408777	279.0	6.899275324264136	139.8	3.4871191548325386	257	51.4	47	58	3.9293765408777	699	139.8	135	145	3.4871191548325386	1395	279.0	269	289	6.899275324264136	31	530	195
28800	4018.2	1175.5523637847868	82221.4	20607.835020690552	54.6	15.576905982896603	86294.2	21630.96273770541	58.8	4.354308211415448	315.2	8.818163074019441	158.0	4.427188724235731	294	58.8	54	65	4.354308211415448	790	158.0	150	162	4.427188724235731	1576	315.2	299	323	8.818163074019441	37	91	181
32400	4262.4	626.3390774971652	68888.2	37449.18005190501	56.4	8.97997772825746	73207.0	37764.48697917131	65.0	2.449489742783178	353.6	12.026637102698327	176.8	6.013318551349164	325	65.0	62	69	2.449489742783178	884	176.8	165	181	6.013318551349164	1768	353.6	330	362	12.026637102698327	31	94	192
36000	3774.0	491.41794839016615	59999.4	18053.23814278203	51.6	6.945502141674135	63825.0	18294.32485772569	70.4	3.0066592756745814	387.6	9.850888284819801	194.0	5.0990195135927845	352	70.4	66	74	3.0066592756745814	970	194.0	185	199	5.0990195135927845	1938	387.6	370	397	9.850888284819801	27	86	170
