time	gasCreateUserMean(2)	gasCreateUserStd(3)	gasCreateProposalMean(4)	gasCreateProposalStd(5)	gasVoteMean(6)	gasVoteStd(7)	gasTotalMean(8)	gasTotalStd(9)	createProposalMean(10)	createProposalStd(11)	createUserMean(12)	createUserStd(13)	voteMean(14)	voteStd(15)	totProposal(16)	avgProposal(17)	minProposal(18)	maxProposal(19)	stdProposal(20)	totVote(21)	avgVote(22)	minVote(23)	maxVote(24)	stdVote(25)	totUser(26)	avgUser(27)	minUser(28)	maxUser(29)	stdUser(30)	totAggrProposal(31)	totAggrVote(32)	totAggrUser(33)
0	94150.2	1266.3733098893076	17777.6	8888.800000000001	402.6	146.98652999509852	112330.4	8110.110766197956	1.6	0.8	848.2	11.408768557561329	134.2	48.99550999836618	8	1.6	1	3	0.8	671	134.2	84	223	48.99550999836618	4241	848.2	836	864	11.408768557561329	8	671	4241
3600	16405.8	1494.8366332144794	6666.6	5443.2561064127785	1054.2	52.464845372878024	24126.6	5638.377128216948	2.2	0.7483314773547882	996.0	22.503333086456326	485.6	34.4882588716798	11	2.2	1	3	0.7483314773547882	2428	485.6	446	548	34.4882588716798	4980	996.0	964	1033	22.503333086456326	3	1757	739
7200	4551.0	460.34899804387544	8888.8	8314.711044889054	1191.6	490.0071836208118	14631.4	9052.176944801731	3.0	1.4142135623730951	1037.0	19.452506265260524	882.8	176.83936213411312	15	3.0	1	5	1.4142135623730951	4414	882.8	535	1026	176.83936213411312	5185	1037.0	1008	1069	19.452506265260524	4	1986	205
10800	1376.4	286.0269917332978	2222.2	4444.4	476.4	551.4989029907493	4075.0	4989.768050721396	3.2	1.469693845669907	1049.4	18.842505141302205	1041.6	293.84118159305035	16	3.2	1	5	1.469693845669907	5208	1041.6	540	1394	293.84118159305035	5247	1049.4	1022	1080	18.842505141302205	1	794	62
14400	777.0	185.73852589056477	8888.8	8314.711044889053	788.4	734.5465540045776	10454.2	9166.461550674829	4.0	1.4142135623730951	1056.4	19.955951493226276	1304.4	301.5404450484213	20	4.0	2	6	1.4142135623730951	6522	1304.4	956	1757	301.5404450484213	5282	1056.4	1029	1090	19.955951493226276	4	1314	35
18000	444.0	222.0	19999.8	19116.087208422123	1458.6	872.0157338030089	21902.4	19963.401119047827	5.8	2.925747767665559	1060.4	20.244505427399307	1790.6	564.1303395492924	29	5.8	3	11	2.925747767665559	8953	1790.6	1066	2522	564.1303395492924	5302	1060.4	1032	1095	20.244505427399307	9	2431	20
21600	288.6	180.35365258291833	15555.4	16629.422089778105	1328.4	549.0554070401274	17172.4	17248.89669051328	7.2	2.638181191654584	1063.0	19.473058311420935	2233.4	577.6755490757766	36	7.2	3	11	2.638181191654584	11167	2233.4	1488	3083	577.6755490757766	5315	1063.0	1037	1097	19.473058311420935	7	2214	13
25200	66.6	133.2	2222.2	4444.4	883.8	620.1301153790226	3172.6	4367.901583140352	7.4	2.33238075793812	1063.6	19.509997437211517	2528.0	597.1666434086887	37	7.4	4	11	2.33238075793812	12640	2528.0	1618	3394	597.1666434086887	5318	1063.6	1037	1097	19.509997437211517	1	1473	3
28800	111.0	70.20256405573802	11111.0	7027.213416426172	1056.0	592.6196081804922	12278.0	7623.487732002985	8.4	2.65329983228432	1064.6	19.703806738800502	2880.0	617.6202716880332	42	8.4	5	13	2.65329983228432	14400	2880.0	2146	3760	617.6202716880332	5323	1064.6	1037	1098	19.703806738800502	5	1760	5
32400	22.2	44.4	2222.2	4444.4	669.0	413.7042421827458	2913.4	4631.593056389994	8.6	3.006659275674582	1064.8	19.63058837630701	3103.0	628.4870722616337	43	8.6	5	14	3.006659275674582	15515	3103.0	2206	3926	628.4870722616337	5324	1064.8	1037	1098	19.63058837630701	1	1115	1
36000	0.0	0.0	0.0	0.0	159.0	318.0	159.0	318.0	8.6	3.006659275674582	1064.8	19.63058837630701	3156.0	664.4772381353631	43	8.6	5	14	3.006659275674582	15780	3156.0	2206	3926	664.4772381353631	5324	1064.8	1037	1098	19.63058837630701	0	265	0
39600	0.0	0.0	6666.6	8888.8	402.0	774.3487586352805	7068.6	9583.854080692174	9.2	3.54400902933387	1064.8	19.63058837630701	3290.0	803.1525384383716	46	9.2	6	16	3.54400902933387	16450	3290.0	2206	4351	803.1525384383716	5324	1064.8	1037	1098	19.63058837630701	3	670	0
43200	44.4	54.37867228978655	13333.2	8314.711044889053	1796.4	818.0035696743627	15174.0	8259.331571017112	10.4	3.6660605559646724	1065.2	19.55914108543624	3888.8	972.0932877044261	52	10.4	6	17	3.6660605559646724	19444	3888.8	2294	5133	972.0932877044261	5326	1065.2	1037	1098	19.55914108543624	6	2994	2
46800	44.4	54.37867228978655	15555.4	16629.422089778105	1969.2	972.2251591066753	17569.0	17159.819427954364	11.8	2.7856776554368237	1065.6	19.915822855207363	4545.2	813.7951585012042	59	11.8	9	17	2.7856776554368237	22726	4545.2	3095	5293	813.7951585012042	5328	1065.6	1037	1099	19.915822855207363	7	3282	2
50400	0.0	0.0	6666.6	13333.199999999999	1497.6	1070.6888623685222	8164.2	13941.034486722998	12.4	2.870540018881465	1065.6	19.915822855207363	5044.4	976.5155605519044	62	12.4	9	17	2.870540018881465	25222	5044.4	3243	5963	976.5155605519044	5328	1065.6	1037	1099	19.915822855207363	3	2496	0
54000	0.0	0.0	15555.4	11331.041163105887	1755.6	604.2551116871085	17311.0	11807.011120516487	13.8	3.370459909270543	1065.6	19.915822855207363	5629.6	971.8892117931961	69	13.8	10	18	3.370459909270543	28148	5629.6	3999	6698	971.8892117931961	5328	1065.6	1037	1099	19.915822855207363	7	2926	0
57600	22.2	44.4	4444.4	5443.2561064127785	1518.0	961.9798334684568	5984.6	5746.2401481316465	14.2	3.370459909270543	1065.8	20.252407264322926	6135.6	1227.3849599860673	71	14.2	10	18	3.370459909270543	30678	6135.6	4312	7556	1227.3849599860673	5329	1065.8	1037	1100	20.252407264322926	2	2530	1
61200	0.0	0.0	11111.0	9937.980519200066	1401.0	985.7307948928044	12512.0	10154.888221935285	15.2	4.069397989875161	1065.8	20.252407264322926	6602.6	1268.8149746909514	76	15.2	10	20	4.069397989875161	33013	6602.6	5155	8389	1268.8149746909514	5329	1065.8	1037	1100	20.252407264322926	5	2335	0
64800	0.0	0.0	6666.6	5443.2561064127785	1766.4	762.5889062922435	8433.0	6118.156585116141	15.8	4.069397989875161	1065.8	20.252407264322926	7191.4	1385.1783423083107	79	15.8	11	20	4.069397989875161	35957	7191.4	5317	8863	1385.1783423083107	5329	1065.8	1037	1100	20.252407264322926	3	2944	0
68400	0.0	0.0	6666.6	5443.2561064127785	2172.0	371.36074105914855	8838.6	5414.205116173564	16.4	3.8262252939417984	1065.8	20.252407264322926	7915.4	1466.0536961516793	82	16.4	12	21	3.8262252939417984	39577	7915.4	5822	9677	1466.0536961516793	5329	1065.8	1037	1100	20.252407264322926	3	3620	0
72000	0.0	0.0	6666.6	5443.2561064127785	1061.4	941.6720448223999	7728.0	6011.410849376376	17.0	3.40587727318528	1065.8	20.252407264322926	8269.2	1231.7303925778563	85	17.0	13	21	3.40587727318528	41346	8269.2	6573	9963	1231.7303925778563	5329	1065.8	1037	1100	20.252407264322926	3	1769	0
75600	0.0	0.0	13333.2	10886.512212825557	2115.0	496.457853196019	15448.2	10712.73347750237	18.2	4.166533331199932	1065.8	20.252407264322926	8974.2	1188.9123432785111	91	18.2	13	24	4.166533331199932	44871	8974.2	7431	10563	1188.9123432785111	5329	1065.8	1037	1100	20.252407264322926	6	3525	0
79200	0.0	0.0	6666.6	8888.8	2346.6	249.58413411112494	9013.2	8904.589949009443	18.8	4.019950248448356	1065.8	20.252407264322926	9756.4	1220.6607391081275	94	18.8	14	25	4.019950248448356	48782	9756.4	8249	11374	1220.6607391081275	5329	1065.8	1037	1100	20.252407264322926	3	3911	0
82800	0.0	0.0	6666.6	5443.2561064127785	1588.2	928.3196432264051	8254.8	5790.346911887059	19.4	3.6110940170535577	1065.8	20.252407264322926	10285.8	1368.0662849438254	97	19.4	15	25	3.6110940170535577	51429	10285.8	8683	12205	1368.0662849438254	5329	1065.8	1037	1100	20.252407264322926	3	2647	0
86400	0.0	0.0	4444.4	5443.2561064127785	1546.2	1098.24521851907	5990.6	6213.783214757335	19.8	3.4292856398964493	1065.8	20.252407264322926	10801.2	1388.273805846671	99	19.8	16	25	3.4292856398964493	54006	10801.2	9161	12426	1388.273805846671	5329	1065.8	1037	1100	20.252407264322926	2	2577	0
90000	0.0	0.0	4444.4	8888.8	1295.4	1076.4715695270359	5739.8	9219.626248389899	20.2	3.059411708155671	1065.8	20.252407264322926	11233.0	1425.9807852842898	101	20.2	16	25	3.059411708155671	56165	11233.0	9161	13148	1425.9807852842898	5329	1065.8	1037	1100	20.252407264322926	2	2159	0
93600	0.0	0.0	8888.8	8314.711044889053	872.4	992.5918798781299	9761.2	9256.898474111078	21.0	2.898275349237888	1065.8	20.252407264322926	11523.8	1433.4441600564705	105	21.0	17	26	2.898275349237888	57619	11523.8	9161	13148	1433.4441600564705	5329	1065.8	1037	1100	20.252407264322926	4	1454	0
97200	0.0	0.0	8888.8	4444.4	1716.6	1028.278872679975	10605.4	5332.851567407441	21.8	2.9257477676655586	1065.8	20.252407264322926	12096.0	1632.802743750757	109	21.8	18	27	2.9257477676655586	60480	12096.0	9161	13502	1632.802743750757	5329	1065.8	1037	1100	20.252407264322926	4	2861	0
100800	0.0	0.0	15555.4	5443.2561064127785	2329.2	306.69685358672984	17884.6	5303.374646392615	23.2	2.85657137141714	1065.8	20.252407264322926	12872.4	1727.1823991692365	116	23.2	19	28	2.85657137141714	64362	12872.4	9736	14321	1727.1823991692365	5329	1065.8	1037	1100	20.252407264322926	7	3882	0
104400	0.0	0.0	0.0	0.0	1648.8	748.8149036978364	1648.8	748.8149036978364	23.2	2.85657137141714	1065.8	20.252407264322926	13422.0	1646.095136983279	116	23.2	19	28	2.85657137141714	67110	13422.0	10560	14735	1646.095136983279	5329	1065.8	1037	1100	20.252407264322926	0	2748	0
108000	0.0	0.0	6666.6	5443.2561064127785	799.2	565.2834333323417	7465.8	5969.85696311059	23.8	2.9257477676655586	1065.8	20.252407264322926	13688.4	1677.952037455183	119	23.8	20	29	2.9257477676655586	68442	13688.4	10666	15057	1677.952037455183	5329	1065.8	1037	1100	20.252407264322926	3	1332	0
111600	0.0	0.0	6666.6	5443.2561064127785	1828.2	968.98160973261	8494.8	5978.175086094418	24.4	3.0066592756745814	1065.8	20.252407264322926	14297.8	1952.0229916678747	122	24.4	21	30	3.0066592756745814	71489	14297.8	10666	15888	1952.0229916678747	5329	1065.8	1037	1100	20.252407264322926	3	3047	0
