time	gasCreateUserMean(2)	gasCreateUserStd(3)	gasCreateProposalMean(4)	gasCreateProposalStd(5)	gasVoteMean(6)	gasVoteStd(7)	gasTotalMean(8)	gasTotalStd(9)	createProposalMean(10)	createProposalStd(11)	createUserMean(12)	createUserStd(13)	voteMean(14)	voteStd(15)	totProposal(16)	avgProposal(17)	minProposal(18)	maxProposal(19)	stdProposal(20)	totVote(21)	avgVote(22)	minVote(23)	maxVote(24)	stdVote(25)	totUser(26)	avgUser(27)	minUser(28)	maxUser(29)	stdUser(30)	totAggrProposal(31)	totAggrVote(32)	totAggrUser(33)
0	1043.4	249.1943819591445	28888.6	20607.835020690556	29.4	23.499787233079367	29961.4	20831.994581412506	2.6	1.8547236990991407	9.4	2.244994432064365	9.8	7.833262411026456	13	2.6	1	6	1.8547236990991407	49	9.8	4	25	7.833262411026456	47	9.4	7	13	2.244994432064365	13	49	47
3600	865.8	129.44713206556565	22222.0	15713.326891527458	48.0	27.099815497526915	23135.8	15771.56445505645	4.6	1.0198039027185568	17.2	2.4	25.8	4.915282290977803	23	4.6	3	6	1.0198039027185568	129	25.8	20	34	4.915282290977803	86	17.2	14	20	2.4	10	80	39
7200	1087.8	237.03113719509508	33333.0	19875.96103840013	110.4	59.01389666849664	34531.2	20157.886659072174	7.6	1.7435595774162693	27.0	2.756809750418044	62.6	21.294130646729865	38	7.6	5	10	1.7435595774162693	313	62.6	42	96	21.294130646729865	135	27.0	22	30	2.756809750418044	15	184	49
10800	1221.0	297.844254602972	37777.4	18053.23814278203	169.2	66.88318174249787	39167.6	18254.171047735912	11.0	1.4142135623730951	38.0	3.40587727318528	119.0	9.818350166906862	55	11.0	9	13	1.4142135623730951	595	119.0	101	128	9.818350166906862	190	38.0	34	42	3.40587727318528	17	282	55
14400	888.0	336.67966971588885	39999.6	19372.69046467217	240.6	135.62389170054072	41128.2	19756.92915814601	14.6	2.33238075793812	46.0	5.656854249492381	199.2	36.44392953565792	73	14.6	10	16	2.33238075793812	996	199.2	152	261	36.44392953565792	230	46.0	40	56	5.656854249492381	18	401	40
18000	799.2	226.39646640351964	31110.8	21545.02835830113	201.0	122.53815732252546	32111.0	21839.358049173516	17.4	3.49857113690718	53.2	5.81033561853358	266.2	71.0391441389886	87	17.4	11	21	3.49857113690718	1331	266.2	182	386	71.0391441389886	266	53.2	46	63	5.81033561853358	14	335	36
21600	865.8	256.983579241943	37777.4	11331.041163105887	294.6	75.90415008416865	38937.8	11628.543406635243	20.8	4.069397989875161	61.0	4.6475800154489	364.4	80.70092936267835	104	20.8	13	24	4.069397989875161	1822	364.4	242	490	80.70092936267835	305	61.0	57	70	4.6475800154489	17	491	39
25200	1265.4	166.129587972763	42221.8	12957.541300725226	354.6	79.38160996099789	43841.8	12940.592511937002	24.6	4.673328578219168	72.4	5.986651818838305	482.6	98.16231456113898	123	24.6	16	30	4.673328578219168	2413	482.6	333	613	98.16231456113898	362	72.4	68	84	5.986651818838305	19	591	57
28800	954.6	113.19823320175982	37777.4	11331.041163105887	409.8	127.4431638025359	39141.8	11450.057596361688	28.0	5.253570214625479	81.0	5.692099788303083	619.2	126.45378602477666	140	28.0	18	33	5.253570214625479	3096	619.2	415	795	126.45378602477666	405	81.0	77	92	5.692099788303083	17	683	43
32400	1176.6	388.34139619669696	42221.8	10886.512212825557	492.0	136.86051293196294	43890.4	10947.790198939694	31.8	5.075431016179808	91.6	6.151422599691879	783.2	147.66773513533684	159	31.8	22	36	5.075431016179808	3916	783.2	574	1031	147.66773513533684	458	91.6	85	100	6.151422599691879	19	820	53
