time	gasCreateUserMean(2)	gasCreateUserStd(3)	gasCreateProposalMean(4)	gasCreateProposalStd(5)	gasVoteMean(6)	gasVoteStd(7)	gasTotalMean(8)	gasTotalStd(9)	createProposalMean(10)	createProposalStd(11)	createUserMean(12)	createUserStd(13)	voteMean(14)	voteStd(15)	totProposal(16)	avgProposal(17)	minProposal(18)	maxProposal(19)	stdProposal(20)	totVote(21)	avgVote(22)	minVote(23)	maxVote(24)	stdVote(25)	totUser(26)	avgUser(27)	minUser(28)	maxUser(29)	stdUser(30)	totAggrProposal(31)	totAggrVote(32)	totAggrUser(33)
0	910.2	292.8381122736588	26666.4	11331.041163105887	0.0	0.0	27576.6	11605.782431184896	2.4	1.019803902718557	8.2	2.6381811916545836	0.0	0.0	12	2.4	1	4	1.019803902718557	0	0.0	0	0	0.0	41	8.2	5	13	2.6381811916545836	12	0	41
3600	932.4	180.35365258291833	39999.6	16629.422089778105	0.0	0.0	40932.0	16730.95453343891	6.0	1.5491933384829668	16.6	3.0724582991474434	0.0	0.0	30	6.0	3	7	1.5491933384829668	0	0.0	0	0	0.0	83	16.6	14	22	3.0724582991474434	18	0	42
7200	865.8	275.49475494099704	37777.4	16629.422089778105	0.0	0.0	38643.2	16887.791168770415	9.4	2.4166091947189146	24.4	3.826225293941798	0.0	0.0	47	9.4	6	13	2.4166091947189146	0	0.0	0	0	0.0	122	24.4	20	31	3.826225293941798	17	0	39
10800	1221.0	289.4525867909976	39999.6	19372.69046467217	0.0	0.0	41220.6	19349.37368081975	13.0	1.6733200530681511	35.4	4.63033476111609	0.0	0.0	65	13.0	11	16	1.6733200530681511	0	0.0	0	0	0.0	177	35.4	31	44	4.63033476111609	18	0	55
14400	754.8	237.03113719509508	24444.2	8314.711044889053	0.0	0.0	25199.0	8499.955270470546	15.2	2.1354156504062622	42.2	5.114684741017769	0.0	0.0	76	15.2	13	19	2.1354156504062622	0	0.0	0	0	0.0	211	42.2	35	51	5.114684741017769	11	0	34
18000	843.6	228.5629891299114	28888.6	15071.69368850097	0.0	0.0	29732.2	15287.90785424873	17.8	3.059411708155671	49.8	6.523802572120036	0.0	0.0	89	17.8	15	22	3.059411708155671	0	0.0	0	0	0.0	249	49.8	43	62	6.523802572120036	13	0	38
21600	954.6	249.19438195914447	24444.2	12957.541300725226	63.0	22.045407685048602	25461.8	13079.435085660238	20.0	2.280350850198276	58.4	5.678027826631356	21.0	7.3484692283495345	100	20.0	17	23	2.280350850198276	105	21.0	8	29	7.3484692283495345	292	58.4	52	68	5.678027826631356	11	105	43
25200	777.0	289.4525867909976	22222.0	18592.25910964023	36.0	30.886890422961002	23035.0	18859.32640366564	22.0	3.40587727318528	65.4	7.709734106958554	33.0	3.7416573867739413	110	22.0	17	26	3.40587727318528	165	33.0	28	39	3.7416573867739413	327	65.4	55	78	7.709734106958554	10	60	35
28800	821.4	205.87433060000464	28888.6	15071.693688500969	10.8	2.4	29720.8	15135.27538434633	24.6	2.727636339397171	72.8	8.034923770640267	36.6	3.9293765408777004	123	24.6	21	28	2.727636339397171	183	36.6	31	42	3.9293765408777004	364	72.8	62	84	8.034923770640267	13	18	37
32400	1021.2	411.7486612000093	39999.6	20607.835020690552	13.8	5.2306787322488075	41034.6	20953.674356541862	28.2	4.019950248448356	82.0	9.57078889120432	41.2	4.707440918375928	141	28.2	22	34	4.019950248448356	206	41.2	35	48	4.707440918375928	410	82.0	69	96	9.57078889120432	18	23	46
