time	gasCreateUserMean(2)	gasCreateUserStd(3)	gasCreateProposalMean(4)	gasCreateProposalStd(5)	gasTotalMean(6)	gasTotalStd(7)	createProposalMean(8)	createProposalStd(9)	createUserMean(10)	createUserStd(11)	totProposal(12)	avgProposal(13)	minProposal(14)	maxProposal(15)	stdProposal(16)	totVote(17)	avgVote(18)	minVote(19)	maxVote(20)	stdVote(21)	totUser(22)	avgUser(23)	minUser(24)	maxUser(25)	stdUser(26)	totAggrProposal(27)	totAggrVote(28)	totAggrUser(29)
0	42757.2	1946.017101672028	0.0	0.0	42757.2	1946.017101672028	0.0	0.0	385.2	17.531685600648903	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1926	385.2	359	411	17.531685600648903	0	0	1926
3600	1043.4	286.0269917332978	0.0	0.0	1043.4	286.0269917332978	0.0	0.0	394.6	19.37627415165258	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1973	394.6	366	424	19.37627415165258	0	0	47
7200	22.2	44.4	0.0	0.0	22.2	44.4	0.0	0.0	394.8	19.260321908005587	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	0	0	1
10800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	394.8	19.260321908005587	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	0	0	0
14400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	394.8	19.260321908005587	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	0	0	0
18000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	394.8	19.260321908005587	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	0	0	0
21600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	394.8	19.260321908005587	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	0	0	0
25200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	394.8	19.260321908005587	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	0	0	0
28800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	394.8	19.260321908005587	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	0	0	0
32400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	394.8	19.260321908005587	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	0	0	0
36000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	394.8	19.260321908005587	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	0	0	0
39600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	394.8	19.260321908005587	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	0	0	0
43200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	394.8	19.260321908005587	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	0	0	0
46800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	394.8	19.260321908005587	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	0	0	0
50400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	394.8	19.260321908005587	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	0	0	0
54000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	394.8	19.260321908005587	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	0	0	0
57600	0.0	0.0	2222.2	4444.4	2222.2	4444.4	0.2	0.4000000000000001	394.8	19.260321908005587	1	0.2	0	1	0.4000000000000001	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	1	0	0
61200	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.4000000000000001	394.8	19.260321908005587	1	0.2	0	1	0.4000000000000001	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	0	0	0
64800	0.0	0.0	4444.4	5443.2561064127785	4444.4	5443.2561064127785	0.6	0.7999999999999999	394.8	19.260321908005587	3	0.6	0	2	0.7999999999999999	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	2	0	0
68400	0.0	0.0	2222.2	4444.4	2222.2	4444.4	0.8	0.9797958971132713	394.8	19.260321908005587	4	0.8	0	2	0.9797958971132713	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	1	0	0
72000	0.0	0.0	2222.2	4444.4	2222.2	4444.4	1.0	0.8944271909999159	394.8	19.260321908005587	5	1.0	0	2	0.8944271909999159	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	1	0	0
75600	0.0	0.0	4444.4	5443.2561064127785	4444.4	5443.2561064127785	1.4	1.019803902718557	394.8	19.260321908005587	7	1.4	0	3	1.019803902718557	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	2	0	0
79200	0.0	0.0	4444.4	5443.2561064127785	4444.4	5443.2561064127785	1.8	1.3266499161421599	394.8	19.260321908005587	9	1.8	0	4	1.3266499161421599	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	2	0	0
82800	0.0	0.0	15555.4	15071.693688500969	15555.4	15071.693688500969	3.2	2.2271057451320084	394.8	19.260321908005587	16	3.2	0	5	2.2271057451320084	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	7	0	0
86400	0.0	0.0	8888.8	10886.512212825557	8888.8	10886.512212825557	4.0	2.9664793948382653	394.8	19.260321908005587	20	4.0	0	7	2.9664793948382653	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	4	0	0
90000	0.0	0.0	15555.4	11331.041163105885	15555.4	11331.041163105885	5.4	2.8	394.8	19.260321908005587	27	5.4	2	8	2.8	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	7	0	0
93600	0.0	0.0	8888.8	10886.512212825557	8888.8	10886.512212825557	6.2	2.85657137141714	394.8	19.260321908005587	31	6.2	2	10	2.85657137141714	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	4	0	0
97200	0.0	0.0	11111.0	9937.980519200066	11111.0	9937.980519200066	7.2	3.1874754901018454	394.8	19.260321908005587	36	7.2	2	11	3.1874754901018454	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	5	0	0
100800	0.0	0.0	24444.2	4444.4	24444.2	4444.4	9.4	3.4409301068170506	394.8	19.260321908005587	47	9.4	4	14	3.4409301068170506	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	11	0	0
104400	0.0	0.0	33333.0	9937.980519200066	33333.0	9937.980519200066	12.4	3.6110940170535573	394.8	19.260321908005587	62	12.4	8	18	3.6110940170535573	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	15	0	0
108000	0.0	0.0	33333.0	0.0	33333.0	0.0	15.4	3.6110940170535573	394.8	19.260321908005587	77	15.4	11	21	3.6110940170535573	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	15	0	0
111600	0.0	0.0	31110.8	10886.512212825557	31110.8	10886.512212825557	18.2	3.8678159211627436	394.8	19.260321908005587	91	18.2	15	25	3.8678159211627436	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	14	0	0
115200	0.0	0.0	48888.4	26850.944762521856	48888.4	26850.944762521856	22.6	3.0724582991474434	394.8	19.260321908005587	113	22.6	18	26	3.0724582991474434	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	22	0	0
118800	0.0	0.0	66666.0	37184.51821928046	66666.0	37184.51821928046	28.6	4.841487374764082	394.8	19.260321908005587	143	28.6	22	37	4.841487374764082	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	30	0	0
122400	0.0	0.0	79999.2	27576.776776120878	79999.2	27576.776776120878	35.8	4.069397989875161	394.8	19.260321908005587	179	35.8	32	43	4.069397989875161	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	36	0	0
126000	0.0	0.0	71110.4	33406.99121202028	71110.4	33406.99121202028	42.2	6.794115100585211	394.8	19.260321908005587	211	42.2	36	55	6.794115100585211	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	32	0	0
129600	0.0	0.0	99999.0	15713.326891527458	99999.0	15713.326891527458	51.2	6.968500556073739	394.8	19.260321908005587	256	51.2	43	64	6.968500556073739	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	45	0	0
133200	0.0	0.0	106665.6	26850.94476252186	106665.6	26850.94476252186	60.8	8.997777503361595	394.8	19.260321908005587	304	60.8	52	78	8.997777503361595	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	48	0	0
136800	0.0	0.0	135554.2	40612.18694628498	135554.2	40612.18694628498	73.0	7.8230428862431785	394.8	19.260321908005587	365	73.0	66	87	7.8230428862431785	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	61	0	0
140400	0.0	0.0	119998.8	22662.082326211774	119998.8	22662.082326211774	83.8	9.410632284814874	394.8	19.260321908005587	419	83.8	76	100	9.410632284814874	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	54	0	0
144000	0.0	0.0	186664.8	16329.768319238334	186664.8	16329.768319238334	100.6	10.34601372510205	394.8	19.260321908005587	503	100.6	92	118	10.34601372510205	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	84	0	0
147600	0.0	0.0	204442.4	59045.3217879283	204442.4	59045.3217879283	119.0	10.469001862641921	394.8	19.260321908005587	595	119.0	106	138	10.469001862641921	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	92	0	0
151200	0.0	0.0	199998.0	56655.20581552943	199998.0	56655.20581552943	137.0	13.29661611087573	394.8	19.260321908005587	685	137.0	120	158	13.29661611087573	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	90	0	0
154800	0.0	0.0	179998.2	23726.603291663978	179998.2	23726.603291663978	153.2	11.685888926393234	394.8	19.260321908005587	766	153.2	140	172	11.685888926393234	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	81	0	0
158400	0.0	0.0	233331.0	30630.91313689489	233331.0	30630.91313689489	174.2	11.702991070662234	394.8	19.260321908005587	871	174.2	161	190	11.702991070662234	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	105	0	0
162000	0.0	0.0	237775.4	42513.18924098732	237775.4	42513.18924098732	195.6	12.467557900406959	394.8	19.260321908005587	978	195.6	179	212	12.467557900406959	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	107	0	0
165600	0.0	0.0	315552.4	22878.949299301312	315552.4	22878.949299301312	224.0	10.89954127475097	394.8	19.260321908005587	1120	224.0	210	240	10.89954127475097	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	142	0	0
169200	0.0	0.0	239997.6	33406.99121202028	239997.6	33406.99121202028	245.6	8.662563131083086	394.8	19.260321908005587	1228	245.6	236	257	8.662563131083086	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	108	0	0
172800	0.0	0.0	306663.6	30306.767367041964	306663.6	30306.767367041964	273.2	9.368030742904295	394.8	19.260321908005587	1366	273.2	260	287	9.368030742904295	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	138	0	0
176400	0.0	0.0	364440.8	30951.66442955855	364440.8	30951.66442955855	306.0	8.87693640846886	394.8	19.260321908005587	1530	306.0	294	316	8.87693640846886	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	164	0	0
180000	0.0	0.0	402218.2	48888.4	402218.2	48888.4	342.2	8.63481325796916	394.8	19.260321908005587	1711	342.2	330	356	8.63481325796916	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	181	0	0
183600	0.0	0.0	346663.2	55063.94576998637	346663.2	55063.94576998637	373.4	9.3936148526539	394.8	19.260321908005587	1867	373.4	356	381	9.3936148526539	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	156	0	0
187200	0.0	0.0	391107.2	57691.66745865473	391107.2	57691.66745865473	408.6	10.384603988597735	394.8	19.260321908005587	2043	408.6	394	422	10.384603988597735	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	176	0	0
190800	0.0	0.0	417773.6	77490.76185868868	417773.6	77490.76185868868	446.2	9.57914401186244	394.8	19.260321908005587	2231	446.2	430	455	9.57914401186244	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	188	0	0
194400	0.0	0.0	399996.0	51639.26155165273	399996.0	51639.26155165273	482.2	13.847743498491008	394.8	19.260321908005587	2411	482.2	457	495	13.847743498491008	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	180	0	0
198000	0.0	0.0	399996.0	40368.26770125268	399996.0	40368.26770125268	518.2	10.533755265810953	394.8	19.260321908005587	2591	518.2	499	528	10.533755265810953	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	180	0	0
201600	0.0	0.0	439995.6	68708.75661107541	439995.6	68708.75661107541	557.8	12.204917041913886	394.8	19.260321908005587	2789	557.8	536	573	12.204917041913886	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	198	0	0
205200	0.0	0.0	406662.6	57777.19999999999	406662.6	57777.19999999999	594.4	11.482160075525858	394.8	19.260321908005587	2972	594.4	574	608	11.482160075525858	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	183	0	0
208800	0.0	0.0	377774.0	49689.90259600033	377774.0	49689.90259600033	628.4	11.892854997854805	394.8	19.260321908005587	3142	628.4	609	644	11.892854997854805	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	170	0	0
212400	0.0	0.0	379996.2	66443.40839360967	379996.2	66443.40839360967	662.6	16.280049139974977	394.8	19.260321908005587	3313	662.6	639	681	16.280049139974977	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	171	0	0
216000	0.0	0.0	344441.0	73366.26197101771	344441.0	73366.26197101771	693.6	14.595889832415152	394.8	19.260321908005587	3468	693.6	676	718	14.595889832415152	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	155	0	0
219600	0.0	0.0	426662.4	19372.69046467217	426662.4	19372.69046467217	732.0	14.683323874382122	394.8	19.260321908005587	3660	732.0	717	757	14.683323874382122	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	192	0	0
223200	0.0	0.0	377774.0	53977.05045294713	377774.0	53977.05045294713	766.0	15.912259424732868	394.8	19.260321908005587	3830	766.0	746	787	15.912259424732868	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	170	0	0
226800	0.0	0.0	368885.2	78692.24066806078	368885.2	78692.24066806078	799.2	17.97108789138821	394.8	19.260321908005587	3996	799.2	780	831	17.97108789138821	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	166	0	0
230400	0.0	0.0	319996.8	38745.38092934434	319996.8	38745.38092934434	828.0	17.966635745180564	394.8	19.260321908005587	4140	828.0	806	858	17.966635745180564	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	144	0	0
234000	0.0	0.0	335552.2	46824.65953917871	335552.2	46824.65953917871	858.2	16.545694303957145	394.8	19.260321908005587	4291	858.2	838	888	16.545694303957145	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	151	0	0
237600	0.0	0.0	315552.4	46930.00198849346	315552.4	46930.00198849346	886.6	15.90723106011854	394.8	19.260321908005587	4433	886.6	866	915	15.90723106011854	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	142	0	0
241200	0.0	0.0	297774.8	60204.80765320989	297774.8	60204.80765320989	913.4	19.179155351578963	394.8	19.260321908005587	4567	913.4	892	948	19.179155351578963	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	134	0	0
244800	0.0	0.0	262219.6	73567.91034574789	262219.6	73567.91034574789	937.0	19.05780679931455	394.8	19.260321908005587	4685	937.0	914	970	19.05780679931455	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	118	0	0
248400	0.0	0.0	211109.0	79503.84415360053	211109.0	79503.84415360053	956.0	22.645087767549057	394.8	19.260321908005587	4780	956.0	935	999	22.645087767549057	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	95	0	0
252000	0.0	0.0	171109.4	38872.623902175685	171109.4	38872.623902175685	971.4	19.895728184713423	394.8	19.260321908005587	4857	971.4	955	1010	19.895728184713423	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	77	0	0
255600	0.0	0.0	191109.2	33993.12348931766	191109.2	33993.12348931766	988.6	22.050850323740352	394.8	19.260321908005587	4943	988.6	972	1032	22.050850323740352	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	86	0	0
259200	0.0	0.0	188887.0	23306.630224037108	188887.0	23306.630224037108	1005.6	21.67579294974004	394.8	19.260321908005587	5028	1005.6	989	1048	21.67579294974004	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	85	0	0
262800	0.0	0.0	157776.2	10886.512212825557	157776.2	10886.512212825557	1019.8	21.747643550509096	394.8	19.260321908005587	5099	1019.8	1002	1062	21.747643550509096	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	71	0	0
266400	0.0	0.0	128887.6	38232.174416844246	128887.6	38232.174416844246	1031.4	22.89628790874189	394.8	19.260321908005587	5157	1031.4	1012	1075	22.89628790874189	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	58	0	0
270000	0.0	0.0	124443.2	8314.711044889053	124443.2	8314.711044889053	1042.6	22.887551201471947	394.8	19.260321908005587	5213	1042.6	1024	1086	22.887551201471947	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	56	0	0
273600	0.0	0.0	93332.4	46930.00198849346	93332.4	46930.00198849346	1051.0	23.98332754227403	394.8	19.260321908005587	5255	1051.0	1028	1096	23.98332754227403	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	42	0	0
277200	0.0	0.0	62221.6	26850.944762521856	62221.6	26850.944762521856	1056.6	25.334561373743966	394.8	19.260321908005587	5283	1056.6	1032	1103	25.334561373743966	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	28	0	0
280800	0.0	0.0	55555.0	29813.941557600196	55555.0	29813.941557600196	1061.6	27.397810131468532	394.8	19.260321908005587	5308	1061.6	1036	1113	27.397810131468532	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	25	0	0
284400	0.0	0.0	66666.0	15713.326891527458	66666.0	15713.326891527458	1067.6	27.199999999999996	394.8	19.260321908005587	5338	1067.6	1040	1118	27.199999999999996	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	30	0	0
288000	0.0	0.0	51110.6	19372.69046467217	51110.6	19372.69046467217	1072.2	27.117522010685267	394.8	19.260321908005587	5361	1072.2	1043	1122	27.117522010685267	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	23	0	0
291600	0.0	0.0	26666.4	11331.041163105885	26666.4	11331.041163105885	1074.6	27.111621124528863	394.8	19.260321908005587	5373	1074.6	1044	1124	27.111621124528863	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	12	0	0
295200	0.0	0.0	22222.0	9937.980519200066	22222.0	9937.980519200066	1076.6	27.397810131468532	394.8	19.260321908005587	5383	1076.6	1046	1127	27.397810131468532	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	10	0	0
298800	0.0	0.0	22222.0	7027.213416426172	22222.0	7027.213416426172	1078.6	27.644891028904414	394.8	19.260321908005587	5393	1078.6	1047	1129	27.644891028904414	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	10	0	0
302400	0.0	0.0	19999.8	8314.711044889053	19999.8	8314.711044889053	1080.4	27.8395402260885	394.8	19.260321908005587	5402	1080.4	1049	1131	27.8395402260885	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	9	0	0
306000	0.0	0.0	17777.6	15071.693688500969	17777.6	15071.693688500969	1082.0	28.39013913315678	394.8	19.260321908005587	5410	1082.0	1050	1133	28.39013913315678	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	8	0	0
309600	0.0	0.0	11111.0	9937.980519200066	11111.0	9937.980519200066	1083.0	28.98965332666122	394.8	19.260321908005587	5415	1083.0	1051	1135	28.98965332666122	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	5	0	0
313200	0.0	0.0	11111.0	14054.426832852345	11111.0	14054.426832852345	1084.0	28.74021572639983	394.8	19.260321908005587	5420	1084.0	1053	1135	28.74021572639983	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	5	0	0
316800	0.0	0.0	8888.8	12957.541300725226	8888.8	12957.541300725226	1084.8	28.867975336001656	394.8	19.260321908005587	5424	1084.8	1053	1136	28.867975336001656	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	4	0	0
320400	0.0	0.0	6666.6	8888.8	6666.6	8888.8	1085.4	29.35711157454016	394.8	19.260321908005587	5427	1085.4	1053	1137	29.35711157454016	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	3	0	0
324000	0.0	0.0	6666.6	5443.2561064127785	6666.6	5443.2561064127785	1086.0	28.934408582170814	394.8	19.260321908005587	5430	1086.0	1054	1137	28.934408582170814	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	3	0	0
327600	0.0	0.0	4444.4	5443.2561064127785	4444.4	5443.2561064127785	1086.4	28.583911558777253	394.8	19.260321908005587	5432	1086.4	1055	1137	28.583911558777253	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	2	0	0
331200	0.0	0.0	0.0	0.0	0.0	0.0	1086.4	28.583911558777253	394.8	19.260321908005587	5432	1086.4	1055	1137	28.583911558777253	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	0	0	0
334800	0.0	0.0	4444.4	5443.2561064127785	4444.4	5443.2561064127785	1086.8	28.23756363427978	394.8	19.260321908005587	5434	1086.8	1056	1137	28.23756363427978	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	2	0	0
338400	0.0	0.0	0.0	0.0	0.0	0.0	1086.8	28.23756363427978	394.8	19.260321908005587	5434	1086.8	1056	1137	28.23756363427978	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	0	0	0
342000	0.0	0.0	0.0	0.0	0.0	0.0	1086.8	28.23756363427978	394.8	19.260321908005587	5434	1086.8	1056	1137	28.23756363427978	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	0	0	0
345600	0.0	0.0	0.0	0.0	0.0	0.0	1086.8	28.23756363427978	394.8	19.260321908005587	5434	1086.8	1056	1137	28.23756363427978	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	0	0	0
349200	0.0	0.0	0.0	0.0	0.0	0.0	1086.8	28.23756363427978	394.8	19.260321908005587	5434	1086.8	1056	1137	28.23756363427978	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	0	0	0
352800	0.0	0.0	0.0	0.0	0.0	0.0	1086.8	28.23756363427978	394.8	19.260321908005587	5434	1086.8	1056	1137	28.23756363427978	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	0	0	0
356400	0.0	0.0	0.0	0.0	0.0	0.0	1086.8	28.23756363427978	394.8	19.260321908005587	5434	1086.8	1056	1137	28.23756363427978	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	0	0	0
360000	0.0	0.0	0.0	0.0	0.0	0.0	1086.8	28.23756363427978	394.8	19.260321908005587	5434	1086.8	1056	1137	28.23756363427978	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	0	0	0
363600	0.0	0.0	0.0	0.0	0.0	0.0	1086.8	28.23756363427978	394.8	19.260321908005587	5434	1086.8	1056	1137	28.23756363427978	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	0	0	0
367200	0.0	0.0	0.0	0.0	0.0	0.0	1086.8	28.23756363427978	394.8	19.260321908005587	5434	1086.8	1056	1137	28.23756363427978	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	0	0	0
370800	0.0	0.0	0.0	0.0	0.0	0.0	1086.8	28.23756363427978	394.8	19.260321908005587	5434	1086.8	1056	1137	28.23756363427978	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	0	0	0
374400	0.0	0.0	0.0	0.0	0.0	0.0	1086.8	28.23756363427978	394.8	19.260321908005587	5434	1086.8	1056	1137	28.23756363427978	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	0	0	0
378000	0.0	0.0	0.0	0.0	0.0	0.0	1086.8	28.23756363427978	394.8	19.260321908005587	5434	1086.8	1056	1137	28.23756363427978	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	0	0	0
381600	0.0	0.0	0.0	0.0	0.0	0.0	1086.8	28.23756363427978	394.8	19.260321908005587	5434	1086.8	1056	1137	28.23756363427978	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	0	0	0
385200	0.0	0.0	0.0	0.0	0.0	0.0	1086.8	28.23756363427978	394.8	19.260321908005587	5434	1086.8	1056	1137	28.23756363427978	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	0	0	0
388800	0.0	0.0	0.0	0.0	0.0	0.0	1086.8	28.23756363427978	394.8	19.260321908005587	5434	1086.8	1056	1137	28.23756363427978	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	0	0	0
392400	0.0	0.0	0.0	0.0	0.0	0.0	1086.8	28.23756363427978	394.8	19.260321908005587	5434	1086.8	1056	1137	28.23756363427978	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	0	0	0
396000	0.0	0.0	0.0	0.0	0.0	0.0	1086.8	28.23756363427978	394.8	19.260321908005587	5434	1086.8	1056	1137	28.23756363427978	0	0.0	0	0	0.0	1974	394.8	366	424	19.260321908005587	0	0	0
