time	gasCreateKittyMean(2)	gasCreateKittyStd(3)	gasTransferKittyMean(4)	gasTransferKittyStd(5)	gasTotalMean(6)	gasTotalStd(7)	transferKittyMean(8)	transferKittyStd(9)	createKittyMean(10)	createKittyStd(11)	totKitty(12)	avgKitty(13)	minKitty(14)	maxKitty(15)	stdKitty(16)
0	0.0	0.0	153.6	23.946607275353223	153.6	23.946607275353223	4.8	0.7483314773547882	0.0	0.0	24	4.8	4	6	0.7483314773547882
60	0.0	0.0	198.4	31.35346870762468	198.4	31.35346870762468	11.0	0.8944271909999159	0.0	0.0	55	11.0	10	12	0.8944271909999159
120	0.0	0.0	147.2	43.406911892001716	147.2	43.406911892001716	15.6	1.8547236990991407	0.0	0.0	78	15.6	13	18	1.8547236990991407
180	0.0	0.0	153.6	122.10421778136904	153.6	122.10421778136904	20.4	3.878143885933063	0.0	0.0	102	20.4	16	27	3.878143885933063
240	0.0	0.0	160.0	28.621670111997307	160.0	28.621670111997307	25.4	4.317406628984581	0.0	0.0	127	25.4	20	33	4.317406628984581
300	0.0	0.0	140.8	87.28436286070948	140.8	87.28436286070948	29.8	4.707440918375927	0.0	0.0	149	29.8	25	36	4.707440918375927
360	0.0	0.0	128.0	60.71573107523288	128.0	60.71573107523288	33.8	4.4	0.0	0.0	169	33.8	28	40	4.4
420	0.0	0.0	172.8	32.63372488699382	172.8	32.63372488699382	39.2	3.709447398198282	0.0	0.0	196	39.2	34	45	3.709447398198282
480	0.0	0.0	172.8	25.599999999999998	172.8	25.599999999999998	44.6	4.2708313008125245	0.0	0.0	223	44.6	39	51	4.2708313008125245
540	0.0	0.0	96.0	45.254833995939045	96.0	45.254833995939045	47.6	4.758150901348127	0.0	0.0	238	47.6	41	54	4.758150901348127
600	0.0	0.0	115.2	82.4582318510408	115.2	82.4582318510408	51.2	5.418486873657626	0.0	0.0	256	51.2	45	60	5.418486873657626
660	0.0	0.0	115.2	43.40691189200172	115.2	43.40691189200172	54.8	6.079473661428265	0.0	0.0	274	54.8	47	65	6.079473661428265
720	0.0	0.0	147.2	82.45823185104081	147.2	82.45823185104081	59.4	5.748043145279966	0.0	0.0	297	59.4	50	67	5.748043145279966
780	0.0	0.0	153.6	65.26744977398765	153.6	65.26744977398765	64.2	5.979966555090421	0.0	0.0	321	64.2	55	72	5.979966555090421
840	0.0	0.0	89.6	47.03020306143703	89.6	47.03020306143703	67.0	4.979959839195493	0.0	0.0	335	67.0	59	72	4.979959839195493
900	0.0	0.0	153.6	55.05488170907281	153.6	55.05488170907281	71.8	3.655133376499413	0.0	0.0	359	71.8	67	76	3.655133376499413
960	0.0	0.0	108.8	55.79390647732062	108.8	55.79390647732062	75.2	3.1874754901018454	0.0	0.0	376	75.2	71	79	3.1874754901018454
1020	0.0	0.0	140.8	15.67673435381234	140.8	15.67673435381234	79.6	3.261901286060018	0.0	0.0	398	79.6	75	84	3.261901286060018
1080	0.0	0.0	153.6	86.81382378400345	153.6	86.81382378400345	84.4	3.878143885933063	0.0	0.0	422	84.4	80	89	3.878143885933063
1140	0.0	0.0	160.0	67.1237662828897	160.0	67.1237662828897	89.4	3.1999999999999997	0.0	0.0	447	89.4	84	93	3.1999999999999997
1200	0.0	0.0	70.4	37.31809212700992	70.4	37.31809212700992	91.6	3.826225293941799	0.0	0.0	458	91.6	85	96	3.826225293941799
1260	0.0	0.0	115.2	51.99384578967015	115.2	51.99384578967015	95.2	3.867815921162743	0.0	0.0	476	95.2	88	99	3.867815921162743
1320	0.0	0.0	160.0	35.05424368033063	160.0	35.05424368033063	100.2	3.249615361854384	0.0	0.0	501	100.2	94	103	3.249615361854384
1380	0.0	0.0	172.8	71.83982182605968	172.8	71.83982182605968	105.6	2.6532998322843198	0.0	0.0	528	105.6	101	109	2.6532998322843198
