time	gasCraMean(2)	gasCraStd(3)	gasTotalMean(4)	gasTotalStd(5)	craMean(6)	craStd(7)	totKitty(8)	avgKitty(9)	minKitty(10)	maxKitty(11)	stdKitty(12)
0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
60	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
120	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
180	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
240	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
300	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
360	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
420	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
480	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
540	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
600	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
660	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
720	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
780	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
840	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
900	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
960	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
1020	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
1080	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
1140	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
1200	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
1260	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
1320	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
1380	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
1440	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
1500	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
1560	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
1620	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
1680	9.4	18.8	9.4	18.8	0.2	0.4	1	0.2	0	1	0.4
1740	0.0	0.0	0.0	0.0	0.2	0.4	1	0.2	0	1	0.4
1800	0.0	0.0	0.0	0.0	0.2	0.4	1	0.2	0	1	0.4
1860	18.8	23.025203582161875	18.8	23.025203582161875	0.6	0.48989794855663565	3	0.6	0	1	0.48989794855663565
1920	56.4	35.17157943567505	56.4	35.17157943567505	1.8	0.9797958971132713	9	1.8	0	3	0.9797958971132713
1980	65.8	70.3431588713501	65.8	70.3431588713501	3.2	1.4696938456699071	16	3.2	2	6	1.4696938456699071
2040	84.6	54.81094781154583	84.6	54.81094781154583	5.0	2.0976176963403033	25	5.0	3	8	2.0976176963403033
2100	131.6	54.81094781154582	131.6	54.81094781154582	7.8	2.039607805437114	39	7.8	5	11	2.039607805437114
2160	263.2	109.62189562309165	263.2	109.62189562309165	13.4	1.4966629547095764	67	13.4	12	16	1.4966629547095764
2220	206.8	70.34315887135008	206.8	70.34315887135008	17.8	2.315167380558045	89	17.8	15	21	2.315167380558045
2280	357.2	76.36596100357802	357.2	76.36596100357802	25.4	2.4166091947189146	127	25.4	22	29	2.4166091947189146
2340	376.0	194.92254872128058	376.0	194.92254872128058	33.4	2.0591260281974	167	33.4	31	36	2.0591260281974
2400	404.2	121.11052803121618	404.2	121.11052803121618	42.0	2.1908902300206643	210	42.0	38	44	2.1908902300206643
2460	366.6	149.81134803478673	366.6	149.81134803478673	49.8	5.192301994298868	249	49.8	41	55	5.192301994298868
2520	319.6	69.07561074648562	319.6	69.07561074648562	56.6	6.086049621881176	283	56.6	46	63	6.086049621881176
2580	423.0	89.17623001674829	423.0	89.17623001674829	65.6	7.337574531137657	328	65.6	54	74	7.337574531137657
2640	394.8	141.31298595670535	394.8	141.31298595670535	74.0	9.20869154657707	370	74.0	63	85	9.20869154657707
2700	338.4	155.59768635812037	338.4	155.59768635812037	81.2	11.408768557561329	406	81.2	69	97	11.408768557561329
2760	206.8	87.1720138576596	206.8	87.1720138576596	85.6	12.043255373859678	428	85.6	72	101	12.043255373859678
2820	122.2	47.93078342777218	122.2	47.93078342777218	88.2	12.204917041913886	441	88.2	76	104	12.204917041913886
2880	65.8	47.93078342777218	65.8	47.93078342777218	89.6	11.551623262554921	448	89.6	77	105	11.551623262554921
2940	84.6	62.35254605868152	84.6	62.35254605868152	91.4	12.15894732285653	457	91.4	79	109	12.15894732285653
3000	56.4	54.81094781154582	56.4	54.81094781154582	92.6	11.976643937263894	463	92.6	80	109	11.976643937263894
3060	28.2	23.025203582161875	28.2	23.025203582161875	93.2	11.93984924527944	466	93.2	81	110	11.93984924527944
3120	9.4	18.8	9.4	18.8	93.4	12.2245654319489	467	93.4	81	111	12.2245654319489
3180	0.0	0.0	0.0	0.0	93.4	12.2245654319489	467	93.4	81	111	12.2245654319489
3240	0.0	0.0	0.0	0.0	93.4	12.2245654319489	467	93.4	81	111	12.2245654319489
3300	0.0	0.0	0.0	0.0	93.4	12.2245654319489	467	93.4	81	111	12.2245654319489
3360	0.0	0.0	0.0	0.0	93.4	12.2245654319489	467	93.4	81	111	12.2245654319489
