time	gasCreateUserMean(2)	gasCreateUserStd(3)	gasCreateProposalMean(4)	gasCreateProposalStd(5)	gasVoteMean(6)	gasVoteStd(7)	gasTotalMean(8)	gasTotalStd(9)	createProposalMean(10)	createProposalStd(11)	createUserMean(12)	createUserStd(13)	voteMean(14)	voteStd(15)	totProposal(16)	avgProposal(17)	minProposal(18)	maxProposal(19)	stdProposal(20)	totVote(21)	avgVote(22)	minVote(23)	maxVote(24)	stdVote(25)	totUser(26)	avgUser(27)	minUser(28)	maxUser(29)	stdUser(30)	totAggrProposal(31)	totAggrVote(32)	totAggrUser(33)
0	1232000.0	270584.5524046042	924000.0	432416.465921454	0.0	0.0	2156000.0	524389.1684617447	4.4	2.0591260281974	15.4	3.3823069050575527	0.0	0.0	22	4.4	2	7	2.0591260281974	0	0.0	0	0	0.0	77	15.4	11	21	3.3823069050575527	22	0	77
3600	1136000.0	340916.4120426003	672000.0	428317.63914179394	0.0	0.0	1808000.0	739578.2581985493	7.6	3.8262252939417984	29.6	5.9194594347794975	0.0	0.0	38	7.6	2	11	3.8262252939417984	0	0.0	0	0	0.0	148	29.6	25	41	5.9194594347794975	16	0	71
7200	1072000.0	81584.31221748456	588000.0	361297.6612157903	0.0	0.0	1660000.0	382883.79438153293	10.4	4.029888335921977	43.0	6.6932802122726045	0.0	0.0	52	10.4	4	15	4.029888335921977	0	0.0	0	0	0.0	215	43.0	38	56	6.6932802122726045	14	0	67
10800	992000.0	256000.0	714000.0	541132.1465224553	0.0	0.0	1706000.0	735624.9044180057	13.8	2.993325909419153	55.4	6.499230723708768	0.0	0.0	69	13.8	8	16	2.993325909419153	0	0.0	0	0	0.0	277	55.4	50	68	6.499230723708768	17	0	62
14400	1040000.0	354175.0979388585	420000.0	325330.601081423	0.0	0.0	1460000.0	494691.8232596937	15.8	3.919183588453085	68.4	6.945502141674135	0.0	0.0	79	15.8	9	21	3.919183588453085	0	0.0	0	0	0.0	342	68.4	61	81	6.945502141674135	10	0	65
18000	944000.0	211054.4953323667	630000.0	230043.47415216977	0.0	0.0	1574000.0	380136.81747497176	18.8	4.261455150532504	80.2	7.025667228100119	0.0	0.0	94	18.8	11	23	4.261455150532504	0	0.0	0	0	0.0	401	80.2	75	94	7.025667228100119	15	0	59
21600	1088000.0	212263.9865827456	504000.0	214158.81957089697	2860000.0	1243543.324536785	4452000.0	1276203.7454889403	21.2	4.354308211415448	93.8	9.108238029388561	28.6	12.435433245367852	106	21.2	14	27	4.354308211415448	143	28.6	9	44	12.435433245367852	469	93.8	85	111	9.108238029388561	12	143	68
25200	976000.0	292410.67011995305	420000.0	265631.3234541439	2460000.0	1091054.5357588686	3856000.0	963277.737726768	23.2	3.9698866482558417	106.0	9.011104260855047	53.2	4.4	116	23.2	18	29	3.9698866482558417	266	53.2	49	61	4.4	530	106.0	97	122	9.011104260855047	10	123	61
28800	1088000.0	206145.579627602	840000.0	351397.2111443117	700000.0	126491.10640673517	2628000.0	650396.8019601572	27.2	3.709447398198282	119.6	11.16422858956229	60.2	5.418486873657627	136	27.2	22	33	3.709447398198282	301	60.2	54	69	5.418486873657627	598	119.6	107	138	11.16422858956229	20	35	68
32400	912000.0	297617.2038038124	630000.0	440499.71623146365	540000.0	185472.36990991406	2082000.0	917287.3050467885	30.2	3.370459909270543	131.0	10.353743284435827	65.6	5.083306010855534	151	30.2	24	34	3.370459909270543	328	65.6	60	73	5.083306010855534	655	131.0	120	146	10.353743284435827	15	27	57
36000	976000.0	269636.7927416435	378000.0	569715.7185825225	620000.0	172046.50534085254	1974000.0	952252.067469533	32.0	4.857983120596447	143.2	9.410632284814874	71.8	4.833218389437829	160	32.0	24	39	4.857983120596447	359	71.8	66	80	4.833218389437829	716	143.2	132	159	9.410632284814874	9	31	61
39600	1120000.0	151789.3276880822	882000.0	361297.6612157903	700000.0	89442.71909999159	2702000.0	422819.1102587488	36.2	5.418486873657627	157.2	10.342146779078316	78.8	5.035871324805669	181	36.2	27	43	5.418486873657627	394	78.8	74	88	5.035871324805669	786	157.2	147	176	10.342146779078316	21	35	70
43200	1008000.0	322391.06687375816	588000.0	384936.35837629053	760000.0	265329.983228432	2356000.0	882759.3103445582	39.0	4.242640687119285	169.8	12.702755606560334	86.4	5.6780278266313555	195	39.0	33	44	4.242640687119285	432	86.4	80	96	5.6780278266313555	849	169.8	159	191	12.702755606560334	14	38	63
46800	992000.0	108517.27973000429	672000.0	361297.6612157903	3320000.0	884081.4442120137	4984000.0	1294057.1857533962	42.2	4.621688003316537	182.2	13.673331708109767	119.6	13.32066064427737	211	42.2	35	48	4.621688003316537	598	119.6	105	143	13.32066064427737	911	182.2	170	205	13.673331708109767	16	166	62
50400	1168000.0	193328.73557751314	756000.0	214158.81957089697	3020000.0	711055.5533852471	4944000.0	671672.5392629954	45.8	4.308131845707604	196.8	15.276125163142648	149.8	13.407460609675494	229	45.8	40	52	4.308131845707604	749	149.8	139	175	13.407460609675494	984	196.8	182	220	15.276125163142648	18	151	73
54000	848000.0	337899.393311086	588000.0	278596.48238985357	1640000.0	1168931.1356961967	3076000.0	1368876.9119245163	48.6	4.2708313008125245	207.4	19.147845831842286	166.2	15.58717421471897	243	48.6	43	55	4.2708313008125245	831	166.2	151	190	15.58717421471897	1037	207.4	188	237	19.147845831842286	14	82	53
57600	1008000.0	119733.03637676612	630000.0	296984.84809834993	1040000.0	215406.59228538017	2678000.0	349250.62634160015	51.6	3.6110940170535577	220.0	20.396078054371138	176.6	13.484806264830057	258	51.6	48	58	3.6110940170535577	883	176.6	163	197	13.484806264830057	1100	220.0	198	251	20.396078054371138	15	52	63
61200	1072000.0	164730.08225579202	714000.0	214158.81957089697	1540000.0	224499.4432064365	3326000.0	516550.09437614086	55.0	4.1952353926806065	233.4	22.303362975121036	192.0	15.270887335056859	275	55.0	51	63	4.1952353926806065	960	192.0	178	216	15.270887335056859	1167	233.4	208	267	22.303362975121036	17	77	67
64800	864000.0	217034.55946000858	840000.0	187829.71010998235	1060000.0	257681.97453450251	2764000.0	458327.3939009101	59.0	4.8166378315169185	244.2	22.175662335091594	202.6	17.715529910222838	295	59.0	54	68	4.8166378315169185	1013	202.6	186	230	17.715529910222838	1221	244.2	219	276	22.175662335091594	20	53	54
68400	960000.0	463724.05587806203	756000.0	541132.1465224553	1480000.0	324961.5361854384	3196000.0	1018559.7675148965	62.6	7.172168430816444	256.2	23.99499947905813	217.4	19.90577805562998	313	62.6	56	76	7.172168430816444	1087	217.4	199	245	19.90577805562998	1281	256.2	232	295	23.99499947905813	18	74	60
72000	1152000.0	380652.0721078502	714000.0	341209.61299471033	4620000.0	849470.4232638121	6486000.0	829230.969030945	66.0	7.3484692283495345	270.6	27.096863287103915	263.6	23.165491576912416	330	66.0	58	79	7.3484692283495345	1318	263.6	241	305	23.165491576912416	1353	270.6	242	310	27.096863287103915	17	231	72
75600	1088000.0	229643.2015105172	840000.0	265631.3234541439	3080000.0	292574.77676655585	5008000.0	238361.0706470333	70.0	8.024961059095553	284.2	27.014070407844873	294.4	22.974768769239006	350	70.0	60	84	8.024961059095553	1472	294.4	275	337	22.974768769239006	1421	284.2	254	321	27.014070407844873	20	154	68
79200	1088000.0	301887.39622581133	546000.0	102878.56919689348	2520000.0	1227028.9320142374	4154000.0	1394512.101059005	72.6	8.284926070883193	297.8	30.15559649550975	319.6	28.555910071296974	363	72.6	62	87	8.284926070883193	1598	319.6	291	360	28.555910071296974	1489	297.8	261	338	30.15559649550975	13	126	68
82800	976000.0	146642.42223858688	504000.0	102878.56919689348	1680000.0	426145.5150532503	3160000.0	554869.3539924511	75.0	8.532291603080617	310.0	30.899838187278586	336.4	29.64186228967404	375	75.0	64	90	8.532291603080617	1682	336.4	303	382	29.64186228967404	1550	310.0	273	352	30.899838187278586	12	84	61
86400	1200000.0	208614.47696648477	798000.0	384936.35837629053	2120000.0	324961.5361854384	4118000.0	588774.9994692369	78.8	8.133879763065103	325.0	30.633315197673266	357.6	30.761014287568607	394	78.8	68	92	8.133879763065103	1788	357.6	327	405	30.761014287568607	1625	325.0	286	365	30.633315197673266	19	106	75
90000	880000.0	151789.3276880822	924000.0	214158.81957089697	1880000.0	495580.46773455467	3684000.0	525455.9924484638	83.2	7.386474125047755	336.0	29.785902705810344	376.4	33.844349602260046	416	83.2	73	95	7.386474125047755	1882	376.4	337	429	33.844349602260046	1680	336.0	299	375	29.785902705810344	22	94	55
93600	880000.0	182428.06801586208	588000.0	361297.6612157903	2200000.0	663324.9580710799	3668000.0	806706.8860496978	86.0	8.318653737234168	347.0	31.17049887313323	398.4	39.91290518115663	430	86.0	75	98	8.318653737234168	1992	398.4	354	458	39.91290518115663	1735	347.0	309	387	31.17049887313323	14	110	55
97200	1056000.0	155125.7554373225	924000.0	284857.85929126124	5480000.0	808455.3172563094	7460000.0	1007591.1869404179	90.4	8.662563131083086	360.2	32.22049037491515	453.2	42.47069577956076	452	90.4	81	104	8.662563131083086	2266	453.2	403	524	42.47069577956076	1801	360.2	323	403	32.22049037491515	22	274	66
100800	1216000.0	170833.25203250098	714000.0	284857.85929126124	3280000.0	1000799.6802557443	5210000.0	1321620.2177630304	93.8	8.611620056644394	375.4	30.59803915286076	486.0	37.239763694201926	469	93.8	86	107	8.611620056644394	2430	486.0	447	554	37.239763694201926	1877	375.4	338	415	30.59803915286076	17	164	76
104400	1024000.0	296755.79185586254	672000.0	361297.6612157903	3220000.0	1763405.7956125697	4916000.0	1837526.598446945	97.0	9.715966241192895	388.2	30.478845122477985	518.2	44.17420061529128	485	97.0	86	111	9.715966241192895	2591	518.2	466	580	44.17420061529128	1941	388.2	347	428	30.478845122477985	16	161	64
108000	1184000.0	137637.20427268202	588000.0	428317.63914179394	2620000.0	735934.779718964	4392000.0	1230811.1146719467	99.8	10.647065323364933	403.0	31.304951684997057	544.4	44.603138902996506	499	99.8	90	116	10.647065323364933	2722	544.4	495	616	44.603138902996506	2015	403.0	362	446	31.304951684997057	14	131	74
111600	1328000.0	403504.6468133917	1134000.0	389491.9768108196	2860000.0	793977.3296511683	5322000.0	1086929.6205366747	105.2	9.579144011862438	419.6	30.176812290233705	573.0	40.855844135202986	526	105.2	94	119	9.579144011862438	2865	573.0	523	630	40.855844135202986	2098	419.6	380	465	30.176812290233705	27	143	83
