time	gasCreateUserMean(2)	gasCreateUserStd(3)	gasTotalMean(4)	gasTotalStd(5)	createUserMean(6)	createUserStd(7)	totProposal(8)	avgProposal(9)	minProposal(10)	maxProposal(11)	stdProposal(12)	totVote(13)	avgVote(14)	minVote(15)	maxVote(16)	stdVote(17)	totUser(18)	avgUser(19)	minUser(20)	maxUser(21)	stdUser(22)	totAggrProposal(23)	totAggrVote(24)	totAggrUser(25)
0	2.5552E7	1519241.91622006	2.5552E7	1519241.91622006	319.4	18.990523952750753	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1597	319.4	298	352	18.990523952750753	0	0	1597
3600	5.4704E7	2869491.9410934052	5.4704E7	2869491.9410934052	1003.2	34.66064050187186	0	0.0	0	0	0.0	0	0.0	0	0	0.0	5016	1003.2	967	1064	34.66064050187186	0	0	3419
7200	5.1424E7	1038645.2714955189	5.1424E7	1038645.2714955189	1646.0	41.871231173682965	0	0.0	0	0	0.0	0	0.0	0	0	0.0	8230	1646.0	1591	1714	41.871231173682965	0	0	3214
10800	4.16E7	1204790.4382090687	4.16E7	1204790.4382090687	2166.0	34.420923869065454	0	0.0	0	0	0.0	0	0.0	0	0	0.0	10830	2166.0	2117	2225	34.420923869065454	0	0	2600
14400	3.3856E7	333322.66649599455	3.3856E7	333322.66649599455	2589.2	31.971237073344536	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12946	2589.2	2546	2645	31.971237073344536	0	0	2116
18000	2.7008E7	1165476.726494356	2.7008E7	1165476.726494356	2926.8	38.248660107250814	0	0.0	0	0	0.0	0	0.0	0	0	0.0	14634	2926.8	2880	2992	38.248660107250814	0	0	1688
21600	2.1728E7	1559158.7475302187	2.1728E7	1559158.7475302187	3198.4	52.29378548164208	0	0.0	0	0	0.0	0	0.0	0	0	0.0	15992	3198.4	3144	3297	52.29378548164208	0	0	1358
25200	1.7136E7	1520757.7058821698	1.7136E7	1520757.7058821698	3412.6	64.05497638747515	0	0.0	0	0	0.0	0	0.0	0	0	0.0	17063	3412.6	3357	3528	64.05497638747515	0	0	1071
28800	1.4608E7	698524.1584941783	1.4608E7	698524.1584941783	3595.2	67.67687936067975	0	0.0	0	0	0.0	0	0.0	0	0	0.0	17976	3595.2	3525	3718	67.67687936067975	0	0	913
32400	1.1712E7	397109.5566717074	1.1712E7	397109.5566717074	3741.6	66.36444831383743	0	0.0	0	0	0.0	0	0.0	0	0	0.0	18708	3741.6	3675	3865	66.36444831383743	0	0	732
36000	1.056E7	493153.1202375181	1.056E7	493153.1202375181	3873.6	61.594155566904234	0	0.0	0	0	0.0	0	0.0	0	0	0.0	19368	3873.6	3807	3986	61.594155566904234	0	0	660
39600	8640000.0	804785.6857573946	8640000.0	804785.6857573946	3981.6	68.59329413288152	0	0.0	0	0	0.0	0	0.0	0	0	0.0	19908	3981.6	3919	4109	68.59329413288152	0	0	540
43200	7264000.0	524351.027461566	7264000.0	524351.027461566	4072.4	63.177844217731895	0	0.0	0	0	0.0	0	0.0	0	0	0.0	20362	4072.4	4011	4190	63.177844217731895	0	0	454
46800	6016000.0	456490.96376598737	6016000.0	456490.96376598737	4147.6	66.38554059431918	0	0.0	0	0	0.0	0	0.0	0	0	0.0	20738	4147.6	4091	4273	66.38554059431918	0	0	376
50400	4736000.0	818036.6739945099	4736000.0	818036.6739945099	4206.8	73.60000000000001	0	0.0	0	0	0.0	0	0.0	0	0	0.0	21034	4206.8	4140	4343	73.60000000000001	0	0	296
54000	4592000.0	301887.39622581133	4592000.0	301887.39622581133	4264.2	70.80508456318655	0	0.0	0	0	0.0	0	0.0	0	0	0.0	21321	4264.2	4202	4395	70.80508456318655	0	0	287
57600	4112000.0	380652.0721078502	4112000.0	380652.0721078502	4315.6	68.79127851697481	0	0.0	0	0	0.0	0	0.0	0	0	0.0	21578	4315.6	4258	4444	68.79127851697481	0	0	257
61200	3344000.0	376595.27347007423	3344000.0	376595.27347007423	4357.4	65.00030769157944	0	0.0	0	0	0.0	0	0.0	0	0	0.0	21787	4357.4	4299	4478	65.00030769157944	0	0	209
