time	gasCreateUserMean(2)	gasCreateUserStd(3)	gasCreateProposalMean(4)	gasCreateProposalStd(5)	gasVoteMean(6)	gasVoteStd(7)	gasTotalMean(8)	gasTotalStd(9)	createProposalMean(10)	createProposalStd(11)	createUserMean(12)	createUserStd(13)	voteMean(14)	voteStd(15)	totProposal(16)	avgProposal(17)	minProposal(18)	maxProposal(19)	stdProposal(20)	totVote(21)	avgVote(22)	minVote(23)	maxVote(24)	stdVote(25)	totUser(26)	avgUser(27)	minUser(28)	maxUser(29)	stdUser(30)	totAggrProposal(31)	totAggrVote(32)	totAggrUser(33)
0	1520000.0	71554.17527999327	84000.0	102878.56919689348	0.0	0.0	1604000.0	170716.1386629864	0.4	0.48989794855663565	19.0	0.8944271909999159	0.0	0.0	2	0.4	0	1	0.48989794855663565	0	0.0	0	0	0.0	95	19.0	18	20	0.8944271909999159	2	0	95
3600	1472000.0	297617.2038038124	252000.0	157149.61024450554	0.0	0.0	1724000.0	322279.38190334174	1.6	1.2	37.4	4.079215610874227	0.0	0.0	8	1.6	0	3	1.2	0	0.0	0	0	0.0	187	37.4	30	42	4.079215610874227	6	0	92
7200	1616000.0	137637.20427268202	378000.0	157149.61024450554	0.0	0.0	1994000.0	241710.57072457546	3.4	1.3564659966250538	57.6	4.63033476111609	0.0	0.0	17	3.4	1	5	1.3564659966250538	0	0.0	0	0	0.0	288	57.6	50	63	4.63033476111609	9	0	101
10800	1840000.0	544940.3637096449	168000.0	84000.0	0.0	0.0	2008000.0	586801.4996572521	4.2	1.469693845669907	80.6	6.343500610861483	0.0	0.0	21	4.2	2	6	1.469693845669907	0	0.0	0	0	0.0	403	80.6	72	91	6.343500610861483	4	0	115
14400	1472000.0	270584.5524046042	42000.0	84000.0	0.0	0.0	1514000.0	323208.91076825216	4.4	1.624807680927192	99.0	6.131883886702357	0.0	0.0	22	4.4	2	6	1.624807680927192	0	0.0	0	0	0.0	495	99.0	94	111	6.131883886702357	1	0	92
18000	2160000.0	262906.8276024797	126000.0	102878.56919689348	0.0	0.0	2286000.0	305195.01961860387	5.0	1.6733200530681511	126.0	9.143303560529969	0.0	0.0	25	5.0	3	7	1.6733200530681511	0	0.0	0	0	0.0	630	126.0	119	144	9.143303560529969	3	0	135
21600	1744000.0	415384.1595439094	126000.0	102878.56919689348	620000.0	790948.7973314075	2490000.0	905162.9687520363	5.6	1.7435595774162693	147.8	8.588364221433554	6.2	7.909487973314076	28	5.6	3	7	1.7435595774162693	31	6.2	0	19	7.909487973314076	739	147.8	138	163	8.588364221433554	3	31	109
25200	1520000.0	303578.6553761644	126000.0	168000.0	2740000.0	3157594.020769611	4386000.0	3381914.250834873	6.2	2.3151673805580453	166.8	11.356055653262711	33.6	39.184690888151714	31	6.2	3	9	2.3151673805580453	168	33.6	0	84	39.184690888151714	834	166.8	157	188	11.356055653262711	3	137	95
28800	1664000.0	239466.07275353224	126000.0	102878.56919689348	3860000.0	3586976.44263243	5650000.0	3624577.2167247315	6.8	2.1354156504062622	187.6	10.248902380255165	72.2	32.8292552458931	34	6.8	4	10	2.1354156504062622	361	72.2	7	94	32.8292552458931	938	187.6	175	205	10.248902380255165	3	193	104
32400	1584000.0	163168.62443496913	84000.0	102878.56919689348	3180000.0	3686407.465270219	4848000.0	3605625.6045241305	7.2	2.4819347291981715	207.4	9.350935782048769	104.0	4.604345773288535	36	7.2	4	11	2.4819347291981715	520	104.0	99	112	4.604345773288535	1037	207.4	198	224	9.350935782048769	2	159	99
36000	1728000.0	412911.61281804607	126000.0	102878.56919689348	1080000.0	248193.47291981714	2934000.0	661410.6137642486	7.8	2.4819347291981715	229.0	7.874007874011811	114.8	3.7094473981982814	39	7.8	4	11	2.4819347291981715	574	114.8	110	120	3.7094473981982814	1145	229.0	219	240	7.874007874011811	3	54	108
39600	1712000.0	478932.1455070645	210000.0	187829.71010998235	1080000.0	299332.5909419153	3002000.0	914820.2009138189	8.8	2.227105745132009	250.4	10.762899237658969	125.6	5.276362383309168	44	8.8	5	11	2.227105745132009	628	125.6	117	131	5.276362383309168	1252	250.4	233	262	10.762899237658969	5	54	107
43200	1824000.0	329460.16451158404	252000.0	205757.13839378697	1120000.0	231516.7380558045	3196000.0	619470.74184339	10.0	2.1908902300206643	273.2	12.512393855693642	136.8	6.49307323229917	50	10.0	7	13	2.1908902300206643	684	136.8	129	145	6.49307323229917	1366	273.2	258	289	12.512393855693642	6	56	114
46800	1632000.0	387318.98998112656	126000.0	102878.56919689348	1760000.0	1488086.019019062	3518000.0	1637625.1097244448	10.6	2.1540659228538015	293.6	16.487571076419957	154.4	15.793669617919706	53	10.6	8	13	2.1540659228538015	772	154.4	136	181	15.793669617919706	1468	293.6	272	317	16.487571076419957	3	88	102
50400	1376000.0	254998.03920814765	126000.0	102878.56919689348	2420000.0	2992924.9907072512	3922000.0	2892067.772373255	11.2	2.3151673805580453	310.8	14.3024473430249	178.6	34.05055065634035	56	11.2	8	14	2.3151673805580453	893	178.6	145	239	34.05055065634035	1554	310.8	290	331	14.3024473430249	3	121	86
