time	gasCreateUserMean(2)	gasCreateUserStd(3)	gasTotalMean(4)	gasTotalStd(5)	createUserMean(6)	createUserStd(7)	totProposal(8)	avgProposal(9)	minProposal(10)	maxProposal(11)	stdProposal(12)	totVote(13)	avgVote(14)	minVote(15)	maxVote(16)	stdVote(17)	totUser(18)	avgUser(19)	minUser(20)	maxUser(21)	stdUser(22)	totAggrProposal(23)	totAggrVote(24)	totAggrUser(25)
0	1040000.0	220544.78003344356	1040000.0	220544.78003344356	13.0	2.756809750418044	0	0.0	0	0	0.0	0	0.0	0	0	0.0	65	13.0	8	16	2.756809750418044	0	0	65
3600	944000.0	211054.4953323667	944000.0	211054.4953323667	24.8	4.534313619501853	0	0.0	0	0	0.0	0	0.0	0	0	0.0	124	24.8	16	29	4.534313619501853	0	0	59
7200	880000.0	182428.06801586208	880000.0	182428.06801586208	35.8	6.144916598294887	0	0.0	0	0	0.0	0	0.0	0	0	0.0	179	35.8	25	44	6.144916598294887	0	0	55
10800	1136000.0	313534.6870762468	1136000.0	313534.6870762468	50.0	5.215361924162119	0	0.0	0	0	0.0	0	0.0	0	0	0.0	250	50.0	46	60	5.215361924162119	0	0	71
14400	1152000.0	393873.0760029175	1152000.0	393873.0760029175	64.4	9.00222194794152	0	0.0	0	0	0.0	0	0.0	0	0	0.0	322	64.4	57	82	9.00222194794152	0	0	72
18000	1136000.0	359199.10913029837	1136000.0	359199.10913029837	78.6	7.49933330370107	0	0.0	0	0	0.0	0	0.0	0	0	0.0	393	78.6	68	91	7.49933330370107	0	0	71
21600	1232000.0	314350.123270216	1232000.0	314350.123270216	94.0	9.444575162494075	0	0.0	0	0	0.0	0	0.0	0	0	0.0	470	94.0	79	106	9.444575162494075	0	0	77
25200	1168000.0	250950.19426172995	1168000.0	250950.19426172995	108.6	11.637869220780924	0	0.0	0	0	0.0	0	0.0	0	0	0.0	543	108.6	90	125	11.637869220780924	0	0	73
28800	1200000.0	295025.4226333724	1200000.0	295025.4226333724	123.6	13.499629624548964	0	0.0	0	0	0.0	0	0.0	0	0	0.0	618	123.6	102	139	13.499629624548964	0	0	75
32400	1088000.0	172325.27382830414	1088000.0	172325.27382830414	137.2	12.023310692151309	0	0.0	0	0	0.0	0	0.0	0	0	0.0	686	137.2	117	150	12.023310692151309	0	0	68
36000	864000.0	359199.10913029837	864000.0	359199.10913029837	148.0	16.112107248898266	0	0.0	0	0	0.0	0	0.0	0	0	0.0	740	148.0	120	167	16.112107248898266	0	0	54
39600	1120000.0	71554.17527999327	1120000.0	71554.17527999327	162.0	16.29723902997069	0	0.0	0	0	0.0	0	0.0	0	0	0.0	810	162.0	133	181	16.29723902997069	0	0	70
43200	1072000.0	284422.2213540988	1072000.0	284422.2213540988	175.4	16.644518617250544	0	0.0	0	0	0.0	0	0.0	0	0	0.0	877	175.4	149	199	16.644518617250544	0	0	67
46800	1200000.0	226274.1699796952	1200000.0	226274.1699796952	190.4	18.336848147923348	0	0.0	0	0	0.0	0	0.0	0	0	0.0	952	190.4	162	216	18.336848147923348	0	0	75
50400	1296000.0	278969.5323866031	1296000.0	278969.5323866031	206.6	15.602563891873668	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1033	206.6	181	228	15.602563891873668	0	0	81
54000	1248000.0	260952.10288480145	1248000.0	260952.10288480145	222.2	14.019985734657507	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1111	222.2	197	238	14.019985734657507	0	0	78
57600	1056000.0	137637.20427268202	1056000.0	137637.20427268202	235.4	15.014659503298768	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1177	235.4	208	250	15.014659503298768	0	0	66
61200	1248000.0	275274.40854536404	1248000.0	275274.40854536404	251.0	16.14930339054908	0	0.0	0	0	0.0	0	0.0	0	0	0.0	1255	251.0	224	272	16.14930339054908	0	0	78
