time	gasCreateUserMean(2)	gasCreateUserStd(3)	gasCreateProposalMean(4)	gasCreateProposalStd(5)	gasVoteMean(6)	gasVoteStd(7)	gasTotalMean(8)	gasTotalStd(9)	createProposalMean(10)	createProposalStd(11)	createUserMean(12)	createUserStd(13)	voteMean(14)	voteStd(15)	totProposal(16)	avgProposal(17)	minProposal(18)	maxProposal(19)	stdProposal(20)	totVote(21)	avgVote(22)	minVote(23)	maxVote(24)	stdVote(25)	totUser(26)	avgUser(27)	minUser(28)	maxUser(29)	stdUser(30)	totAggrProposal(31)	totAggrVote(32)	totAggrUser(33)
0	92818.2	2371.7663797263	15555.4	5443.2561064127785	0.0	0.0	108373.6	5794.566095921246	1.4	0.4898979485566356	836.2	21.36726468221892	0.0	0.0	7	1.4	1	2	0.4898979485566356	0	0.0	0	0	0.0	4181	836.2	811	873	21.36726468221892	7	0	4181
3600	16161.6	572.914862785039	6666.6	8888.8	0.0	0.0	22828.2	8967.960713562477	2.0	0.8944271909999159	981.8	21.2075458268985	0.0	0.0	10	2.0	1	3	0.8944271909999159	0	0.0	0	0	0.0	4909	981.8	956	1013	21.2075458268985	3	0	728
7200	4573.2	309.2102197534875	2222.2	4444.4	0.0	0.0	6795.4	4331.625542449393	2.2	0.7483314773547882	1023.0	19.411336893681487	0.0	0.0	11	2.2	1	3	0.7483314773547882	0	0.0	0	0	0.0	5115	1023.0	998	1052	19.411336893681487	1	0	206
10800	1642.8	572.0539834665956	17777.6	15071.693688500969	0.0	0.0	19420.4	15157.589090617279	3.8	1.32664991614216	1037.8	18.69117438792972	0.0	0.0	19	3.8	2	6	1.32664991614216	0	0.0	0	0	0.0	5189	1037.8	1022	1067	18.69117438792972	8	0	74
14400	666.0	171.9604605716093	2222.2	4444.4	0.0	0.0	2888.2	4447.725459153251	4.0	1.4142135623730951	1043.8	19.8030300711785	0.0	0.0	20	4.0	2	6	1.4142135623730951	0	0.0	0	0	0.0	5219	1043.8	1027	1076	19.8030300711785	1	0	30
18000	288.6	166.129587972763	6666.6	8888.800000000001	0.0	0.0	6955.2	8951.183550793716	4.6	1.4966629547095764	1046.4	18.72538384119268	0.0	0.0	23	4.6	2	6	1.4966629547095764	0	0.0	0	0	0.0	5232	1046.4	1029	1076	18.72538384119268	3	0	13
21600	288.6	88.8	11111.0	9937.980519200066	48.6	44.47291310449542	11448.2	9950.218297102832	5.6	2.0591260281974	1049.0	18.24280680158621	16.2	14.824304368165137	28	5.6	2	8	2.0591260281974	81	16.2	0	35	14.824304368165137	5245	1049.0	1032	1078	18.24280680158621	5	81	13
25200	133.2	129.44713206556565	8888.8	8314.711044889053	417.6	140.063699794058	9439.6	8327.416468509306	6.4	2.33238075793812	1050.2	17.747112441183212	155.4	60.7242949732642	32	6.4	3	9	2.33238075793812	777	155.4	67	221	60.7242949732642	5251	1050.2	1035	1079	17.747112441183212	4	696	6
28800	0.0	0.0	0.0	0.0	857.4	87.43134449383699	857.4	87.43134449383699	6.4	2.33238075793812	1050.2	17.747112441183212	441.2	88.36153009087155	32	6.4	3	9	2.33238075793812	2206	441.2	307	540	88.36153009087155	5251	1050.2	1035	1079	17.747112441183212	0	1429	0
32400	111.0	70.20256405573802	11111.0	7027.213416426172	254.4	248.37681051177063	11476.4	7041.776866672219	7.4	2.244994432064365	1051.2	17.93766985982293	526.0	9.055385138137417	37	7.4	5	10	2.244994432064365	2630	526.0	518	541	9.055385138137417	5256	1051.2	1036	1081	17.93766985982293	5	424	5
36000	22.2	44.4	8888.8	8314.711044889053	0.0	0.0	8911.0	8320.760590234524	8.2	1.8330302779823362	1051.4	18.07318455613177	526.0	9.055385138137417	41	8.2	6	10	1.8330302779823362	2630	526.0	518	541	9.055385138137417	5257	1051.4	1036	1081	18.07318455613177	4	0	1
39600	22.2	44.4	8888.8	8314.711044889053	0.0	0.0	8911.0	8320.760590234524	9.0	1.7888543819998317	1051.6	17.939899665271266	526.0	9.055385138137417	45	9.0	6	11	1.7888543819998317	2630	526.0	518	541	9.055385138137417	5258	1051.6	1036	1081	17.939899665271266	4	0	1
43200	44.4	54.37867228978655	6666.6	8888.8	0.6	1.2000000000000002	6711.6	8939.07871315607	9.6	1.3564659966250536	1052.0	18.40652058374966	526.2	9.19565114605812	48	9.6	7	11	1.3564659966250536	2631	526.2	518	541	9.19565114605812	5260	1052.0	1036	1082	18.40652058374966	3	1	2
46800	0.0	0.0	6666.6	13333.199999999999	22.2	24.854778212649574	6688.8	13322.118561249934	10.2	0.39999999999999997	1052.0	18.40652058374966	533.6	14.291256067959877	51	10.2	10	11	0.39999999999999997	2668	533.6	520	559	14.291256067959877	5260	1052.0	1036	1082	18.40652058374966	3	37	0
50400	22.2	44.4	13333.2	4444.4	99.0	110.92700302451158	13454.4	4520.061751790567	11.4	0.48989794855663565	1052.2	18.733926443754388	566.6	38.73809494541516	57	11.4	11	12	0.48989794855663565	2833	566.6	533	616	38.73809494541516	5261	1052.2	1036	1083	18.733926443754388	6	165	1
54000	22.2	44.4	15555.4	16629.422089778105	29.4	35.96998748957247	15607.0	16668.969938181544	12.8	1.9390719429665315	1052.4	18.607525359380812	576.4	45.954760362774174	64	12.8	11	16	1.9390719429665315	2882	576.4	533	645	45.954760362774174	5262	1052.4	1036	1083	18.607525359380812	7	49	1
57600	0.0	0.0	11111.0	14054.426832852345	309.0	172.95201646699584	11420.0	13921.57307203464	13.8	2.315167380558045	1052.4	18.607525359380812	679.4	89.96354817369088	69	13.8	11	17	2.315167380558045	3397	679.4	548	830	89.96354817369088	5262	1052.4	1036	1083	18.607525359380812	5	515	0
61200	0.0	0.0	2222.2	4444.4	777.0	199.38605768709107	2999.2	4537.889174495119	14.0	2.5298221281347035	1052.4	18.607525359380812	938.4	147.23532184907262	70	14.0	11	17	2.5298221281347035	4692	938.4	692	1149	147.23532184907262	5262	1052.4	1036	1083	18.607525359380812	1	1295	0
64800	22.2	44.4	15555.4	15071.693688500969	785.4	388.00752570021115	16363.0	15336.97948097995	15.4	2.870540018881465	1052.6	18.937792902025304	1200.2	206.4823479138108	77	15.4	12	20	2.870540018881465	6001	1200.2	1027	1510	206.4823479138108	5263	1052.6	1036	1084	18.937792902025304	7	1309	1
68400	0.0	0.0	4444.4	8888.8	224.4	198.5936554877824	4668.8	8951.100164784215	15.8	3.54400902933387	1052.6	18.937792902025304	1275.0	260.1161279121308	79	15.8	12	22	3.54400902933387	6375	1275.0	1036	1625	260.1161279121308	5263	1052.6	1036	1084	18.937792902025304	2	374	0
72000	0.0	0.0	17777.6	11331.041163105887	175.8	273.0468091738119	17953.4	11369.097318608896	17.4	4.31740662898458	1052.6	18.937792902025304	1333.6	235.93100686429497	87	17.4	12	25	4.31740662898458	6668	1333.6	1036	1625	235.93100686429497	5263	1052.6	1036	1084	18.937792902025304	8	293	0
75600	0.0	0.0	15555.4	16629.422089778105	346.8	270.3371228669862	15902.2	16737.823208529837	18.8	4.445222154178573	1052.6	18.937792902025304	1449.2	219.26732542720544	94	18.8	12	26	4.445222154178573	7246	1449.2	1094	1682	219.26732542720544	5263	1052.6	1036	1084	18.937792902025304	7	578	0
79200	0.0	0.0	6666.6	8888.800000000001	355.2	408.2849005290301	7021.8	8984.511481432923	19.4	4.223742416388575	1052.6	18.937792902025304	1567.6	137.50287269726405	97	19.4	14	27	4.223742416388575	7838	1567.6	1311	1719	137.50287269726405	5263	1052.6	1036	1084	18.937792902025304	3	592	0
82800	22.2	44.4	11111.0	7027.213416426172	207.6	303.6818071600602	11340.8	6953.189869405264	20.4	4.317406628984581	1052.8	19.072493282211425	1636.8	68.62186240550457	102	20.4	15	28	4.317406628984581	8184	1636.8	1572	1721	68.62186240550457	5264	1052.8	1036	1084	19.072493282211425	5	346	1
86400	0.0	0.0	2222.2	4444.4	94.2	110.75811482686044	2316.4	4398.442478878177	20.6	4.31740662898458	1052.8	19.072493282211425	1668.2	86.89625998856337	103	20.6	15	28	4.31740662898458	8341	1668.2	1582	1813	86.89625998856337	5264	1052.8	1036	1084	19.072493282211425	1	157	0
