time	gasCreateUserMean(2)	gasCreateUserStd(3)	gasCreateProposalMean(4)	gasCreateProposalStd(5)	gasTotalMean(6)	gasTotalStd(7)	createProposalMean(8)	createProposalStd(9)	createUserMean(10)	createUserStd(11)	totProposal(12)	avgProposal(13)	minProposal(14)	maxProposal(15)	stdProposal(16)	totVote(17)	avgVote(18)	minVote(19)	maxVote(20)	stdVote(21)	totUser(22)	avgUser(23)	minUser(24)	maxUser(25)	stdUser(26)	totAggrProposal(27)	totAggrVote(28)	totAggrUser(29)
0	888.0	156.97770542341354	26666.4	11331.041163105885	27554.4	11440.444827016125	2.4	1.019803902718557	8.0	1.4142135623730951	12	2.4	1	4	1.019803902718557	0	0.0	0	0	0.0	40	8.0	6	10	1.4142135623730951	12	0	40
3600	1221.0	403.2830271657859	39999.6	11331.041163105887	41220.6	11617.590121879839	6.0	1.6733200530681511	19.0	4.242640687119285	30	6.0	4	8	1.6733200530681511	0	0.0	0	0	0.0	95	19.0	11	23	4.242640687119285	18	0	55
7200	710.4	258.8942641311313	28888.6	13333.199999999999	29599.0	13570.403531214539	8.6	1.9595917942265424	25.4	6.151422599691879	43	8.6	6	12	1.9595917942265424	0	0.0	0	0	0.0	127	25.4	15	33	6.151422599691879	13	0	32
10800	888.0	185.73852589056477	33333.0	17213.087183884243	34221.0	17214.089264320664	11.6	2.870540018881465	33.4	6.2801273872430325	58	11.6	8	15	2.870540018881465	0	0.0	0	0	0.0	167	33.4	22	41	6.2801273872430325	15	0	40
14400	1176.6	568.597432284037	35555.2	19116.087208422126	36731.8	19651.25667635533	14.8	4.166533331199932	44.0	10.564090116995406	74	14.8	10	21	4.166533331199932	0	0.0	0	0	0.0	220	44.0	28	61	10.564090116995406	16	0	53
18000	732.6	150.56772562538094	26666.4	8888.800000000001	27399.0	8856.717337704755	17.2	3.655133376499413	50.6	10.461357464497617	86	17.2	13	22	3.655133376499413	0	0.0	0	0	0.0	253	50.6	35	67	10.461357464497617	12	0	33
21600	1354.2	266.4	55555.0	28973.94316968265	56909.2	29178.763396689723	22.2	5.775811631277461	62.8	11.634431657799189	111	22.2	16	31	5.775811631277461	0	0.0	0	0	0.0	314	62.8	46	82	11.634431657799189	25	0	61
25200	821.4	217.5146891591462	15555.4	8888.800000000001	16376.8	9089.006687201852	23.6	5.4258639865002145	70.2	12.03993355463393	118	23.6	17	31	5.4258639865002145	0	0.0	0	0	0.0	351	70.2	53	90	12.03993355463393	7	0	37
28800	999.0	185.73852589056477	31110.8	12957.541300725226	32109.8	12996.88547922155	26.4	6.1838499334961226	79.2	12.496399481450648	132	26.4	19	35	6.1838499334961226	0	0.0	0	0	0.0	396	79.2	63	101	12.496399481450648	14	0	45
32400	1198.8	108.7573445795731	39999.6	5443.2561064127785	41198.4	5516.356645468093	30.0	6.48074069840786	90.0	13.175735273600482	150	30.0	22	39	6.48074069840786	0	0.0	0	0	0.0	450	90.0	73	113	13.175735273600482	18	0	54
36000	1154.4	150.56772562538094	39999.6	5443.2561064127785	41154.0	5570.729503395403	33.6	6.2801273872430325	100.4	13.54400236266961	168	33.6	26	42	6.2801273872430325	0	0.0	0	0	0.0	502	100.4	84	125	13.54400236266961	18	0	52
39600	1065.6	333.7391795998786	37777.4	15071.693688500969	38843.0	15283.38758260092	37.0	6.752777206453653	110.0	14.628738838327793	185	37.0	29	46	6.752777206453653	0	0.0	0	0	0.0	550	110.0	93	137	14.628738838327793	17	0	48
43200	976.8	256.983579241943	31110.8	16329.768319238334	32087.6	16449.17430876091	39.8	6.705221845696084	118.8	13.481839637082176	199	39.8	34	48	6.705221845696084	0	0.0	0	0	0.0	594	118.8	104	144	13.481839637082176	14	0	44
