time	gasCreateUserMean(2)	gasCreateUserStd(3)	gasCreateProposalMean(4)	gasCreateProposalStd(5)	gasVoteMean(6)	gasVoteStd(7)	gasTotalMean(8)	gasTotalStd(9)	createProposalMean(10)	createProposalStd(11)	createUserMean(12)	createUserStd(13)	voteMean(14)	voteStd(15)	totProposal(16)	avgProposal(17)	minProposal(18)	maxProposal(19)	stdProposal(20)	totVote(21)	avgVote(22)	minVote(23)	maxVote(24)	stdVote(25)	totUser(26)	avgUser(27)	minUser(28)	maxUser(29)	stdUser(30)	totAggrProposal(31)	totAggrVote(32)	totAggrUser(33)
0	1110.0	321.70856376540553	31110.8	12957.541300725226	33.0	16.864163187066236	32253.8	13029.603376925945	2.8	1.16619037896906	10.0	2.898275349237888	11.0	5.621387729022079	14	2.8	1	4	1.16619037896906	55	11.0	5	20	5.621387729022079	50	10.0	6	15	2.898275349237888	14	55	50
3600	999.0	70.20256405573802	37777.4	11331.041163105885	82.2	13.496666255042392	38858.6	11321.961254129075	6.2	1.9390719429665317	19.0	3.521363372331802	38.4	8.333066662399862	31	6.2	3	9	1.9390719429665317	192	38.4	26	48	8.333066662399862	95	19.0	14	25	3.521363372331802	17	137	45
7200	1154.4	180.35365258291833	51110.6	23933.82646882859	181.8	95.29616991254161	52446.8	24176.766246957013	10.8	2.9257477676655586	29.4	3.7202150475476548	99.0	35.20795364686792	54	10.8	6	15	2.9257477676655586	495	99.0	66	143	35.20795364686792	147	29.4	25	35	3.7202150475476548	23	303	52
10800	1198.8	266.4	51110.6	11331.041163105885	250.2	65.46877118138082	52559.6	11601.493621081729	15.4	2.5768197453450252	40.2	3.8157568056677826	182.4	44.18416005764962	77	15.4	12	19	2.5768197453450252	912	182.4	122	246	44.18416005764962	201	40.2	34	44	3.8157568056677826	23	417	54
14400	1021.2	301.1354512507619	39999.6	11331.041163105885	262.2	67.17856801093635	41283.0	11624.867362684186	19.0	3.1622776601683795	49.4	1.9595917942265426	269.8	45.10609714883344	95	19.0	14	23	3.1622776601683795	1349	269.8	212	328	45.10609714883344	247	49.4	47	53	1.9595917942265426	18	437	46
18000	1087.8	237.03113719509508	19999.8	12957.541300725226	159.0	102.94853082973064	21246.6	13172.548980360634	20.8	3.7629775444453557	59.2	3.0594117081556713	322.8	76.07995793899994	104	20.8	15	25	3.7629775444453557	1614	322.8	241	445	76.07995793899994	296	59.2	55	64	3.0594117081556713	9	265	49
21600	976.8	317.07942222730253	19999.8	8314.711044889054	187.8	80.33280774378548	21164.4	8628.769845116973	22.6	3.7735924528226414	68.0	3.63318042491699	385.4	76.77395391667672	113	22.6	16	26	3.7735924528226414	1927	385.4	288	518	76.77395391667672	340	68.0	62	72	3.63318042491699	9	313	44
25200	999.0	306.00588229640294	44444.0	12171.490672879801	453.0	143.79986091787433	45896.0	12499.340110581838	26.6	4.498888751680797	77.0	4.1952353926806065	536.4	121.98458919060226	133	26.6	19	32	4.498888751680797	2682	536.4	397	760	121.98458919060226	385	77.0	73	85	4.1952353926806065	20	755	45
28800	1043.4	412.9438702777897	28888.6	19372.69046467217	302.4	187.46903744352025	30234.4	19750.260115755438	29.2	3.655133376499413	86.4	6.151422599691879	637.2	73.60815172248248	146	29.2	23	32	3.655133376499413	3186	637.2	562	765	73.60815172248248	432	86.4	79	96	6.151422599691879	13	504	47
32400	1087.8	215.23698566928502	33333.0	12171.490672879801	411.6	142.42134671459894	34832.4	12373.375927369216	32.2	3.54400902933387	96.2	4.707440918375928	774.4	53.02301387133704	161	32.2	26	36	3.54400902933387	3872	774.4	707	852	53.02301387133704	481	96.2	90	104	4.707440918375928	15	686	49
