time	gasCreateUserMean(2)	gasCreateUserStd(3)	gasCreateProposalMean(4)	gasCreateProposalStd(5)	gasVoteMean(6)	gasVoteStd(7)	gasTotalMean(8)	gasTotalStd(9)	createProposalMean(10)	createProposalStd(11)	createUserMean(12)	createUserStd(13)	voteMean(14)	voteStd(15)	totProposal(16)	avgProposal(17)	minProposal(18)	maxProposal(19)	stdProposal(20)	totVote(21)	avgVote(22)	minVote(23)	maxVote(24)	stdVote(25)	totUser(26)	avgUser(27)	minUser(28)	maxUser(29)	stdUser(30)	totAggrProposal(31)	totAggrVote(32)	totAggrUser(33)
0	1110.0	232.83556429377364	28888.6	15071.69368850097	0.0	0.0	29998.6	15252.435065916525	2.6	1.3564659966250536	10.0	2.0976176963403033	0.0	0.0	13	2.6	1	4	1.3564659966250536	0	0.0	0	0	0.0	50	10.0	6	12	2.0976176963403033	13	0	50
3600	1110.0	583.1462938234281	28888.6	22878.949299301312	0.0	0.0	29998.6	23164.907058738656	5.2	0.9797958971132712	20.0	5.477225575051661	0.0	0.0	26	5.2	4	6	0.9797958971132712	0	0.0	0	0	0.0	100	20.0	13	26	5.477225575051661	13	0	50
7200	732.6	228.56298912991141	22222.0	12171.490672879801	0.0	0.0	22954.6	12314.654889196043	7.2	1.7204650534085253	26.6	5.9531504264548865	0.0	0.0	36	7.2	5	10	1.7204650534085253	0	0.0	0	0	0.0	133	26.6	19	34	5.9531504264548865	10	0	33
10800	1132.2	237.03113719509508	44444.0	15713.326891527458	0.0	0.0	45576.2	15840.18475144782	11.2	2.1354156504062622	36.8	5.455272678794342	0.0	0.0	56	11.2	8	14	2.1354156504062622	0	0.0	0	0	0.0	184	36.8	28	44	5.455272678794342	20	0	51
14400	954.6	258.8942641311313	31110.8	17777.6	0.0	0.0	32065.4	17980.897715075294	14.0	3.4641016151377544	45.4	5.642694391866354	0.0	0.0	70	14.0	9	18	3.4641016151377544	0	0.0	0	0	0.0	227	45.4	36	51	5.642694391866354	14	0	43
18000	1176.6	436.1607960374247	59999.4	35555.200000000004	0.0	0.0	61176.0	35977.17123399226	19.4	5.642694391866353	56.0	7.771743691090179	0.0	0.0	97	19.4	12	26	5.642694391866353	0	0.0	0	0	0.0	280	56.0	45	65	7.771743691090179	27	0	53
21600	1087.8	380.6507060285059	44444.0	24342.981345759603	99.6	11.447270417003349	45631.4	24702.618311426017	23.4	5.462600113499065	65.8	7.19444229944198	33.2	3.815756805667783	117	23.4	17	32	5.462600113499065	166	33.2	29	39	3.815756805667783	329	65.8	58	77	7.19444229944198	20	166	49
25200	1110.0	280.8102562229521	44444.0	17213.087183884243	14.4	2.939387691339814	45568.4	17359.650014905255	27.4	4.498888751680797	75.8	8.634813257969162	38.0	4.1952353926806065	137	27.4	23	35	4.498888751680797	190	38.0	33	43	4.1952353926806065	379	75.8	65	86	8.634813257969162	20	24	50
28800	932.4	355.2	42221.8	22662.082326211774	13.2	4.874423042781576	43167.4	22998.160157716964	31.2	5.418486873657626	84.2	10.684568311354464	42.4	5.351635264103861	156	31.2	24	38	5.418486873657626	212	42.4	35	48	5.351635264103861	421	84.2	69	95	10.684568311354464	19	22	42
32400	1021.2	129.44713206556565	33333.0	7027.213416426172	13.8	2.4	34368.0	6956.945220425413	34.2	5.418486873657627	93.4	10.63202708800161	47.0	5.176871642217914	171	34.2	27	41	5.418486873657627	235	47.0	39	52	5.176871642217914	467	93.4	77	104	10.63202708800161	15	23	46
36000	888.0	271.89336144893275	37777.4	18053.23814278203	12.0	3.286335345030997	38677.4	18234.262920118268	37.6	4.5431266766402185	101.4	9.264987857520376	51.0	4.69041575982343	188	37.6	31	44	4.5431266766402185	255	51.0	43	56	4.69041575982343	507	101.4	86	112	9.264987857520376	17	20	40
39600	932.4	537.4050985988131	31110.8	30951.664429558547	12.0	7.3484692283495345	32055.2	31432.34986061335	40.4	3.7202150475476548	109.8	4.48998886412873	55.0	2.280350850198276	202	40.4	35	46	3.7202150475476548	275	55.0	51	57	2.280350850198276	549	109.8	102	114	4.48998886412873	14	20	42
43200	799.2	177.6	11111.0	0.0	15.0	5.019960159204453	11925.2	179.16405889575063	41.4	3.7202150475476548	117.0	3.521363372331802	60.0	2.1908902300206643	207	41.4	36	47	3.7202150475476548	300	60.0	58	64	2.1908902300206643	585	117.0	111	120	3.521363372331802	5	25	36
